Code,Relative Value,schedule
95831,0.00,medical
95832,0.00,medical
95833,0.00,medical
95834,0.00,medical
95851,0.00,medical
95852,0.00,medical
97010,0.55,medical
97012,2.71,medical
97014,2.66,medical
97016,3.30,medical
97018,2.71,medical
97022,2.62,medical
97024,2.71,medical
97026,2.54,medical
97028,2.54,medical
97032,2.45,medical
97033,3.55,medical
97034,2.37,medical
97035,2.41,medical
97036,3.89,medical
97039,BR,medical
97110,3.97,medical
97112,3.89,medical
97113,4.40,medical
97116,3.51,medical
97124,2.62,medical
97139,2.89,medical
97140,4.23,medical
97150,3.63,medical
97161,9.47,medical
97162,9.47,medical
97163,9.47,medical
97164,4.00,medical
97165,9.47,medical
97166,9.47,medical
97167,9.47,medical
97168,4.00,medical
97169,10.60,medical
97170,10.60,medical
97171,10.60,medical
97172,5.20,medical
97530,2.87,medical
97535,3.38,medical
97537,3.38,medical
97542,2.37,medical
97545,28.00,medical
97546,3.30,medical
97750,0.00,medical
97755,NC,medical
97760,4.23,medical
97761,4.23,medical
97763,3.55,medical
97799,BR,medical
97800,Refer to Rules,medical
