zip_start,zip_end,region
00501,00501,IV
00544,00544,IV
06390,06390,III
10001,10099,IV
10100,10199,IV
10200,10299,IV
10301,10314,IV
10401,10499,IV
10501,10598,III
10601,10650,III
10701,10710,III
10801,10805,III
10901,10998,III
11001,11096,IV
11101,11120,IV
11201,11256,IV
11301,11390,IV
11401,11499,IV
11501,11599,IV
11601,11697,IV
11701,11798,IV
11801,11854,IV
11901,11980,III
12401,12498,I
12501,12594,II
12601,12614,II
12701,12792,I
12801,12887,I
12901,12998,I
13020,13094,I
13101,13176,I
13201,13290,II
13301,13368,I
13401,13439,I
13440,13449,II
13450,13495,I
13501,13599,II
13601,13699,I
13730,13797,I
13801,13865,I
13901,13905,II
14001,14098,I
14101,14174,I
14201,14280,II
14301,14305,I
14410,14489,I
12007,12099,I
12106,12177,I
14601,14694,II
12179,12183,II
14701,14788,I
12184,12199,I
14801,14898,I
12201,12288,II
14901,14925,I
12301,12345,II
14501,14592,I
