Code,Description,Basic Unit,schedule
100,"Anesthesia for procedures on salivary glands, including biopsy",5.0,medical
102,Anesthesia for procedures involving plastic repair of cleft lip,6.0,medical
103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)",5.0,medical
104,Anesthesia for electroconvulsive therapy,4.0,medical
120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified",5.0,medical
124,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy",4.0,medical
126,"Anesthesia for procedures on external, middle, and inner ear including biopsy tympanotomy",4.0,medical
140,Anesthesia for procedures on eye; not otherwise specified,5.0,medical
142,Anesthesia for procedures on eye; lens surgery,4.0,medical
144,Anesthesia for procedures on eye; corneal transplant,6.0,medical
145,Anesthesia for procedures on eye; vitreoretinal surgery,6.0,medical
147,Anesthesia for procedures on eye; iridectomy,6.0,medical
148,Anesthesia for procedures on eye; ophthalmoscopy,4.0,medical
160,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified,5.0,medical
162,Anesthesia for procedures on nose and accessory sinuses; radical surgery.,7.0,medical
164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue",4.0,medical
170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified",5.0,medical
172,"Anesthesia for intraoral procedures, including biopsy; repair of cleft palate",6.0,medical
174,"Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor",6.0,medical
176,"Anesthesia for intraoral procedures, including biopsy; radical surgery",7.0,medical
190,Anesthesia for procedures on facial bones or skull; not otherwise specified,5.0,medical
192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism),7.0,medical
210,Anesthesia for intracranial procedures; not otherwise specified,11.0,medical
211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma,10.0,medical
212,Anesthesia for intracranial procedures; subdural taps,5.0,medical
214,"Anesthesia for intracranial procedures; burr holes, including ventriculography",9.0,medical
215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)",9.0,medical
216,Anesthesia for intracranial procedures; vascular procedures,15.0,medical
218,Anesthesia for intracranial procedures; procedures in sitting position,13.0,medical
220,Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures,10.0,medical
222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve,6.0,medical
300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified",5.0,medical
320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older",6.0,medical
322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid",3.0,medical
326,Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age,8.0,medical
350,Anesthesia for procedures on major vessels of neck; not otherwise specified,10.0,medical
352,"Anesthesia for procedures on major vessels of neck, simple ligation",5.0,medical
400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified",3.0,medical
402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)",5.0,medical
404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast",5.0,medical
406,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast with internal mammary node dissection",13.0,medical
410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias",4.0,medical
450,Anesthesia for procedures on clavicle and scapula; not otherwise specified,5.0,medical
454,Anesthesia for procedures on clavicle and scapula; biopsy of clavicle,3.0,medical
470,Anesthesia for partial rib resection; not otherwise specified,6.0,medical
472,Anesthesia for partial rib resection; thoracoplasty (any type),10.0,medical
474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)",13.0,medical
500,Anesthesia for all procedures on esophagus,15.0,medical
520,Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified,6.0,medical
522,Anesthesia for closed chest procedures; needle biopsy of pleura,4.0,medical
524,Anesthesia for closed chest procedures; pneumocentesis,4.0,medical
528,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy not utilizing 1 lung ventilation,8.0,medical
529,Anesthesia for closed chest procedures; mediastinoscopy and diagnostic thoracoscopy utilizing 1 lung ventilation,11.0,medical
530,Anesthesia for permanent transvenous pacemaker insertion,4.0,medical
532,Anesthesia for access to central venous circulation,4.0,medical
534,Anesthesia for transvenous insertion or replacement of pacing cardioverterdefibrillator-,7.0,medical
537,Anesthesia for cardiac electrophysiologic procedures including radiofrequency ablation,10.0,medical
539,Anesthesia for tracheobronchial reconstruction,18.0,medical
540,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); not otherwise specified",12.0,medical
541,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); utilizing 1 lung ventilation",15.0,medical
542,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); decortication",15.0,medical
546,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); pulmonary resection with thoracoplasty",15.0,medical
548,"Anesthesia for thoracotomy procedures involving lungs, pleura, diaphragm, and mediastinum (including surgical thoracoscopy); intrathoracic procedures on the trachea and bronchi",17.0,medical
550,Anesthesia for sternal debridement,10.0,medical
560,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest; without pump oxygenator",15.0,medical
561,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest, with pump oxygenator, younger than 1 year of age",25.0,medical
562,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest, with pump oxygenator, age 1 year or older, for all noncoronary bypass procedures (eg, valve procedures) or for re-operation for coronary bypass more than 1 month after original operation",20.0,medical
563,"Anesthesia for procedures on heart, pericardial sac, and great vessels of chest, with pump oxygenator with hypothermic circulatory arrest",25.0,medical
566,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator,25.0,medical
567,Anesthesia for direct coronary artery bypass grafting; with pump oxygenator,18.0,medical
