Code,Relative Value,PC/TC Split,schedule
09006,4.25,,podiatry
09007,4.00,,podiatry
09008,4.50,,podiatry
09009,1.20,,podiatry
09010,1.50,,podiatry
09011,1.20,,podiatry
09012,1.50,,podiatry
09013,BR,,podiatry
09021,1.30,,podiatry
09022,1.50,,podiatry
09023,1.80,,podiatry
09024,1.60,,podiatry
09025,2.35,,podiatry
09026,1.80,,podiatry
09027,2.55,,podiatry
09028,2.00,,podiatry
09029,2.75,,podiatry
09030,2.00,,podiatry
09031,2.75,,podiatry
09032,2.00,,podiatry
09033,3.00,,podiatry
09034,2.25,,podiatry
09036,2.80,,podiatry
09038,2.80,,podiatry
09040,3.00,,podiatry
09042,1.50,,podiatry
09035,3.25,,podiatry
09043,2.00,,podiatry
09037,3.80,,podiatry
09044,2.00,,podiatry
09039,3.80,,podiatry
09045,3.00,,podiatry
09041,4.00,,podiatry
09046,7.00,,podiatry
09047,11.50,,podiatry
09052,BR,,podiatry
09053,BR,,podiatry
