Code,Relative Value,PC/TC Split
90785,2.80,
90791,25.84,
90792,27.75,
90832,12.59,
90833,13.13,
90834,16.83,
90836,16.55,
90837,25.24,
90838,21.89,
90839,26.34,
90840,12.59,
90845,16.43,
90846,16.91,
90847,20.42,
90849,5.42,
90853,5.42,
90875,11.01,
90876,17.55,
90880,20.26,
90882,13.36,
90885,8.93,
90887,13.72,
90889,NC,
90899,BR,
90901,9.81,
90911,16.91,
96101,24.52,
96102,11.16,
96103,7.10,
96105,18.50,
96110,17.00,
96111,19.87,
96116,27.39,
96118,29.59,
96119,16.57,
96120,12.18,
96150,5.92,
96151,2.96,
96152,2.96,
96153,4.23,
96154,4.23,
96155,4.23,
97127,9.03,
97533,5.55,
97545,28.00,
97546,3.30,
99075,Refer to Rules,
99243,16.49,
99499,BR,
