Code,Relative Value,PC/TC Split,schedule
0042T,15.44,,medical
0054T,2.47,,medical
0055T,3.23,,medical
0058T,BR,,medical
0071T,BR,,medical
0072T,BR,,medical
0075T,18.68,,medical
0076T,17.50,,medical
0085T,BR,,medical
0095T,BR,,medical
0098T,BR,,medical
0100T,16.22,,medical
0101T,2.78,,medical
0102T,2.78,,medical
0106T,BR,,medical
0107T,BR,,medical
0108T,BR,,medical
0109T,BR,,medical
0110T,BR,,medical
0111T,BR,,medical
0126T,BR,,medical
0159T,0.83,,medical
0163T,17.56,,medical
0164T,3.25,,medical
0165T,3.61,,medical
0174T,0.60,,medical
0175T,0.60,,medical
0184T,6.22,,medical
0188T,BR,,medical
0189T,BR,,medical
0190T,1.87,,medical
0191T,6.40,,medical
0195T,BR,,medical
0196T,BR,,medical
0198T,9.99,,medical
0200T,8.70,,medical
0201T,11.98,,medical
0202T,15.40,,medical
0205T,0.53,,medical
0206T,37.42,,medical
0207T,3.76,,medical
0208T,5.20,,medical
0209T,9.65,,medical
0210T,6.43,,medical
0211T,BR,,medical
0212T,8.14,,medical
0213T,1.19,,medical
0214T,0.60,,medical
0215T,0.61,,medical
0216T,1.07,,medical
0217T,0.54,,medical
0218T,0.55,,medical
0219T,BR,,medical
0220T,BR,,medical
0221T,BR,,medical
0222T,BR,,medical
0228T,1.75,,medical
0229T,0.83,,medical
0230T,1.60,,medical
0231T,0.70,,medical
0232T,0.37,,medical
0234T,11.12,,medical
0235T,10.84,,medical
0236T,9.27,,medical
0237T,4.62,,medical
0238T,6.28,,medical
0249T,3.08,,medical
0253T,7.12,,medical
0254T,7.74,,medical
0263T,2.67,,medical
0264T,1.19,,medical
0265T,0.19,,medical
0266T,BR,,medical
0267T,BR,,medical
0268T,BR,,medical
0269T,BR,,medical
0270T,BR,,medical
0271T,BR,,medical
0272T,BR,,medical
0273T,BR,,medical
0274T,BR,,medical
0275T,BR,,medical
0278T,BR,,medical
0290T,BR,,medical
0295T,36.19,,medical
0296T,4.51,,medical
0297T,28.39,,medical
0298T,5.13,,medical
0308T,11.74,,medical
0312T,BR,,medical
0313T,BR,,medical
0314T,BR,,medical
0315T,BR,,medical
0316T,BR,,medical
0317T,BR,,medical
0329T,BR,,medical
0330T,BR,,medical
0331T,BR,,medical
0332T,BR,,medical
0333T,BR,,medical
0335T,BR,,medical
0337T,BR,,medical
0338T,8.33,,medical
0339T,10.02,,medical
0341T,BR,,medical
0342T,BR,,medical
0345T,11.59,,medical
0346T,2.80,,medical
0347T,BR,,medical
0348T,BR,,medical
0349T,BR,,medical
0350T,BR,,medical
0351T,BR,,medical
0352T,BR,,medical
0353T,BR,,medical
0354T,BR,,medical
0355T,36.27,,medical
0356T,BR,,medical
0357T,BR,,medical
0358T,BR,,medical
0359T,BR,,medical
0360T,BR,,medical
0361T,BR,,medical
0362T,BR,,medical
0363T,BR,,medical
0364T,BR,,medical
0365T,BR,,medical
0366T,BR,,medical
0367T,BR,,medical
0368T,BR,,medical
0369T,BR,,medical
0370T,BR,,medical
0371T,BR,,medical
0372T,BR,,medical
0373T,BR,,medical
0374T,BR,,medical
0375T,BR,,medical
0376T,BR,,medical
0377T,1.04,,medical
0378T,BR,,medical
0379T,14.84,,medical
0380T,BR,,medical
0381T,BR,,medical
0382T,BR,,medical
0383T,BR,,medical
0384T,BR,,medical
0385T,BR,,medical
0386T,BR,,medical
0387T,5.41,,medical
0388T,1.85,,medical
0389T,10.19,,medical
0390T,5.54,,medical
0391T,6.84,,medical
0394T,9.14,,medical
0395T,33.94,,medical
0396T,BR,,medical
0397T,BR,,medical
0398T,BR,,medical
0399T,BR,,medical
0400T,BR,,medical
0401T,BR,,medical
0402T,BR,,medical
0403T,BR,,medical
0404T,BR,,medical
0405T,BR,,medical
0406T,0.01,,medical
0407T,0.01,,medical
0408T,BR,,medical
0409T,BR,,medical
0410T,BR,,medical
0411T,BR,,medical
0412T,BR,,medical
0413T,BR,,medical
0414T,BR,,medical
0415T,BR,,medical
0416T,BR,,medical
0417T,BR,,medical
0418T,BR,,medical
0419T,BR,,medical
0420T,BR,,medical
0421T,BR,,medical
0422T,BR,,medical
0423T,BR,,medical
0424T,BR,,medical
0425T,BR,,medical
0426T,BR,,medical
0427T,BR,,medical
0428T,BR,,medical
0429T,BR,,medical
0430T,BR,,medical
0431T,BR,,medical
0432T,BR,,medical
0433T,BR,,medical
0434T,BR,,medical
0435T,BR,,medical
0436T,BR,,medical
0437T,BR,,medical
0439T,BR,,medical
0440T,BR,,medical
0441T,BR,,medical
0442T,BR,,medical
0443T,BR,,medical
0444T,BR,,medical
0445T,BR,,medical
0446T,BR,,medical
