Code,Relative Value,schedule
99201,5.83,podiatry
99202,7.27,podiatry
99203,9.47,podiatry
99204,13.53,podiatry
99205,18.26,podiatry
99211,3.21,podiatry
99212,4.57,podiatry
99213,5.83,podiatry
99214,8.46,podiatry
99215,13.53,podiatry
99217,10.15,podiatry
99218,12.68,podiatry
99219,17.25,podiatry
99220,21.64,podiatry
99221,14.12,podiatry
99222,19.02,podiatry
99223,23.34,podiatry
99224,4.06,podiatry
99225,8.12,podiatry
99226,11.33,podiatry
99231,7.44,podiatry
99232,10.15,podiatry
99233,14.97,podiatry
99234,13.95,podiatry
99235,18.94,podiatry
99236,23.84,podiatry
99238,8.79,podiatry
99239,10.99,podiatry
99241,10.15,podiatry
99242,12.94,podiatry
99243,16.49,podiatry
99244,21.56,podiatry
99245,27.23,podiatry
99251,12.01,podiatry
99252,15.39,podiatry
99253,18.94,podiatry
99254,23.67,podiatry
99255,29.76,podiatry
99281,6.59,podiatry
99282,8.88,podiatry
99283,13.36,podiatry
99284,19.95,podiatry
99285,29.76,podiatry
99304,8.46,podiatry
99305,11.84,podiatry
99306,14.37,podiatry
99307,4.73,podiatry
99308,6.43,podiatry
99309,9.30,podiatry
99310,12.68,podiatry
99315,8.79,podiatry
99316,10.99,podiatry
99318,9.30,podiatry
99324,8.29,podiatry
99325,10.99,podiatry
99326,13.87,podiatry
99327,19.45,podiatry
99328,25.37,podiatry
99334,5.92,podiatry
99335,8.46,podiatry
99336,12.68,podiatry
99337,17.76,podiatry
99339,6.76,podiatry
99340,22.18,podiatry
99341,7.69,podiatry
99342,9.64,podiatry
99343,12.51,podiatry
99344,17.76,podiatry
99345,24.01,podiatry
99347,6.00,podiatry
99348,7.69,podiatry
99349,11.16,podiatry
99350,17.84,podiatry
99354,19.45,podiatry
99355,9.72,podiatry
99356,25.37,podiatry
99357,12.68,podiatry
99358,18.60,podiatry
99359,9.30,podiatry
99375,NC,podiatry
99455,BR,podiatry
99456,BR,podiatry
