code,relative value,pc/tc split,schedule
90281.0,BR,,medical
90283.0,BR,,medical
90284.0,BR,,medical
90287.0,BR,,medical
90288.0,BR,,medical
90291.0,BR,,medical
90296.0,BR,,medical
90371.0,57.03,,medical
90375.0,74.66,,medical
90376.0,74.66,,medical
90378.0,BR,,medical
90384.0,11.84,,medical
90385.0,5.41,,medical
90386.0,12.68,,medical
90389.0,6.55,,medical
90393.0,BR,,medical
90396.0,12.18,,medical
90399.0,BR,,medical
90460.0,2.54,,medical
90461.0,1.52,,medical
90471.0,2.20,,medical
90472.0,2.20,,medical
90473.0,2.20,,medical
90474.0,2.20,,medical
90476.0,BR,,medical
90477.0,BR,,medical
90581.0,14.08,,medical
90585.0,16.28,,medical
90586.0,18.52,,medical
90587.0,BR,,medical
90620.0,BR,,medical
90621.0,BR,,medical
90625.0,BR,,medical
90630.0,3.90,,medical
90632.0,6.21,,medical
90633.0,3.00,,medical
90634.0,3.00,,medical
90636.0,9.30,,medical
90644.0,2.71,,medical
90647.0,2.45,,medical
90648.0,1.86,,medical
90649.0,12.85,,medical
90650.0,BR,,medical
90651.0,BR,,medical
90653.0,9.51,,medical
90654.0,3.84,,medical
90655.0,1.56,,medical
90656.0,1.56,,medical
90657.0,1.14,,medical
90658.0,1.14,,medical
90660.0,2.03,,medical
90661.0,BR,,medical
90662.0,6.47,,medical
90664.0,BR,,medical
90666.0,BR,,medical
90667.0,BR,,medical
90668.0,BR,,medical
90670.0,10.52,,medical
90672.0,BR,,medical
90673.0,7.73,,medical
90674.0,4.58,,medical
90675.0,14.58,,medical
90676.0,BR,,medical
90680.0,5.07,,medical
90681.0,7.61,,medical
90682.0,8.82,,medical
90685.0,4.04,,medical
90686.0,3.63,,medical
90687.0,1.78,,medical
90688.0,3.42,,medical
90690.0,3.21,,medical
90691.0,3.89,,medical
90696.0,BR,,medical
90697.0,BR,,medical
90698.0,7.61,,medical
90700.0,2.96,,medical
90702.0,1.40,,medical
90707.0,4.86,,medical
90710.0,13.53,,medical
90713.0,3.38,,medical
90714.0,2.54,,medical
90715.0,2.28,,medical
90716.0,5.79,,medical
90717.0,6.64,,medical
90723.0,7.44,,medical
90732.0,2.41,,medical
90733.0,10.10,,medical
90734.0,9.64,,medical
90736.0,16.23,,medical
90738.0,6.71,,medical
90739.0,24.90,,medical
90740.0,19.15,,medical
90743.0,2.71,,medical
90744.0,2.71,,medical
90746.0,5.50,,medical
90747.0,19.15,,medical
90748.0,5.20,,medical
90749.0,BR,,medical
90750.0,BR,,medical
90756.0,4.31,,medical
90785.0,2.80,,medical
90791.0,25.84,,medical
90792.0,27.75,,medical
90832.0,12.59,,medical
90833.0,13.13,,medical
90834.0,16.83,,medical
90836.0,16.55,,medical
90837.0,25.24,,medical
90838.0,21.89,,medical
90839.0,26.34,,medical
90840.0,12.59,,medical
90845.0,16.43,,medical
90846.0,16.91,,medical
90847.0,20.42,,medical
90849.0,5.42,,medical
90853.0,5.42,,medical
90863.0,5.06,,medical
90865.0,26.16,,medical
90867.0,37.94,,medical
90868.0,5.21,,medical
90869.0,25.29,,medical
90870.0,26.72,,medical
90875.0,11.01,,medical
90876.0,17.55,,medical
90880.0,20.26,,medical
90882.0,13.36,,medical
90885.0,8.93,,medical
90887.0,13.72,,medical
90889.0,NC,,medical
90899.0,BR,,medical
90901.0,9.81,,medical
90911.0,16.91,,medical
90935.0,28.75,,medical
90937.0,45.66,,medical
90940.0,11.84,40/60,medical
90945.0,16.91,,medical
90947.0,27.06,,medical
90951.0,126.83,,medical
90952.0,101.46,,medical
90953.0,67.64,,medical
90954.0,107.38,,medical
9.0955,60.03,,medical
90956.0,42.28,,medical
90957.0,84.55,,medical
90958.0,56.65,,medical
90959.0,37.20,,medical
90960.0,42.28,,medical
90961.0,33.82,,medical
90962.0,24.52,,medical
90963.0,72.71,,medical
90964.0,60.54,,medical
90965.0,56.65,,medical
90966.0,29.59,,medical
90967.0,2.71,,medical
90968.0,2.20,,medical
90969.0,1.52,,medical
90970.0,1.10,,medical
90989.0,77.28,,medical
90993.0,13.02,,medical
90997.0,32.13,,medical
90999.0,BR,,medical
91010.0,35.17,80/20,medical
91013.0,3.04,39/61,medical
91020.0,29.59,80/20,medical
91022.0,22.15,35/65,medical
91030.0,16.06,90/10,medical
91034.0,37.20,20/80,medical
91035.0,73.90,20/80,medical
91037.0,23.67,35/65,medical
91038.0,20.29,45/55,medical
91040.0,72.21,10/90,medical
91065.0,9.30,20/80,medical
91110.0,28.24,15/85,medical
91111.0,84.55,8/92,medical
91112.0,208.78,10/90,medical
91117.0,19.78,,medical
91120.0,45.83,10/90,medical
91122.0,30.61,80/20,medical
91132.0,4.06,65/35,medical
91133.0,4.06,65/35,medical
91200.0,7.80,35/65,medical
91299.0,BR,,medical
92002.0,6.93,,medical
92004.0,9.13,,medical
92012.0,6.59,,medical
92014.0,8.12,,medical
92015.0,2.28,,medical
92018.0,23.67,,medical
92019.0,10.99,,medical
92020.0,4.57,,medical
92025.0,3.55,59/41,medical
92060.0,6.76,,medical
92065.0,5.48,,medical
92071.0,7.82,,medical
92072.0,24.95,,medical
92081.0,4.57,20/80,medical
92082.0,7.78,20/80,medical
92083.0,11.84,20/80,medical
92100.0,4.23,,medical
92132.0,4.73,55/45,medical
92133.0,5.75,64/36,medical
92134.0,5.75,64/36,medical
92136.0,8.96,20/80,medical
92145.0,3.42,54/46,medical
92225.0,7.27,,medical
92226.0,6.26,,medical
92227.0,2.54,,medical
92228.0,5.41,60/40,medical
92230.0,8.79,,medical
92235.0,23.00,30/70,medical
92240.0,23.00,30/70,medical
92242.0,44.33,24/76,medical
92250.0,7.27,30/70,medical
92260.0,8.46,,medical
92265.0,16.91,40/60,medical
92270.0,16.91,40/60,medical
92275.0,16.91,40/60,medical
92283.0,6.26,,medical
92284.0,8.96,,medical
92285.0,4.90,90/10,medical
92286.0,23.67,20/80,medical
92287.0,29.59,30/70,medical
92310.0,14.88,,medical
92311.0,12.85,,medical
92312.0,16.91,,medical
92313.0,21.31,,medical
92314.0,15.22,,medical
92315.0,14.20,,medical
92316.0,23.50,,medical
92317.0,15.22,,medical
92325.0,8.03,,medical
92326.0,8.79,,medical
92340.0,8.71,,medical
92341.0,9.47,,medical
92342.0,13.02,,medical
92352.0,3.89,,medical
92353.0,4.23,,medical
92354.0,63.23,,medical
92355.0,30.65,,medical
92358.0,7.18,,medical
92370.0,12.68,,medical
92371.0,20.97,,medical
92499.0,BR,,medical
92502.0,29.09,,medical
92504.0,4.31,,medical
92507.0,7.78,,medical
92508.0,5.92,,medical
92511.0,16.91,,medical
92512.0,12.18,,medical
92516.0,13.36,,medical
92520.0,26.21,,medical
92521.0,22.10,,medical
92522.0,17.79,,medical
92523.0,38.31,,medical
92524.0,17.03,,medical
92526.0,12.60,,medical
92531.0,3.89,,medical
92532.0,4.57,,medical
92533.0,7.27,,medical
92534.0,3.21,,medical
92537.0,7.87,78/22,medical
92538.0,4.04,76/24,medical
92540.0,12.68,83/17,medical
92541.0,9.64,80/20,medical
92542.0,8.62,80/20,medical
92544.0,5.24,80/20,medical
92545.0,5.24,80/20,medical
92546.0,8.29,80/20,medical
92547.0,5.07,80/20,medical
92548.0,16.91,24/76,medical
92550.0,3.72,,medical
92551.0,2.20,,medical
92552.0,3.21,,medical
92553.0,4.90,,medical
92555.0,2.54,,medical
92556.0,4.23,,medical
92557.0,8.62,,medical
92558.0,1.99,0/100,medical
92559.0,7.10,,medical
92560.0,4.23,,medical
92561.0,8.46,,medical
92562.0,2.11,,medical
92563.0,3.72,,medical
92564.0,3.72,,medical
