Code,Relative value,pc/tc splits,schedule
80047,14.79,0/100,medical
80048,12.94,0/100,medical
80050,33.89,0/100,medical
80051,10.47,0/100,medical
80053,17.87,0/100,medical
80055,38.81,0/100,medical
80061,23.72,0/100,medical
80069,14.17,0/100,medical
80074,57.91,0/100,medical
80076,12.32,0/100,medical
80081,83.06,0/100,medical
80150,27.72,0/100,medical
80155,34.58,0/100,medical
80156,24.64,0/100,medical
80157,24.64,0/100,medical
80158,36.97,0/100,medical
80159,20.36,0/100,medical
80162,23.41,0/100,medical
80163,14.87,0/100,medical
80164,24.64,0/100,medical
80165,14.87,0/100,medical
80168,27.72,0/100,medical
80169,15.19,0/100,medical
80170,24.64,0/100,medical
80171,19.39,0/100,medical
80173,30.81,0/100,medical
80175,14.54,0/100,medical
80176,24.64,0/100,medical
80177,14.54,0/100,medical
80178,14.17,0/100,medical
80180,20.04,0/100,medical
80183,14.54,0/100,medical
80184,24.64,0/100,medical
80185,23.41,0/100,medical
80186,24.64,0/100,medical
80188,24.64,0/100,medical
80190,24.64,0/100,medical
80192,33.89,0/100,medical
80194,24.64,0/100,medical
80195,33.89,0/100,medical
80197,36.97,0/100,medical
80198,23.41,0/100,medical
80199,24.24,0/100,medical
80200,27.72,0/100,medical
80201,24.64,0/100,medical
80202,24.64,0/100,medical
80203,14.54,0/100,medical
80299,30.81,0/100,medical
80305,11.96,0/100,medical
80306,16.16,0/100,medical
80307,30.00,,medical
80320,0.00,,medical
80321,0.00,,medical
80322,0.00,,medical
80323,0.00,,medical
80324,0.00,,medical
80325,0.00,,medical
80326,0.00,,medical
80327,0.00,,medical
80328,0.00,,medical
80329,0.00,,medical
80330,0.00,,medical
80331,0.00,,medical
80332,0.00,,medical
80333,0.00,,medical
80334,0.00,,medical
80335,0.00,,medical
80336,0.00,,medical
80337,0.00,,medical
80338,0.00,,medical
80339,0.00,,medical
80340,0.00,,medical
80341,0.00,,medical
80342,0.00,,medical
80343,0.00,,medical
80344,0.00,,medical
80345,0.00,,medical
80346,0.00,,medical
80347,0.00,,medical
80348,0.00,,medical
80349,0.00,,medical
80350,0.00,,medical
80351,0.00,,medical
80352,0.00,,medical
80353,0.00,,medical
80354,0.00,,medical
80355,0.00,,medical
80356,0.00,,medical
80357,0.00,,medical
80358,0.00,,medical
80359,0.00,,medical
80360,0.00,,medical
80361,0.00,,medical
80362,0.00,,medical
80363,0.00,,medical
80364,0.00,,medical
80365,0.00,,medical
80366,0.00,,medical
80367,0.00,,medical
80368,0.00,,medical
80369,0.00,,medical
80370,0.00,,medical
80371,0.00,,medical
80372,0.00,,medical
80373,0.00,,medical
80374,0.00,,medical
80375,43.26,0/100,medical
80376,64.89,0/100,medical
80377,86.52,0/100,medical
80400,57.91,0/100,medical
80402,106.59,0/100,medical
80406,99.19,0/100,medical
80408,133.08,0/100,medical
80410,118.91,0/100,medical
80412,295.73,0/100,medical
80414,43.74,0/100,medical
80415,43.74,0/100,medical
80416,138.01,0/100,medical
80417,59.15,0/100,medical
80418,823.73,0/100,medical
80420,104.74,0/100,medical
80422,65.31,0/100,medical
80424,63.46,0/100,medical
80426,154.03,0/100,medical
80428,77.01,0/100,medical
80430,93.65,0/100,medical
80432,166.96,0/100,medical
80434,110.90,0/100,medical
80435,117.68,0/100,medical
80436,108.43,0/100,medical
80438,51.75,0/100,medical
80439,64.69,0/100,medical
80500,25.26,,medical
80502,49.29,,medical
81000,7.09,0/100,medical
81001,7.09,0/100,medical
81002,5.54,0/100,medical
81003,5.54,0/100,medical
81005,4.93,0/100,medical
81007,7.39,0/100,medical
81015,5.54,0/100,medical
81020,6.78,0/100,medical
81025,10.47,0/100,medical
81050,4.93,0/100,medical
81099,BR,,medical
81105,135.42,0/100,medical
81106,135.42,0/100,medical
81107,135.42,0/100,medical
81108,135.42,0/100,medical
81109,135.42,0/100,medical
81110,135.42,0/100,medical
81111,135.42,0/100,medical
81112,135.42,0/100,medical
81120,173.56,0/100,medical
81121,265.67,0/100,medical
81161,250.48,0/100,medical
81162,2022.59,0/100,medical
81170,269.23,0/100,medical
81175,634.77,0/100,medical
81176,268.26,0/100,medical
81200,0.00,,medical
81201,0.00,0/100,medical
81202,0.00,0/100,medical
81203,0.00,0/100,medical
81205,0.00,,medical
81206,0.00,,medical
81207,0.00,,medical
81208,0.00,,medical
81209,0.00,,medical
81210,0.00,,medical
81211,0.00,,medical
81212,0.00,,medical
81213,0.00,,medical
81214,0.00,,medical
81215,0.00,,medical
81216,0.00,,medical
81217,0.00,,medical
81218,0.00,0/100,medical
81219,0.00,0/100,medical
81220,0.00,,medical
81221,0.00,,medical
81222,0.00,,medical
81223,0.00,,medical
81224,0.00,,medical
81225,0.00,,medical
81226,0.00,,medical
81227,0.00,,medical
81228,0.00,,medical
81229,0.00,,medical
81230,0.00,0/100,medical
81231,0.00,0/100,medical
81232,0.00,0/100,medical
81235,0.00,0/100,medical
81238,0.00,0/100,medical
81240,0.00,,medical
81241,0.00,,medical
81242,0.00,,medical
81243,0.00,,medical
81244,0.00,,medical
81245,0.00,,medical
81246,0.00,0/100,medical
81247,0.00,0/100,medical
81248,0.00,0/100,medical
81249,0.00,0/100,medical
81250,0.00,,medical
81251,0.00,,medical
81252,0.00,0/100,medical
81253,0.00,0/100,medical
81254,0.00,0/100,medical
81255,0.00,,medical
81256,0.00,,medical
81257,0.00,,medical
81258,0.00,0/100,medical
81259,0.00,0/100,medical
81260,0.00,,medical
81261,0.00,,medical
81262,0.00,,medical
81263,0.00,,medical
81264,0.00,,medical
81265,0.00,,medical
81266,0.00,,medical
81267,0.00,,medical
81268,0.00,,medical
81269,0.00,0/100,medical
81270,0.00,,medical
81272,0.00,0/100,medical
81273,0.00,0/100,medical
81275,0.00,,medical
81276,0.00,0/100,medical
81283,0.00,0/100,medical
81287,0.00,0/100,medical
81288,0.00,0/100,medical
81290,0.00,,medical
81291,0.00,,medical
81292,0.00,,medical
81293,0.00,,medical
81294,0.00,,medical
81295,0.00,,medical
81296,0.00,,medical
81297,0.00,,medical
81298,0.00,,medical
81299,0.00,,medical
81300,0.00,,medical
81301,0.00,,medical
81302,0.00,,medical
81303,0.00,,medical
81304,0.00,,medical
81310,0.00,,medical
81311,0.00,0/100,medical
81313,0.00,0/100,medical
81314,0.00,0/100,medical
81315,0.00,,medical
81316,0.00,,medical
81317,0.00,,medical
81318,0.00,,medical
81319,0.00,,medical
81321,0.00,0/100,medical
81322,0.00,0/100,medical
81323,0.00,0/100,medical
81324,0.00,0/100,medical
81325,0.00,0/100,medical
81326,0.00,0/100,medical
81327,0.00,,medical
81328,0.00,0/100,medical
81330,0.00,,medical
81331,0.00,,medical
81332,0.00,,medical
81334,0.00,0/100,medical
81335,0.00,0/100,medical
81340,0.00,,medical
81341,0.00,,medical
81342,0.00,,medical
81346,0.00,0/100,medical
81350,0.00,,medical
81355,0.00,0/100,medical
81361,0.00,,medical
81362,0.00,0/100,medical
81363,0.00,0/100,medical
81364,0.00,0/100,medical
81370,0.00,,medical
81371,0.00,,medical
81372,0.00,,medical
81373,0.00,,medical
81374,0.00,,medical
81375,0.00,,medical
81376,0.00,,medical
81377,0.00,,medical
81378,0.00,,medical
81379,0.00,,medical
81380,0.00,,medical
81381,0.00,,medical
81382,0.00,,medical
81383,0.00,,medical
81400,0.00,,medical
81401,0.00,,medical
81402,0.00,,medical
81403,0.00,,medical
81404,0.00,,medical
81405,0.00,,medical
81406,0.00,,medical
81407,0.00,,medical
81408,0.00,,medical
81410,0.00,0/100,medical
81411,0.00,0/100,medical
81412,0.00,0/100,medical
81413,0.00,0/100,medical
81414,0.00,0/100,medical
81415,0.00,0/100,medical
81416,0.00,0/100,medical
81417,0.00,0/100,medical
81420,0.00,0/100,medical
81422,0.00,0/100,medical
81425,0.00,,medical
81426,0.00,,medical
81427,0.00,,medical
81430,0.00,0/100,medical
81431,0.00,0/100,medical
81432,0.00,0/100,medical
81433,0.00,0/100,medical
81434,0.00,0/100,medical
81435,0.00,0/100,medical
81436,0.00,0/100,medical
81437,0.00,0/100,medical
81438,0.00,0/100,medical
81439,0.00,0/100,medical
81440,0.00,0/100,medical
81442,0.00,0/100,medical
81445,0.00,0/100,medical
81448,0.00,0/100,medical
81450,0.00,0/100,medical
81455,0.00,0/100,medical
81460,0.00,0/100,medical
81465,0.00,0/100,medical
81470,0.00,,medical
81471,0.00,,medical
81479,0.00,,medical
81490,0.00,0/100,medical
81493,0.00,0/100,medical
81500,0.00,0/100,medical
81503,0.00,0/100,medical
81504,0.00,0/100,medical
81506,0.00,0/100,medical
81507,0.00,0/100,medical
81508,0.00,0/100,medical
81509,0.00,0/100,medical
81510,0.00,0/100,medical
81511,0.00,0/100,medical
81512,0.00,0/100,medical
81519,0.00,0/100,medical
81520,0.00,0/100,medical
81521,0.00,0/100,medical
81525,0.00,0/100,medical
81528,0.00,0/100,medical
81535,0.00,0/100,medical
81536,0.00,0/100,medical
81538,0.00,0/100,medical
81539,0.00,0/100,medical
81540,0.00,0/100,medical
81541,0.00,0/100,medical
81545,0.00,0/100,medical
81551,0.00,,medical
81595,0.00,0/100,medical
81599,0.00,,medical
82009,6.16,0/100,medical
82010,12.32,0/100,medical
