Code,Description,Relative Value,FUD,PC/TC Split,schedule
70100,"Radiologic examination, mandible; partial, less than 4 views",1.15,XXX,40/60,chiropractic
70110,"Radiologic examination, mandible; complete, minimum of 4 views",1.94,XXX,40/60,chiropractic
70120,"Radiologic examination, mastoids; less than 3 views per side",1.15,XXX,40/60,chiropractic
70130,"Radiologic examination, mastoids; complete, minimum of 3 views per side",2.17,XXX,40/60,chiropractic
70134,"Radiologic examination, internal auditory meati, complete",2.50,XXX,40/60,chiropractic
70140,"Radiologic examination, facial bones; less than 3 views",1.66,XXX,40/60,chiropractic
70150,"Radiologic examination, facial bones; complete, minimum of 3 views",2.04,XXX,40/60,chiropractic
70160,"Radiologic examination, nasal bones, complete, minimum of 3 views",1.28,XXX,40/60,chiropractic
70170,"Dacryocystography, nasolacrimal duct, radiological supervision and interpretation",1.99,XXX,35/65,chiropractic
70190,Radiologic examination; optic foramina,1.63,XXX,40/60,chiropractic
70200,"Radiologic examination; orbits, complete, minimum of 4 views",2.07,XXX,40/60,chiropractic
70210,"Radiologic examination, sinuses, paranasal, less than 3 views",1.40,XXX,40/60,chiropractic
70220,"Radiologic examination, sinuses, paranasal, complete, minimum of 3 views",2.30,XXX,40/60,chiropractic
70240,"Radiologic examination, sella turcica",1.40,XXX,40/60,chiropractic
70250,"Radiologic examination, skull; less than 4 views",1.66,XXX,40/60,chiropractic
70260,"Radiologic examination, skull; complete, minimum of 4 views",2.30,XXX,40/60,chiropractic
70328,"Radiologic examination, temporomandibular joint, open and closed mouth; unilateral",2.09,XXX,40/60,chiropractic
70330,"Radiologic examination, temporomandibular joint, open and closed mouth; bilateral",3.06,XXX,40/60,chiropractic
71100,"Radiologic examination, ribs, unilateral; 2 views",1.68,XXX,40/60,chiropractic
71101,"Radiologic examination, ribs, unilateral; including posteroanterior chest, minimum of 3 views",1.94,XXX,40/60,chiropractic
71110,"Radiologic examination, ribs, bilateral; 3 views",2.04,XXX,40/60,chiropractic
71111,"Radiologic examination, ribs, bilateral; including posteroanterior chest, minimum of 4 views",2.42,XXX,40/60,chiropractic
71120,"Radiologic examination; sternum, minimum of 2 views",1.48,XXX,40/60,chiropractic
71130,"Radiologic examination; sternoclavicular joint or joints, minimum of 3 views",1.79,XXX,40/60,chiropractic
72020,"Radiologic examination, spine, single view, specify level",1.28,XXX,40/60,chiropractic
72040,"Radiologic examination, spine, cervical; 2 or 3 views",1.82,XXX,40/60,chiropractic
72050,"Radiologic examination, spine, cervical; 4 or 5 views",2.32,XXX,40/60,chiropractic
72052,"Radiologic examination, spine, cervical; 6 or more views",2.75,XXX,40/60,chiropractic
72070,"Radiologic examination, spine; thoracic, 2 views",1.76,XXX,40/60,chiropractic
72072,"Radiologic examination, spine; thoracic, 3 views",1.89,XXX,40/60,chiropractic
72074,"Radiologic examination, spine; thoracic, minimum of 4 views",2.17,XXX,40/60,chiropractic
72080,"Radiologic examination, spine; thoracolumbar junction, minimum of 2 views",1.84,XXX,40/60,chiropractic
72081,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); one view",1.61,XXX,35/65,chiropractic
72082,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 2 or 3 views",2.60,XXX,26/74,chiropractic
72083,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 4 or 5 views",3.13,XXX,25/75,chiropractic
72084,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); minimum of 6 views",3.64,XXX,25/75,chiropractic
72100,"Radiologic examination, spine, lumbosacral; 2 or 3 views",1.66,XXX,40/60,chiropractic
72110,"Radiologic examination, spine, lumbosacral; minimum of 4 views",2.42,XXX,40/60,chiropractic
72114,"Radiologic examination, spine, lumbosacral; complete, including bending views, minimum of 6 views",3.06,XXX,40/60,chiropractic
72170,"Radiologic examination, pelvis; 1 or 2 views",1.45,XXX,40/60,chiropractic
72190,"Radiologic examination, pelvis; complete, minimum of 3 views",1.84,XXX,40/60,chiropractic
72200,"Radiologic examination, sacroiliac joints; less than 3 views",1.53,XXX,40/60,chiropractic
72220,"Radiologic examination, sacrum and coccyx, minimum of 2 views",1.56,XXX,40/60,chiropractic
73000,"Radiologic examination; clavicle, complete",1.58,XXX,40/60,chiropractic
73010,"Radiologic examination; scapula, complete",1.66,XXX,40/60,chiropractic
73020,"Radiologic examination, shoulder; 1 view",1.40,XXX,40/60,chiropractic
