Code,Relative_value,pc/tc split,schedule
70010,5.61,35/65,medical
70015,4.59,35/65,medical
70030,1.79,40/60,medical
70100,1.15,40/60,medical
70110,1.94,40/60,medical
70120,1.15,40/60,medical
70130,2.17,40/60,medical
70134,2.50,40/60,medical
70140,1.66,40/60,medical
70150,2.04,40/60,medical
70160,1.28,40/60,medical
70170,1.99,35/65,medical
70190,1.63,40/60,medical
70200,2.07,40/60,medical
70210,1.40,40/60,medical
70220,2.30,40/60,medical
70240,1.40,40/60,medical
70250,1.66,40/60,medical
70260,2.30,40/60,medical
70300,0.48,40/60,medical
70310,0.92,40/60,medical
70320,1.73,40/60,medical
70328,2.09,40/60,medical
70330,3.06,40/60,medical
70332,4.77,35/65,medical
70336,16.43,20/80,medical
70350,1.53,40/60,medical
70355,1.50,40/60,medical
70360,1.58,40/60,medical
70370,3.49,40/60,medical
70371,6.07,40/60,medical
70380,1.91,40/60,medical
70390,3.88,35/65,medical
70450,8.61,25/75,medical
70460,9.91,25/75,medical
70470,11.89,25/75,medical
70480,9.36,25/75,medical
70481,10.78,25/75,medical
70482,12.92,25/75,medical
70486,9.11,25/75,medical
70487,10.48,25/75,medical
70488,12.58,25/75,medical
70490,9.36,25/75,medical
70491,10.78,25/75,medical
70492,12.92,25/75,medical
70496,15.31,25/75,medical
70498,16.33,25/75,medical
70540,17.70,20/80,medical
70542,20.37,20/80,medical
70543,23.43,20/80,medical
70544,14.33,20/80,medical
70545,16.86,20/80,medical
70546,20.22,20/80,medical
70547,14.33,20/80,medical
70548,16.86,20/80,medical
70549,20.22,20/80,medical
70551,16.53,20/80,medical
70552,20.16,20/80,medical
70553,22.83,20/80,medical
70554,17.39,17/83,medical
70555,21.35,17/83,medical
70557,39.31,11/89,medical
70558,43.69,11/89,medical
70559,51.75,11/89,medical
71045,0.83,46/54,medical
71046,1.27,36/64,medical
71047,1.62,36/64,medical
71048,1.74,39/61,medical
71100,1.68,40/60,medical
71101,1.94,40/60,medical
71110,2.04,40/60,medical
71111,2.42,40/60,medical
71120,1.48,40/60,medical
71130,1.79,40/60,medical
71250,11.00,25/75,medical
71260,12.64,25/75,medical
71270,15.20,25/75,medical
71275,18.61,25/75,medical
71550,21.01,20/80,medical
71551,24.15,20/80,medical
71552,28.99,20/80,medical
71555,21.37,20/80,medical
72020,1.28,40/60,medical
72040,1.82,40/60,medical
72050,2.32,40/60,medical
72052,2.75,40/60,medical
72070,1.76,40/60,medical
72072,1.89,40/60,medical
72074,2.17,40/60,medical
72080,1.84,40/60,medical
72081,1.61,35/65,medical
72082,2.60,26/74,medical
72083,3.13,25/75,medical
72084,3.64,25/75,medical
72100,1.66,40/60,medical
72110,2.42,40/60,medical
72114,3.06,40/60,medical
72120,2.37,40/60,medical
72125,11.00,25/75,medical
72126,12.64,25/75,medical
72127,15.20,25/75,medical
72128,11.00,25/75,medical
72129,12.64,25/75,medical
72130,15.20,25/75,medical
72131,11.00,25/75,medical
72132,12.64,25/75,medical
72133,15.20,25/75,medical
72141,16.63,20/80,medical
72142,20.59,20/80,medical
72146,18.14,20/80,medical
72147,19.96,20/80,medical
72148,17.24,20/80,medical
72149,19.69,20/80,medical
72156,24.00,20/80,medical
72157,24.70,20/80,medical
72158,23.41,20/80,medical
72159,21.45,20/80,medical
72170,1.45,40/60,medical
72190,1.84,40/60,medical
72191,16.13,25/75,medical
72192,9.20,25/75,medical
72193,10.59,25/75,medical
72194,12.71,25/75,medical
72195,17.01,20/80,medical
72196,19.58,20/80,medical
72197,23.49,20/80,medical
72198,20.86,20/80,medical
72200,1.53,40/60,medical
72202,1.81,40/60,medical
72220,1.56,40/60,medical
72240,8.16,35/65,medical
72255,7.60,35/65,medical
72265,8.01,35/65,medical
72270,10.76,35/65,medical
72275,7.92,35/65,medical
72285,12.83,35/65,medical
72295,12.11,35/65,medical
73000,1.58,40/60,medical
73010,1.66,40/60,medical
73020,1.40,40/60,medical
73030,1.79,40/60,medical
73040,4.77,35/65,medical
73050,1.58,40/60,medical
73060,1.48,40/60,medical
73070,1.33,40/60,medical
73080,1.48,40/60,medical
73085,4.69,35/65,medical
73090,1.28,40/60,medical
73092,1.35,40/60,medical
73100,1.17,40/60,medical
73110,1.33,40/60,medical
73115,3.37,35/65,medical
73120,1.20,40/60,medical
73130,1.33,40/60,medical
73140,1.01,40/60,medical
73200,9.20,25/75,medical
73201,10.59,25/75,medical
73202,12.71,25/75,medical
73206,16.13,25/75,medical
73218,14.48,20/80,medical
73219,17.04,20/80,medical
73220,20.45,20/80,medical
73221,16.61,20/80,medical
73222,19.11,20/80,medical
73223,22.94,20/80,medical
73225,17.96,20/80,medical
73501,1.25,32/68,medical
73502,1.73,27/73,medical
73503,2.15,28/72,medical
73521,1.56,30/70,medical
73522,2.04,31/69,medical
73523,2.36,29/71,medical
73525,4.77,35/65,medical
73551,1.17,30/70,medical
73552,1.37,29/71,medical
73560,1.40,40/60,medical
73562,1.66,40/60,medical
73564,1.86,40/60,medical
73565,1.40,40/60,medical
73580,5.66,35/65,medical
73590,1.53,40/60,medical
73592,1.53,40/60,medical
73600,1.38,40/60,medical
73610,1.48,40/60,medical
73615,4.69,35/65,medical
73620,1.43,40/60,medical
73630,1.48,40/60,medical
73650,1.28,40/60,medical
73660,1.12,40/60,medical
73700,9.20,25/75,medical
73701,10.59,25/75,medical
73702,12.71,25/75,medical
73706,16.13,25/75,medical
73718,17.04,20/80,medical
73719,19.60,20/80,medical
73720,23.51,20/80,medical
73721,16.61,20/80,medical
73722,19.11,20/80,medical
73723,22.94,20/80,medical
73725,18.45,20/80,medical
74018,1.33,40/60,medical
74019,1.39,35/65,medical
74021,1.62,35/65,medical
74022,2.55,40/60,medical
74150,10.25,25/75,medical
74160,11.80,25/75,medical
74170,14.15,25/75,medical
