code,relative value,pc/tc split,schedule
10021,0.38,,medical
10022,0.56,,medical
10030,3.55,,medical
10035,3.26,,medical
10036,2.86,,medical
10040,0.18,,medical
10060,0.29,,medical
10061,0.90,,medical
10080,0.45,,medical
10081,1.08,,medical
10120,0.36,,medical
10121,1.08,,medical
10140,0.54,,medical
10160,0.29,,medical
10180,1.62,,medical
11000,0.25,,medical
11001,0.20,,medical
11004,3.41,,medical
11005,4.67,,medical
11006,4.31,,medical
11008,1.75,,medical
11010,1.10,,medical
11011,1.98,,medical
11012,2.42,,medical
11042,1.10,,medical
11043,1.98,,medical
11044,2.42,,medical
11045,0.18,,medical
11046,0.45,,medical
11047,0.90,,medical
11055,0.18,,medical
11056,0.22,,medical
11057,0.36,,medical
11100,0.34,,medical
11101,0.25,,medical
11200,0.31,,medical
11201,0.25,,medical
11300,0.29,,medical
11301,0.36,,medical
11302,0.43,,medical
11303,0.54,,medical
11305,0.31,,medical
11306,0.38,,medical
11307,0.45,,medical
11308,0.52,,medical
11310,0.36,,medical
11311,0.43,,medical
11312,0.49,,medical
11313,0.56,,medical
11400,0.43,,medical
11401,0.54,,medical
11402,0.72,,medical
11403,0.92,,medical
11404,1.30,,medical
11406,1.84,,medical
11420,0.47,,medical
11421,0.61,,medical
11422,0.76,,medical
11423,1.12,,medical
11424,1.44,,medical
11426,1.98,,medical
11440,0.56,,medical
11441,0.74,,medical
11442,0.99,,medical
11443,1.26,,medical
11444,1.62,,medical
11446,2.31,,medical
11450,2.69,,medical
11451,3.05,,medical
11462,2.33,,medical
11463,2.65,,medical
11470,2.33,,medical
11471,2.65,,medical
11600,0.70,,medical
11601,0.76,,medical
11602,1.01,,medical
11603,1.26,,medical
11604,1.66,,medical
11606,2.42,,medical
11620,0.99,,medical
11621,1.17,,medical
11622,1.39,,medical
11623,1.71,,medical
11624,2.15,,medical
11626,2.69,,medical
11640,1.08,,medical
11641,1.39,,medical
11642,1.75,,medical
11643,2.24,,medical
11644,2.60,,medical
11646,3.23,,medical
11719,0.18,,medical
11720,0.16,,medical
11721,0.24,,medical
11730,0.34,,medical
11732,0.25,,medical
11740,0.27,,medical
11750,1.21,,medical
11755,0.54,,medical
11760,1.48,,medical
11762,2.15,,medical
11765,0.81,,medical
11770,2.38,,medical
11771,3.41,,medical
11772,3.84,,medical
11900,0.22,,medical
11901,0.34,,medical
11920,2.24,,medical
11921,4.49,,medical
11922,2.24,,medical
11950,0.99,,medical
11951,1.08,,medical
11952,1.17,,medical
11954,0.83,,medical
11960,2.70,,medical
11970,7.90,,medical
11971,1.53,,medical
11976,0.74,,medical
11980,0.74,,medical
11981,0.74,,medical
11982,0.74,,medical
11983,0.81,,medical
12001,0.39,,medical
12002,0.50,,medical
12004,0.66,,medical
12005,0.81,,medical
12006,0.99,,medical
12007,1.78,,medical
12011,0.50,,medical
12013,0.61,,medical
12014,0.84,,medical
12015,1.10,,medical
12016,1.37,,medical
12017,2.79,,medical
12018,2.41,,medical
12020,0.88,,medical
12021,0.93,,medical
12031,0.54,,medical
12032,0.75,,medical
12034,0.97,,medical
12035,1.33,,medical
12036,1.73,,medical
12037,2.18,,medical
12041,0.68,,medical
12042,0.86,,medical
12044,1.13,,medical
12045,1.49,,medical
12046,1.94,,medical
12047,2.29,,medical
12051,0.86,,medical
12052,1.08,,medical
12053,1.44,,medical
12054,1.89,,medical
12055,2.43,,medical
12056,3.10,,medical
12057,2.60,,medical
13100,0.85,,medical
13101,1.53,,medical
13102,0.61,,medical
13120,1.35,,medical
13121,2.60,,medical
13122,0.83,,medical
13131,1.35,,medical
13132,3.50,,medical
13133,1.21,,medical
13151,2.00,,medical
13152,4.00,,medical
13153,1.55,,medical
13160,2.60,,medical
14000,2.74,,medical
14001,3.95,,medical
14020,3.90,,medical
14021,5.20,,medical
14040,5.20,,medical
14041,6.70,,medical
14060,6.70,,medical
14061,9.40,,medical
14301,6.64,,medical
14302,1.53,,medical
14350,3.99,,medical
15002,1.89,,medical
15003,0.45,,medical
15004,2.24,,medical
15005,0.72,,medical
15040,1.66,,medical
15050,2.00,,medical
15100,5.21,,medical
15101,1.39,,medical
15110,5.03,,medical
15111,0.83,,medical
15115,4.89,,medical
15116,1.10,,medical
15120,5.12,,medical
15121,1.80,,medical
15130,3.97,,medical
15131,0.67,,medical
15135,5.07,,medical
15136,0.63,,medical
15150,4.00,,medical
15151,0.88,,medical
15152,1.08,,medical
15155,4.02,,medical
15156,1.17,,medical
15157,1.35,,medical
15200,2.78,,medical
15201,1.39,,medical
15220,3.90,,medical
15221,1.90,,medical
15240,5.30,,medical
15241,2.60,,medical
15260,6.50,,medical
15261,3.20,,medical
15271,0.66,,medical
15272,0.13,,medical
15273,1.58,,medical
15274,0.33,,medical
15275,0.77,,medical
15276,0.19,,medical
15277,1.64,,medical
15278,0.41,,medical
15570,4.50,,medical
15572,5.00,,medical
15574,5.75,,medical
15576,5.00,,medical
15600,2.60,,medical
15610,3.20,,medical
15620,5.40,,medical
15630,5.40,,medical
15650,3.40,,medical
15730,9.80,,medical
15731,7.63,,medical
15733,10.37,,medical
15734,9.43,,medical
15736,8.08,,medical
15738,8.08,,medical
15740,7.80,,medical
15750,6.50,,medical
15756,18.09,,medical
15757,21.28,,medical
15758,23.43,,medical
