Code,Relative Value,PC/TC Split,schedule
10060,0.29,,podiatry
10061,0.90,,podiatry
10120,0.36,,podiatry
10121,1.08,,podiatry
10140,0.54,,podiatry
10160,0.29,,podiatry
10180,1.62,,podiatry
11010,1.10,,podiatry
11011,1.98,,podiatry
11012,2.42,,podiatry
11042,1.10,,podiatry
11043,1.98,,podiatry
11044,2.42,,podiatry
11045,0.18,,podiatry
11046,0.45,,podiatry
11047,0.90,,podiatry
11055,0.18,,podiatry
11056,0.22,,podiatry
11057,0.36,,podiatry
11100,0.34,,podiatry
11101,0.25,,podiatry
11200,0.31,,podiatry
11201,0.25,,podiatry
11420,0.47,,podiatry
11421,0.61,,podiatry
11422,0.76,,podiatry
11423,1.12,,podiatry
11424,1.44,,podiatry
11426,1.98,,podiatry
11620,0.99,,podiatry
11621,1.17,,podiatry
11622,1.39,,podiatry
11623,1.71,,podiatry
11624,2.15,,podiatry
11626,2.69,,podiatry
11719,0.18,,podiatry
11720,0.16,,podiatry
11721,0.24,,podiatry
11730,0.34,,podiatry
11732,0.25,,podiatry
11740,0.27,,podiatry
11750,1.21,,podiatry
11755,0.54,,podiatry
11760,1.48,,podiatry
11762,2.15,,podiatry
11765,0.81,,podiatry
11900,0.22,,podiatry
11901,0.34,,podiatry
12001,0.39,,podiatry
12002,0.50,,podiatry
12004,0.66,,podiatry
12005,0.81,,podiatry
12006,0.99,,podiatry
12007,1.78,,podiatry
12041,0.68,,podiatry
12042,0.86,,podiatry
12044,1.13,,podiatry
12045,1.49,,podiatry
12046,1.94,,podiatry
12047,2.29,,podiatry
13131,1.35,,podiatry
13132,3.50,,podiatry
13133,1.21,,podiatry
14040,5.20,,podiatry
14041,6.70,,podiatry
14350,3.99,,podiatry
15004,2.24,,podiatry
15005,0.72,,podiatry
15040,1.66,,podiatry
15050,2.00,,podiatry
15100,5.21,,podiatry
15101,1.39,,podiatry
15110,5.03,,podiatry
15111,0.83,,podiatry
15115,4.89,,podiatry
15116,1.10,,podiatry
15120,5.12,,podiatry
15121,1.80,,podiatry
15130,3.97,,podiatry
15131,0.67,,podiatry
15135,5.07,,podiatry
15136,0.63,,podiatry
15150,4.00,,podiatry
15151,0.88,,podiatry
15152,1.08,,podiatry
15155,4.02,,podiatry
15156,1.17,,podiatry
15157,1.35,,podiatry
15240,5.30,,podiatry
15271,0.66,,podiatry
15272,0.13,,podiatry
15273,1.58,,podiatry
15274,0.33,,podiatry
15275,0.77,,podiatry
15276,0.19,,podiatry
15277,1.64,,podiatry
15278,0.41,,podiatry
15574,5.75,,podiatry
15620,5.40,,podiatry
15756,18.09,,podiatry
15757,21.28,,podiatry
15758,23.43,,podiatry
15777,1.62,,podiatry
15782,2.50,,podiatry
15786,0.36,,podiatry
15787,0.20,,podiatry
15792,1.00,,podiatry
15793,1.51,,podiatry
15850,0.50,,podiatry
15851,0.31,,podiatry
15852,0.35,,podiatry
15860,0.90,,podiatry
16000,0.25,,podiatry
16020,0.38,,podiatry
16025,0.61,,podiatry
16030,0.90,,podiatry
17000,0.26,,podiatry
17003,0.13,,podiatry
17004,1.08,,podiatry
17110,0.27,,podiatry
17111,BR,,podiatry
17250,0.22,,podiatry
17340,0.15,,podiatry
20005,0.60,,podiatry
20200,0.70,,podiatry
20205,1.40,,podiatry
20206,0.25,,podiatry
20220,0.80,,podiatry
20500,0.25,,podiatry
20501,0.25,,podiatry
20520,0.60,,podiatry
20525,2.60,,podiatry
20550,0.44,,podiatry
20551,0.44,,podiatry
20552,0.47,,podiatry
20553,0.52,,podiatry
20600,0.28,,podiatry
20605,0.31,,podiatry
20610,0.25,,podiatry
20612,0.31,,podiatry
20615,0.80,,podiatry
20650,0.70,,podiatry
20660,2.00,,podiatry
20665,0.20,,podiatry
20670,0.35,,podiatry
20680,2.40,,podiatry
20696,7.25,,podiatry
20697,8.59,,podiatry
20900,1.60,,podiatry
20924,2.17,,podiatry
20926,2.07,,podiatry
20975,4.14,,podiatry
20979,2.59,,podiatry
20985,0.83,,podiatry
20999,BR,,podiatry
27600,6.47,,podiatry
27601,6.04,,podiatry
27602,7.77,,podiatry
27603,3.67,,podiatry
27604,3.67,,podiatry
27605,3.45,,podiatry
27606,3.45,,podiatry
27607,5.18,,podiatry
27610,6.47,,podiatry
27612,7.33,,podiatry
27613,3.23,,podiatry
27614,3.88,,podiatry
27615,6.47,,podiatry
27616,10.56,,podiatry
27618,3.23,,podiatry
27619,3.88,,podiatry
27620,6.47,,podiatry
27625,9.06,,podiatry
27626,9.06,,podiatry
27630,3.23,,podiatry
27632,2.48,,podiatry
27634,5.80,,podiatry
27635,7.77,,podiatry
27637,9.49,,podiatry
27638,8.20,,podiatry
27640,7.90,,podiatry
27641,4.32,,podiatry
27645,12.07,,podiatry
27646,9.49,,podiatry
27647,8.63,,podiatry
27648,0.40,,podiatry
27650,7.77,,podiatry
27652,9.49,,podiatry
27654,9.92,,podiatry
27656,3.95,,podiatry
27658,5.18,,podiatry
27659,6.47,,podiatry
27664,3.45,,podiatry
27665,3.23,,podiatry
27675,6.47,,podiatry
27676,7.77,,podiatry
27680,3.26,,podiatry
27681,3.95,,podiatry
27685,6.04,,podiatry
27686,6.04,,podiatry
27687,4.64,,podiatry
27690,6.04,,podiatry
