From,Thru,Region
12007,12099,
12106,12177,
12184,12199,
12401,12498,
12701,12792,
12801,12887,
12901,12998,
13020,13094,
13101,13176,
13301,13368,
13401,13439,
13450,13495,
12179,12183,II
12201,12288,II
12301,12345,II
12501,12594,II
12601,12614,II
13201,13290,II
06390,06390,III
10501,10598,III
10601,10650,III
10701,10710,III
00501,00501,IV
00544,00544,IV
10001,10099,IV
10100,10199,IV
10200,10299,IV
10301,10314,IV
10401,10499,IV
11001,11096,IV
00501,00501,IV
00544,00544,IV
06390,06390,IV
10001,10099,IV
10100,10199,IV
10200,10299,IV
10301,10314,IV
10401,10499,IV
10501,10598,IV
10601,10650,IV
10701,10710,IV
10801,10805,IV
10901,10998,IV
11001,11096,IV
11101,11120,IV
11201,11256,IV
11301,11390,IV
11401,11499,IV
11501,11599,IV
11601,11697,IV
11701,11798,IV
11801,11854,IV
11901,11980,IV
12007,12099,IV
12106,12177,IV
12179,12183,IV
12184,12199,IV
12201,12288,IV
12301,12345,IV
12007,12099,I
12106,12177,I
12184,12199,I
12401,12498,I
12701,12792,I
12801,12887,I
12901,12998,I
13020,13094,I
13101,13176,I
13301,13368,I
13401,13439,I
13450,13495,I
12179,12183,II
12201,12288,II
12301,12345,II
12501,12594,II
12601,12614,II
13201,13290,II
10801,06390,II
10901,10598,II
11901,10650,II
11101,00501,II
11201,00544,II
11301,10099,II
11401,10199,II
11501,10299,II
11601,10314,II
11701,10499,II
11801,11096,II
00501,00501,II
00544,00544,II
06390,06390,II
10001,10099,II
10100,10199,II
10200,10299,II
10301,10314,II
10401,10499,II
10501,10598,II
10601,10650,II
10701,10710,II
10801,10805,II
10901,10998,II
11001,11096,II
11101,11120,II
11201,11256,II
11301,11390,II
11401,11499,II
11501,11599,II
11601,11697,II
11701,11798,II
11801,11854,II
11901,11980,II
12007,12099,II
12106,12177,II
12179,12183,II
12184,12199,II
12201,12288,II
12301,12345,II
12007,12099,I
12106,12177,I
12184,12199,I
12401,12498,I
12701,12792,I
12801,12887,I
12901,12998,I
13020,13094,I
13101,13176,I
13301,13368,I
13401,13439,I
13450,13495,I
13440,12183,I
13501,12288,I
13901,12345,I
14201,12594,I
14601,12614,I
,13290,I
10801,06390,I
10901,10598,I
11901,10650,I
,10710,I
11101,00501,I
11201,00544,I
11301,10099,I
11401,10199,I
11501,10299,I
11601,10314,I
11701,10499,I
11801,11096,I
00501,00501,I
00544,00544,I
06390,06390,I
10001,10099,I
10100,10199,I
10200,10299,I
10301,10314,I
10401,10499,I
10501,10598,I
10601,10650,I
10701,10710,I
10801,10805,I
10901,10998,I
11001,11096,I
11101,11120,I
11201,11256,I
11301,11390,I
11401,11499,I
11501,11599,I
11601,11697,I
11701,11798,I
11801,11854,I
11901,11980,I
12007,12099,I
12106,12177,I
12179,12183,I
12184,12199,I
12201,12288,I
12301,12345,I
12007,12099,I
12106,12177,I
12184,12199,I
12401,12498,I
12701,12792,I
12801,12887,I
12901,12998,I
13020,13094,I
13101,13176,I
13440,12183,I
13501,12288,I
13901,12345,I
14201,12594,I
14601,12614,I
,13290,I
10801,06390,I
10901,10598,I
11901,10650,I
,10710,I
11101,00501,I
11201,00544,I
11301,10099,I
11401,10199,I
11501,10299,I
11601,10314,I
11701,10499,I
11801,11096,I
00501,00501,I
00544,00544,I
06390,06390,I
10001,10099,I
10100,10199,I
10200,10299,I
10301,10314,I
10401,10499,I
10501,10598,I
10601,10650,I
10701,10710,I
10801,10805,I
10901,10998,I
11001,11096,I
11101,11120,I
11201,11256,I
11301,11390,I
11401,11499,I
11501,11599,I
11701,11798,I
11801,11854,I
11901,11980,I
12007,12099,I
12106,12177,I
12179,12183,I
12184,12199,I
12201,12288,I
12301,12345,I
