code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
99100,Anesthesia for patient of extreme age: under one year and over seventy (List sep- arately in addition to code for primary anesthesia procedure),,,,False,False,False,False,False
99116,Anesthesia complicated by utilization of total body hypothermia (List separately in addition to code for primary anesthesia procedure),,,,False,False,False,False,False
99135,Anesthesia complicated by utilization of controlled hypotension (List separately in addition to code for primary anesthesia procedure),,,,False,False,False,False,False
99140,Anesthesia complicated by emergency conditions (specify) (List separately in addition to code for primary anesthesia procedure) (An emergency is defined as existing when delay in treatment of the patient would lead to a significant increase in the threat to life or body part.),,,,False,False,False,False,False
00100,"Anesthesia for procedures on salivary glands, including biopsy",,,,False,False,False,False,False
00102,Anesthesia for procedures involving plastic repair of cleft lip,,,,False,False,False,False,False
00103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)",,,,False,False,False,False,False
00104,Anesthesia for electroconvulsive therapy,,,,False,False,False,False,False
00120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified",,,,False,False,False,False,False
00124,"Anesthesia for procedures on external, middle, and inner ear including biopsy; otoscopy",,,,False,False,False,False,False
00126,"Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy",,,,False,False,False,False,False
00140,Anesthesia for procedures on eye; not otherwise specified,,,,False,False,False,False,False
00142,Anesthesia for procedures on eye; lens surgery,,,,False,False,False,False,False
00144,Anesthesia for procedures on eye; corneal transplant,,,,False,False,False,False,False
00145,Anesthesia for procedures on eye; vitreoretinal surgery,,,,False,False,False,False,False
00147,Anesthesia for procedures on eye; iridectomy,,,,False,False,False,False,False
00148,Anesthesia for procedures on eye; ophthalmoscopy,,,,False,False,False,False,False
00160,Anesthesia for procedures on nose and accessory sinuses; not otherwise specified,,,,False,False,False,False,False
00162,Anesthesia for procedures on nose and accessory sinuses; radical surgery,,,,False,False,False,False,False
00164,"Anesthesia for procedures on nose and accessory sinuses; biopsy, soft tissue",,,,False,False,False,False,False
00170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified",,,,False,False,False,False,False
00172,"Anesthesia for intraoral procedures, including biopsy; repair of cleft palate",,,,False,False,False,False,False
00174,"Anesthesia for intraoral procedures, including biopsy; excision of retropharyngeal tumor",,,,False,False,False,False,False
00176,"Anesthesia for intraoral procedures, including biopsy; radical surgery",,,,False,False,False,False,False
00190,Anesthesia for procedures on facial bones or skull; not otherwise specified,,,,False,False,False,False,False
00192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism),,,,False,False,False,False,False
00210,Anesthesia for intracranial procedures; not otherwise specified,,,,False,False,False,False,False
00211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma,,,,False,False,False,False,False
00212,Anesthesia for intracranial procedures; subdural taps,,,,False,False,False,False,False
00214,"Anesthesia for intracranial procedures; burr holes, including ventriculography",,,,False,False,False,False,False
00215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)",,,,False,False,False,False,False
00216,Anesthesia for intracranial procedures; vascular procedures,,,,False,False,False,False,False
00218,Anesthesia for intracranial procedures; procedures in sitting position,,,,False,False,False,False,False
00220,Anesthesia for intracranial procedures; cerebrospinal fluid shunting procedures,,,,False,False,False,False,False
00222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve,,,,False,False,False,False,False
00300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and poste- rior trunk, not otherwise specified",,,,False,False,False,False,False
00320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older",,,,False,False,False,False,False
00322,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; needle biopsy of thyroid",,,,False,False,False,False,False
00326,Anesthesia for all procedures on the larynx and trachea in children younger than 1 year of age,,,,False,False,False,False,False
00350,Anesthesia for procedures on major vessels of neck; not otherwise specified,,,,False,False,False,False,False
00352,Anesthesia for procedures on major vessels of neck; simple ligation,,,,False,False,False,False,False
00400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified",,,,False,False,False,False,False
00402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)",,,,False,False,False,False,False
00404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast",,,,False,False,False,False,False
00630,Anesthesia for procedures in lumbar region; not otherwise specified,,,,False,False,False,False,False
00632,Anesthesia for procedures in lumbar region; lumbar sympathectomy,,,,False,False,False,False,False
00635,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture,,,,False,False,False,False,False
00640,"Anesthesia for manipulation of the spine or for closed procedures on the cervical, thoracic or lumbar spine",,,,False,False,False,False,False
00670,"Anesthesia for extensive spine and spinal cord procedures (eg, spinal instrumentation or vascular proce- dures)",,,,False,False,False,False,False
00700,Anesthesia for procedures on upper anterior abdominal wall; not otherwise specified,,,,False,False,False,False,False
00702,Anesthesia for procedures on upper anterior abdominal wall; percutaneous liver biopsy,,,,False,False,False,False,False
00730,Anesthesia for procedures on upper posterior abdominal wall,,,,False,False,False,False,False
00731,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duode- num; not otherwise specified",,,,False,False,False,False,False
00732,"Anesthesia for upper gastrointestinal endoscopic procedures, endoscope introduced proximal to duode- num; endoscopic retrograde cholangiopancreatography (ER C P)",,,,False,False,False,False,False
00750,Anesthesia for hernia repairs in upper abdomen; not otherwise specified,,,,False,False,False,False,False
00752,Anesthesia for hernia repairs in upper abdomen; lumbar and ventral (incisional) hernias and/or wound dehiscence,,,,False,False,False,False,False
00754,Anesthesia for hernia repairs in upper abdomen; omphalocele,,,,False,False,False,False,False
00756,Anesthesia for hernia repairs in upper abdomen; transabdominal repair of diaphragmatic hernia,,,,False,False,False,False,False
00770,Anesthesia for all procedures on major abdominal blood vessels,,,,False,False,False,False,False
00790,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; not otherwise speci- fied,,,,False,False,False,False,False
00792,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; partial hepatectomy or management of liver hemorrhage (excluding liver biopsy),,,,False,False,False,False,False
00794,"Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; pancreatectomy, par- tial or total (eg, Whipple procedure)",,,,False,False,False,False,False
00796,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; liver transplant (recip- ient),,,,False,False,False,False,False
00797,Anesthesia for intraperitoneal procedures in upper abdomen including laparoscopy; gastric restrictive pro- cedure for morbid obesity,,,,False,False,False,False,False
