code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
0165T,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, each additional interspace, lumbar (List separately in addition to code for primary procedure)",3.61,YYY,,False,False,False,False,False
0174T,"Computer-aided detection (CAD) (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation and report, with or without digitization of film radiographic images, chest radio- graph(s), performed concurrent with primary interpretation (List separately in addition to code for primary procedure)",0.60,XXX,,False,False,False,False,False
0175T,"Computer-aided detection (CAD) (computer algorithm analysis of digital image data for lesion detection) with further physician review for interpretation and report, with or without digitization of film radiographic images, chest radio- graph(s), performed remote from primary interpretation",0.60,XXX,,False,False,False,False,False
0184T,"Excision of rectal tumor, transanal endoscopic microsurgical approach (ie, TEMS), including muscularis propria (ie, full thickness)",6.22,XXX,,False,False,False,False,False
0188T Remote,"real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",,XXX,,False,False,False,False,True
0189T,"Remote real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 min- utes (List separately in addition to code for primary service)",,XXX,,False,False,False,False,True
0190T,Placement of intraocular radiation source applicator (List separately in addition to primary procedure),1.87,XXX,,False,False,False,False,False
0191T,"Insertion of anterior segment aqueous drainage device, without extraocular reser- voir, internal approach, into the trabecular meshwork; initial insertion",6.40,XXX,,False,False,False,False,False
0195T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when per- formed; L5-S1 interspace",,XXX,,False,False,False,False,True
0196T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when per- formed; L4-L5 interspace (List separately in addition to code for primary proce- dure)",,XXX,,False,False,False,False,True
0198T,"Measurement of ocular blood flow by repetitive intraocular pressure sampling, with interpretation and report",9.99,XXX,,False,False,False,False,False
0200T,"Percutaneous sacral augmentation (sacroplasty), unilateral injection(s), including the use of a balloon or mechanical device,when used, 1 or more needles, includes imaging guidance and bone biopsy, when performed",8.70,XXX,,False,False,False,False,False
