code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
95860,Needle electromyography; 1 extremity with or without related paraspinal areas,21.98,XXX,80/20,False,False,False,False,False
95861,Needle electromyography; 2 extremities with or without related paraspinal areas,28.58,XXX,80/20,False,False,False,False,False
95863,Needle electromyography; 3 extremities with or without related paraspinal areas,37.2,XXX,80/20,False,False,False,False,False
95864,Needle electromyography; 4 extremities with or without related paraspinal areas,48.36,XXX,80/20,False,False,False,False,False
95867,"Needle electromyography; cranial nerve supplied muscle(s), unilateral",22.83,XXX,80/20,False,False,False,False,False
95868,"Needle electromyography; cranial nerve supplied muscles, bilateral",39.91,XXX,80/20,False,False,False,False,False
95869,Needle electromyography; thoracic paraspinal muscles (excluding T1 or T12),16.91,XXX,80/20,False,False,False,False,False
95870,"Needle electromyography; limited study of muscles in 1 extremity or non-limb (axial) muscles (unilateral or bilateral), other than thoracic paraspinal, cranial nerve supplied muscles, or sphincters",16.91,XXX,80/20,False,False,False,False,False
95885,"Needle electromyography, each extremity, with related paraspinal areas, when performed, done with nerve conduction, amplitude and latency/velocity study; lim- ited (List separately in addition to code for primary procedure)",11.66,ZZZ,32/68,False,False,False,False,False
95886,"Needle electromyography, each extremity, with related paraspinal areas, when performed, done with nerve conduction, amplitude and latency/velocity study; complete, five or more muscles studied, innervated by three or more nerves or four or more spinal levels (List separately in addition to code for primary proce- dure)",18.27,ZZZ,54/46,False,False,False,False,False
95887,"Needle electromyography, non-extremity (cranial nerve supplied or axial) mus- cle(s) done with nerve conduction, amplitude and latency/velocity study (List sep- arately in addition to code for primary procedure)",16.28,ZZZ,48/52,False,False,False,False,False
95907,Nerve conduction studies; 1-2 studies,19.02,XXX,55/45,False,False,False,False,False
95908,Nerve conduction studies; 3-4 studies,24.63,XXX,54/46,False,False,False,False,False
95909,Nerve conduction studies; 5-6 studies,29.35,XXX,54/46,False,False,False,False,False
95910,Nerve conduction studies; 7-8 studies,38.65,XXX,54/46,False,False,False,False,False
95911,Nerve conduction studies; 9-10 studies,46.11,XXX,57/43,False,False,False,False,False
95912,Nerve conduction studies; 11-12 studies,51.17,XXX,61/39,False,False,False,False,False
95913,Nerve conduction studies; 13 or more studies,59.03,XXX,62/38,False,False,False,False,False
95925,"Short-latency somatosensory evoked potential study, stimulation of any/all periph- eral nerves or skin sites, recording from the central nervous system; in upper limbs",35.76,XXX,80/20,False,False,False,False,False
95926,"Short-latency somatosensory evoked potential study, stimulation of any/all periph- eral nerves or skin sites, recording from the central nervous system; in lower limbs",35.76,XXX,80/20,False,False,False,False,False
95927,"Short-latency somatosensory evoked potential study, stimulation of any/all periph- eral nerves or skin sites, recording from the central nervous system; in the trunk or head",35.76,XXX,80/20,False,False,False,False,False
95930,"Visual evoked potential (VEP) checkerboard or flash testing, central nervous sys- tem except glaucoma, with interpretation and report",16.91,XXX,50/50,False,False,False,False,False
95933,"Orbicularis oculi (blink) reflex, by electrodiagnostic testing",14.37,XXX,80/20,False,False,False,False,False
95937,"Neuromuscular junction testing (repetitive stimulation, paired stimuli), each nerve, any 1 method",13.36,XXX,80/20,False,False,False,False,False
95999,Unlisted neurological or neuromuscular diagnostic procedure,0,XXX,,False,False,False,False,False
97810,"Acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient",3.55,XXX,,False,False,False,False,False
97811,"Acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of nee- dle(s) (List separately in addition to code for primary procedure)",3.04,ZZZ,,False,False,False,False,False
97813,"Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient",3.89,XXX,,False,False,False,False,False
97814,"Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of nee- dle(s) (List separately in addition to code for primary procedure)",3.38,ZZZ,,False,False,False,False,False
97010,Application of a modality to 1 or more areas; hot or cold packs,0.55,XXX,,False,False,False,False,False
97012,"Application of a modality to 1 or more areas; traction, mechanical",2.71,XXX,,False,False,False,False,False
97014,Application of a modality to 1 or more areas; electrical stimulation (unattended),2.66,XXX,,False,False,False,False,False
97024,"Application of a modality to 1 or more areas; diathermy (eg, microwave)",2.71,XXX,,False,False,False,False,False
97026,Application of a modality to 1 or more areas; infrared,2.54,XXX,,False,False,False,False,False
97028,Application of a modality to 1 or more areas; ultraviolet,2.54,XXX,,False,False,False,False,False
97032,"Application of a modality to 1 or more areas; electrical stimulation (manual), each 15 minutes",2.45,XXX,,False,False,False,False,False
97033,"Application of a modality to 1 or more areas; iontophoresis, each 15 minutes",3.55,XXX,,False,False,False,False,False
97034,"Application of a modality to 1 or more areas; contrast baths, each 15 minutes",2.37,XXX,,False,False,False,False,False
97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",2.41,XXX,,False,False,False,False,False
97036,"Application of a modality to 1 or more areas; Hubbard tank, each 15 minutes",3.89,XXX,,False,False,False,False,False
97039,Unlisted modality (specify type and time if constant attendance),,XXX,,False,False,False,False,True
97110,"Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility",3.97,XXX,,False,False,False,False,False
97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sit- ting and/or standing activities",3.89,XXX,,False,False,False,False,False
97113,"Therapeutic procedure, 1 or more areas, each 15 minutes; aquatic therapy with therapeutic exercises",4.40,XXX,,False,False,False,False,False
97116,"Therapeutic procedure, 1 or more areas, each 15 minutes; gait training (includes stair climb- ing)",3.51,XXX,,False,False,False,False,False
97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",2.62,XXX,,False,False,False,False,False
97139,Unlisted therapeutic procedure (specify),2.89,XXX,,False,False,False,False,False
97140,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes",4.23,XXX,,False,False,False,False,False
97530,"Therapeutic activities, direct (one-on-one) patient contact (use of dynamic activities to improve functional performance), each 15 minutes",2.87,XXX,,False,False,False,False,False
97545,Work hardening/conditioning ; initial 4 hours,28.00,XXX,,False,False,False,False,False
97546,Work hardening/conditioning; each additional hour (List separately in addition to code for primary procedure),3.30,ZZZ,,False,False,False,False,False
97750,"Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes",0.00,XXX,,False,False,False,False,False
97763,"Orthotic(s)/prosthetic(s) management and/or training, upper extremity(ies), lower extrem- ity(ies), and/or trunk, subsequent orthotic(s)/prosthetic(s) encounter, each 15 minutes",3.55,XXX,,False,False,False,False,False
98940,"Chiropractic manipulative treatment (CMT); spinal, 1-2 regions",4.57,000,,False,False,False,False,False
