code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
90281,"Immune globulin (Ig), human, for intramuscular use",,XXX,,False,False,False,False,True
90283,"Immune globulin (IgIV), human, for intravenous use",,XXX,,False,False,False,False,True
90284,"Immune globulin (SCIg), human, for use in subcutaneous infusions, 100 mg, each",,XXX,,False,False,False,False,True
90287,"Botulinum antitoxin, equine, any route",,XXX,,False,False,False,False,True
90288,"Botulism immune globulin, human, for intravenous use",,XXX,,False,False,False,False,True
90291,"Cytomegalovirus immune globulin (CMV-IgIV), human, for intravenous use",,XXX,,False,False,False,False,True
90296,"Diphtheria antitoxin, equine, any route",,XXX,,False,False,False,False,True
90371,"Hepatitis B immune globulin (HBIg), human, for intramuscular use",57.03,XXX,,False,True,False,False,False
90375,"Rabies immune globulin (RIg), human, for intramuscular and/or subcutaneous use",74.66,XXX,,False,False,False,False,False
90376,"Rabies immune globulin, heat-treated (RIg-HT), human, for intramuscular and/or subcutaneous use",74.66,XXX,,False,False,False,False,False
90378,"Respiratory syncytial virus, monoclonal antibody, recombinant, for intramuscular use, 50 mg, each",,XXX,,False,False,False,False,True
90384,"Rho(D) immune globulin (RhIg), human, full-dose, for intramuscular use",11.84,XXX,,False,False,False,False,False
90385,"Rho(D) immune globulin (RhIg), human, mini-dose, for intramuscular use",5.41,XXX,,False,False,False,False,False
90386,"Rho(D) immune globulin (RhIgIV), human, for intravenous use",12.68,XXX,,False,False,False,False,False
90389,"Tetanus immune globulin (TIg), human, for intramuscular use",6.55,XXX,,False,False,False,False,False
90393,"Vaccinia immune globulin, human, for intramuscular use",,XXX,,False,False,False,False,True
90396,"Varicella-zoster immune globulin, human, for intramuscular use",12.18,XXX,,False,False,False,False,False
90399,Unlisted immune globulin,,XXX,,False,False,False,False,True
90460,"Immunization administration through 18 years of age via any route of administra- tion, with counseling by physician or other qualified health care professional; first or only component of each vaccine or toxoid administered",2.54,XXX,,False,False,False,False,False
90461,"Immunization administration through 18 years of age via any route of administra- tion, with counseling by physician or other qualified health care professional; each additional vaccine or toxoid component administered (List separately in addition to code for primary procedure)",1.52,ZZZ,,False,False,False,False,False
90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",2.20,XXX,,False,False,False,False,False
90472,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); each additional vaccine (single or combination vac- cine/toxoid) (List separately in addition to code for primary procedure)",2.20,ZZZ,,False,False,False,False,False
90473,Immunization administration by intranasal or oral route; 1 vaccine (single or com- bination vaccine/toxoid),2.20,XXX,,False,False,False,False,False
90474,Immunization administration by intranasal or oral route; each additional vaccine (single or combination vaccine/toxoid) (List separately in addition to code for pri- mary procedure),2.20,ZZZ,,False,False,False,False,False
90476,"Adenovirus vaccine, type 4, live, for oral use",,XXX,,False,False,False,False,True
90477,"Adenovirus vaccine, type 7, live, for oral use",,XXX,,False,False,False,False,True
90581,"Anthrax vaccine, for subcutaneous or intramuscular use",14.08,XXX,,False,False,False,False,False
90585,"Bacillus Calmette-Guerin vaccine (BCG) for tuberculosis, live, for percutaneous use",16.28,XXX,,False,False,False,False,False
90586,"Bacillus Calmette-Guerin vaccine (BCG) for bladder cancer, live, for intravesical use",18.52,XXX,,False,False,False,False,False
90587,"Dengue vaccine, quadrivalent, live, 3 dose schedule, for subcutaneous use",,XXX,,False,False,False,False,True
90620,"Meningococcal recombinant protein and outer membrane vesicle vaccine, sero- group B (MenB-4C), 2 dose schedule, for intramuscular use",,XXX,,False,True,False,False,True
90621,"Meningococcal recombinant lipoprotein vaccine, serogroup B (MenB-FHbp), 2 or 3 dose schedule, for intramuscular use",,XXX,,False,True,False,False,True
90625,"Cholera vaccine, live, adult dosage, 1 dose schedule, for oral use",,XXX,,False,False,False,False,True
B 90630,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, for intra- dermal use",3.90,XXX,,False,False,False,False,False
90632,"Hepatitis A vaccine (HepA), adult dosage, for intramuscular use",6.21,XXX,,False,False,False,False,False
90633,"Hepatitis A vaccine (HepA), pediatric/adolescent dosage-2 dose schedule, for intramuscular use",3.00,XXX,,False,False,False,False,False
90634,"Hepatitis A vaccine (HepA), pediatric/adolescent dosage-3 dose schedule, for intramuscular use",3.00,XXX,,False,False,False,False,False
90636,"Hepatitis A and hepatitis B vaccine (HepA-HepB), adult dosage, for intramuscular use",9.30,XXX,,False,True,False,False,False
B 90644,"Meningococcal conjugate vaccine, serogroups C &YandHaemophilus influenzae type b vaccine (Hib-MenCY), 4 dose schedule, when administered to children 6 weeks-18 months of age, for intramuscular use",2.71,XXX,,False,False,False,False,False
B 90647,"Haemophilus influenzae type b vaccine (Hib), PRP-OMP conjugate, 3 dose sched- ule, for intramuscular use",2.45,XXX,,False,False,False,False,False
B 90648,"Haemophilus influenzae type b vaccine (Hib), PRP-T conjugate, 4 dose schedule, for intramuscular use",1.86,XXX,,False,False,False,False,False
90649,"Human Papillomavirus vaccine, types 6, 11, 16, 18, quadrivalent (4vHPV), 3 dose schedule, for intramuscular use",12.85,XXX,,False,False,False,False,False
B 90650,"HumanPapillomavirus vaccine, types 16, 18, bivalent (2vHPV), 3 dose schedule, for intramuscular use",,XXX,,False,False,False,False,True
90651,"Human Papillomavirus vaccine types 6, 11, 16, 18, 31, 33, 45, 52, 58, nonavalent (9vHPV), 2 or 3 dose schedule, for intramuscular use",,XXX,,False,False,False,False,True
B 90653,"Influenza vaccine, inactivated (IIV), subunit, adjuvanted, for intramuscular use",9.51,XXX,,False,False,False,False,False
B 90654,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative-free, for intrader- mal use",3.84,XXX,,False,False,False,False,False
B 90655,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative free, 0.25 mL dos- age, for intramuscular use",1.56,XXX,,False,False,False,False,False
B 90656,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative free, 0.5 mL dos- age, for intramuscular use",1.56,XXX,,False,False,False,False,False
B 90657,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.25 mL dosage, for intramuscu- lar use",1.14,XXX,,False,False,False,False,False
90658,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.5 mL dosage, for intramuscu- lar use",1.14,XXX,,False,False,False,False,False
90660,"Influenza virus vaccine, trivalent, live (LAIV3), for intranasal use",2.03,XXX,,False,False,False,False,False
90661,"Influenza virus vaccine, trivalent (ccIIV3), derived from cell cultures, subunit, pre- servative and antibiotic free, 0.5 mL dosage, for intramuscular use",,XXX,,False,False,False,False,True
90662,"Influenza virus vaccine (IIV), split virus, preservative free, enhanced immunoge- nicity via increased antigen content, for intramuscular use",6.47,XXX,,False,False,False,False,False
90664,"Influenza virus vaccine, live (LAIV), pandemic formulation, for intranasal use",,XXX,,False,False,False,False,True
90666,"Influenza virus vaccine (IIV), pandemic formulation, split virus, preservative free, for intramuscular use",,XXX,,False,False,False,False,True
90667,"Influenza virus vaccine (IIV), pandemic formulation, split virus, adjuvanted, for intramuscular use",,XXX,,False,False,False,False,True
90668,"Influenza virus vaccine (IIV), pandemic formulation, split virus, for intramuscular use",,XXX,,False,False,False,False,True
90670,"Pneumococcal conjugate vaccine, 13 valent (PCV13), for intramuscular use",10.52,XXX,,False,False,False,False,False
B 90672,"Influenza virus vaccine, quadrivalent, live (LAIV4), for intranasal use",,XXX,,False,False,False,False,True
B 90673,"Influenza virus vaccine, trivalent (RIV3), derived from recombinant DNA, hemag- glutinin (HA) protein only, preservative and antibiotic free, for intramuscular use",7.73,XXX,,False,False,False,False,False
B 90674,"Influenza virus vaccine, quadrivalent (ccIIV4), derived from cell cultures, subunit, preservative and antibiotic free, 0.5 mL dosage, for intramuscular use",4.58,XXX,,False,False,False,False,False
90675,"Rabies vaccine, for intramuscular use",14.58,XXX,,False,False,False,False,False
90676,"Rabies vaccine, for intradermal use",,XXX,,False,False,False,False,True
90680,"Rotavirus vaccine, pentavalent (RV5), 3 dose schedule, live, for oral use",5.07,XXX,,False,False,False,False,False
90681,"Rotavirus vaccine, human, attenuated (RV1), 2 dose schedule, live, for oral use",7.61,XXX,,False,False,False,False,False
90682,"Influenza virus vaccine, quadrivalent (RIV4), derived from recombinant DNA, hem- agglutinin (HA) protein only, preservative and antibiotic free, for intramuscular use",8.82,XXX,,False,False,False,False,False
90685,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.25 mL, for intramuscular use",4.04,XXX,,False,False,False,False,False
90686,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, 0.5 mL dosage, for intramuscular use",3.63,XXX,,False,False,False,False,False
90687,"Influenza virus vaccine, quadrivalent (IIV4), split virus, 0.25 mL dosage, for intra- muscular use",1.78,XXX,,False,False,False,False,False
90688,"Influenza virus vaccine, quadrivalent (IIV4), split virus, 0.5 mL dosage, for intra- muscular use",3.42,XXX,,False,False,False,False,False
90690,"Typhoid vaccine, live, oral",3.21,XXX,,False,False,False,False,False
90691,"Typhoid vaccine, Vi capsular polysaccharide (ViCPs), for intramuscular use",3.89,XXX,,False,False,False,False,False
90696,"Diphtheria, tetanus toxoids, acellular pertussis vaccine and inactivated poliovirus vaccine (DTaP-IPV), when administered to children 4 through 6 years of age, for intramuscular use",,XXX,,False,False,False,False,True
90697,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, inactivated poliovirus vaccine, Haemophilus influenzae type b PRP-OMP conjugate vaccine, and hepati- tis B vaccine (DTaP-IPV-Hib-HepB), for intramuscular use",,XXX,,False,True,False,False,True
90698,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, Haemophilus influenzae type b, and inactivated poliovirus vaccine, (DTaP-IPV/Hib), for intramuscular use",7.61,XXX,,False,False,False,False,False
90700,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP), when adminis- tered to individuals younger than 7 years, for intramuscular use",2.96,XXX,,False,False,False,False,False
90702,"Diphtheria and tetanus toxoids adsorbed (DT) when administered to individuals younger than 7 years, for intramuscular use",1.40,XXX,,False,False,False,False,False
90707,"Measles, mumps and rubella virus vaccine (MMR), live, for subcutaneous use",4.86,XXX,,False,False,False,False,False
90710,"Measles, mumps, rubella, and varicella vaccine (MMRV), live, for subcutaneous use",13.53,XXX,,False,False,False,False,False
90713,"Poliovirus vaccine, inactivated (IPV), for subcutaneous or intramuscular use",3.38,XXX,,False,False,False,False,False
90714,"Tetanus and diphtheria toxoids adsorbed (Td), preservative free, when adminis- tered to individuals 7 years or older, for intramuscular use",2.54,XXX,,False,False,False,False,False
90715,"Tetanus, diphtheria toxoids and acellular pertussis vaccine (Tdap), when adminis- tered to individuals 7 years or older, for intramuscular use",2.28,XXX,,False,False,False,False,False
90716,"Varicella virus vaccine (VAR), live, for subcutaneous use",5.79,XXX,,False,False,False,False,False
90717,"Yellow fever vaccine, live, for subcutaneous use",6.64,XXX,,False,False,False,False,False
90723,"Diphtheria, tetanus toxoids, acellular pertussis vaccine, hepatitis B, and inacti- vated poliovirus vaccine (DTaP-HepB-IPV), for intramuscular use",7.44,XXX,,False,False,False,False,False
90732,"Pneumococcal polysaccharide vaccine, 23-valent (PPSV23), adult or immunosup- pressed patient dosage, when administered to individuals 2 years or older, for sub- cutaneous or intramuscular use",2.41,XXX,,False,False,False,False,False
90733,"Meningococcal polysaccharide vaccine, serogroups A, C, Y, W-135, quadrivalent (MPSV4), for subcutaneous use",10.10,XXX,,False,False,False,False,False
90734,"Meningococcal conjugate vaccine, serogroups A, C, Y and W-135, quadrivalent (MCV4 or MenACWY), for intramuscular use",9.64,XXX,,False,False,False,False,False
90736,"Zoster (shingles) vaccine (HZV), live, for subcutaneous injection",16.23,XXX,,False,False,False,False,False
90738,"Japanese encephalitis virus vaccine, inactivated, for intramuscular use",6.71,XXX,,False,False,False,False,False
90739,"Hepatitis B vaccine (HepB), adult dosage, 2 dose schedule, for intramuscular use",24.90,XXX,,False,True,False,False,False
