code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
"Basic metabolic panel (Calcium, ionized)",,14.79,XXX,0/100,False,False,False,False,False
"Basic metabolic panel (Calcium, total)",,12.94,XXX,0/100,False,False,False,False,False
General health panel,,33.89,XXX,0/100,False,False,False,False,False
Electrolyte panel,,10.47,XXX,0/100,False,False,False,False,False
Comprehensive metabolic panel,17.87,,XXX,0/100,False,False,False,False,False
Obstetric panel,,38.81,XXX,0/100,False,False,False,False,False
Lipid panel,,23.72,XXX,0/100,False,False,False,False,False
Renal function panel,14.17,,XXX,0/100,False,False,False,False,False
Acute hepatitis panel,57.91,,XXX,0/100,False,False,False,False,False
Hepatic function panel,12.32,,XXX,0/100,False,False,False,False,False
Obstetric panel (includes HIV testing),,83.06,XXX,0/100,False,False,False,False,False
Amikacin,27.72,,XXX,0/100,False,False,False,False,False
Caffeine,,34.58,XXX,0/100,False,False,False,False,False
Carbamazepine; total,24.64,,XXX,0/100,False,False,False,False,False
Carbamazepine; free,24.64,,XXX,0/100,False,False,False,False,False
Cyclosporine,36.97,,XXX,0/100,False,False,False,False,False
Clozapine,20.36,,XXX,0/100,False,False,False,False,False
Digoxin;,total,23.41,XXX,0/100,False,False,False,False,False
Digoxin; free,14.87,,XXX,0/100,False,False,False,False,False
Valproic acid (dipropylacetic acid);,total,24.64,XXX,0/100,False,False,False,False,False
Valproic acid (dipropylacetic acid); free,14.87,,XXX,0/100,False,False,False,False,False
,Ethosuximide,27.72,XXX,0/100,False,False,False,False,False
,Everolimus,15.19,XXX,0/100,False,False,False,False,False
,Gentamicin,24.64,XXX,0/100,False,False,False,False,False
"Gabapentin, whole blood, serum, or plasma",,19.39,XXX,0/100,False,False,False,False,False
Haloperidol,,30.81,XXX,0/100,False,False,False,False,False
,Lamotrigine,14.54,XXX,0/100,False,False,False,False,False
,Lidocaine,24.64,XXX,0/100,False,False,False,False,False
Levetiracetam,,14.54,XXX,0/100,False,False,False,False,False
,Lithium,14.17,XXX,0/100,False,False,False,False,False
Mycophenolate (mycophenolic,acid),20.04,XXX,0/100,False,False,False,False,False
,Oxcarbazepine,14.54,XXX,0/100,False,False,False,False,False
Phenobarbital,,24.64,XXX,0/100,False,False,False,False,False
Phenytoin;,total,23.41,XXX,0/100,False,False,False,False,False
Phenytoin; free,,24.64,XXX,0/100,False,False,False,False,False
Primidone,,24.64,XXX,0/100,False,False,False,False,False
,Procainamide;,24.64,XXX,0/100,False,False,False,False,False
"Procainamide; with metabolites (eg, n-acetyl procainamide)",,33.89,XXX,0/100,False,False,False,False,False
Quinidine,,24.64,XXX,0/100,False,False,False,False,False
Sirolimus,,33.89,XXX,0/100,False,False,False,False,False
Tacrolimus,,36.97,XXX,0/100,False,False,False,False,False
Theophylline,,23.41,XXX,0/100,False,False,False,False,False
Tiagabine,,24.24,XXX,0/100,False,False,False,False,False
Tobramycin,27.72,,XXX,0/100,False,False,False,False,False
Topiramate,,24.64,XXX,0/100,False,False,False,False,False
"Cannabinoids, synthetic; 7 or more",,,XXX,,False,False,False,False,False
Cocaine,,,XXX,,False,False,False,False,False
Fentanyl,,,XXX,,False,False,False,False,False
"Gabapentin, non-blood",,,XXX,,False,False,False,False,False
Heroin metabolite,,,XXX,,False,False,False,False,False
Ketamine and norketamine,,,XXX,,False,False,False,False,False
Methadone,,,XXX,,False,False,False,False,False
"Methylenedioxyamphetamines (MDA, MDEA, MDMA)",,,XXX,,False,False,False,False,False
Methylphenidate,,,XXX,,False,False,False,False,False
"Opiates, 1 or more",,,XXX,,False,False,False,False,False
Opioids and opiate analogs; 1 or 2,,,XXX,,False,False,False,False,False
Opioids and opiate analogs; 3 or 4,,,XXX,,False,False,False,False,False
Opioids and opiate analogs; 5 or more,,,XXX,,False,False,False,False,False
Oxycodone,,,XXX,,False,False,False,False,False
Pregabalin,,,XXX,,False,False,False,False,False
Propoxyphene,,,XXX,,False,False,False,False,False
Sedative hypnotics (non-benzodiazepines),,,XXX,,False,False,False,False,False
Skeletal muscle relaxants; 1 or 2,,,XXX,,False,False,False,False,False
Skeletal muscle relaxants; 3 or more,,,XXX,,False,False,False,False,False
"Stimulants, synthetic",,,XXX,,False,False,False,False,False
Tapentadol,,,XXX,,False,False,False,False,False
Tramadol,,,XXX,,False,False,False,False,False
"Stereoisomer (enantiomer) analysis, single drug class",,,XXX,,False,False,False,False,False
"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 1-3",,,XXX,0/100,False,False,False,False,False
"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 4-6",,,XXX,0/100,False,False,False,False,False
"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 7 or more",,,XXX,0/100,False,False,False,False,False
ACTH stimulation panel; for adrenal insufficiency,,,XXX,0/100,False,False,False,False,False
ACTH stimulation panel; for 21 hydroxylase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxyprogesterone (83498 x 2),,,XXX,0/100,False,False,False,False,False
ACTH stimulation panel; for 3 beta-hydroxydehydrogenase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxypregnenolone (84143 x,,,XXX,0/100,False,False,False,False,False
"Aldosterone suppression evaluation panel (eg, saline infusion)",,,XXX,0/100,False,False,False,False,False
"Calcitonin stimulation panel (eg, calcium, pentagastrin)",,,XXX,0/100,False,False,False,False,False
Corticotropic releasing hormone (CRH) stimulation panel,,,XXX,0/100,False,False,False,False,False
Chorionic gonadotropin stimulation panel; testosterone response,,,XXX,0/100,False,False,False,False,False
Chorionic gonadotropin stimulation panel; estradiol response This panel must include the following: Estradiol (82670 x 2 on 3 pooled blood samples),,,XXX,0/100,False,False,False,False,False
"Renal vein renin stimulation panel (eg, captopril)",,,XXX,0/100,False,False,False,False,False
"Peripheral vein renin stimulation panel (eg, captopril)",,,XXX,0/100,False,False,False,False,False
Combined rapid anterior pituitary evaluation panel,,,XXX,0/100,False,False,False,False,False
"Dexamethasone suppression panel, 48 hour",,,XXX,0/100,False,False,False,False,False
Glucagon tolerance panel; for insulinoma,,,XXX,0/100,False,False,False,False,False
"Glucagon tolerance panel; for pheochromocytoma This panel must include the fol- lowing: Catecholamines, fractionated (82384 x 2)",,,XXX,0/100,False,False,False,False,False
Gonadotropin releasing hormone stimulation panel,,,XXX,0/100,False,False,False,False,False
81111,"Human Platelet Antigen 9 genotyping (HPA-9w), ITGA2B (integrin, alpha 2b [plate- let glycoprotein IIb of IIb/IIIa complex, antigen CD41] [GPIIb]) (eg, neonatal alloim- mune thrombocytopenia [NAIT], post-transfusion purpura), gene analysis, common variant, HPA-9a/b (V837M)",135.42,XXX,0/100,False,False,False,False,False
"81112 Human Platelet natal alloimmune ysis, common variant,","Antigen 15 genotyping (HPA-15), CD109 (CD109 molecule) (eg, neo- thrombocytopenia [NAIT], post-transfusion purpura), gene anal- HPA-15a/b (S682Y)",135.42,XXX,0/100,False,False,False,False,False
"IDH1 (isocitrate dehydrogenase 1 [NADP+], soluble) (eg, glioma), (eg, R132H, R132C)",commonvariants,173.56,XXX,0/100,False,False,False,False,False
