code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
,,1.15 XXX,,40/60,False,False,False,False,False
,,1.94,XXX,40/60,False,False,False,False,False
,,1.15,XXX,40/60,False,False,False,False,False
,,2.17,XXX,40/60,False,False,False,False,False
,,2.50,XXX,40/60,False,False,False,False,False
,,1.66,XXX,40/60,False,False,False,False,False
,,2.04,XXX,40/60,False,False,False,False,False
,,1.28,XXX,40/60,False,False,False,False,False
,,1.99,XXX,35/65,False,False,False,False,False
,,1.63,XXX,40/60,False,False,False,False,False
,,2.07,XXX,40/60,False,False,False,False,False
,,1.40,XXX,40/60,False,False,False,False,False
,,2.30,XXX,40/60,False,False,False,False,False
,,1.40,XXX,40/60,False,False,False,False,False
,,1.66,XXX,40/60,False,False,False,False,False
,,2.30,XXX,40/60,False,False,False,False,False
,,2.09,XXX,40/60,False,False,False,False,False
,,3.06,XXX,40/60,False,False,False,False,False
,,1.68,XXX,40/60,False,False,False,False,False
,,1.94,XXX,40/60,False,False,False,False,False
,,2.04,XXX,40/60,False,False,False,False,False
,,2.42,XXX,40/60,False,False,False,False,False
,,1.48,XXX,40/60,False,False,False,False,False
,,1.79,XXX,40/60,False,False,False,False,False
,,1.28,XXX,40/60,False,False,False,False,False
,,1.82,XXX,40/60,False,False,False,False,False
,,2.32,XXX,40/60,False,False,False,False,False
,,2.75,XXX,40/60,False,False,False,False,False
,,1.76,XXX,40/60,False,False,False,False,False
,,1.89,XXX,40/60,False,False,False,False,False
,,2.17,XXX,40/60,False,False,False,False,False
,,1.84,XXX,40/60,False,False,False,False,False
,,1.61,XXX,35/65,False,False,False,False,False
,,2.60,XXX,26/74,False,False,False,False,False
,,3.13,XXX,25/75,False,False,False,False,False
,,3.64,XXX,25/75,False,False,False,False,False
,,1.66,XXX,40/60,False,False,False,False,False
,,2.42,XXX,40/60,False,False,False,False,False
,,,,40/60,False,False,False,False,False
,,1.45,XXX,,False,False,False,False,False
