code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
70010,"Myelography, posterior fossa, radiological supervision and interpretation",5.61,XXX,35/65,False,False,False,False,False
70015,"Cisternography, positive contrast, radiological supervision and interpretation",4.59,XXX,35/65,False,False,False,False,False
70030,"Radiologic examination, eye, for detection of foreign body",1.79,XXX,40/60,False,False,False,False,False
70100,"Radiologic examination, mandible; partial, less than 4 views",1.15,XXX,40/60,False,False,False,False,False
70110,"Radiologic examination, mandible; complete, minimum of 4 views",1.94,XXX,40/60,False,False,False,False,False
70120,"Radiologic examination, mastoids; less than 3 views per side",1.15,XXX,40/60,False,False,False,False,False
70130,"Radiologic examination, mastoids; complete, minimum of 3 views per side",2.17,XXX,40/60,False,False,False,False,False
70134,"Radiologic examination, internal auditory meati, complete",2.5,XXX,40/60,False,False,False,False,False
70140,"Radiologic examination, facial bones; less than 3 views",1.66,XXX,40/60,False,False,False,False,False
70150,"Radiologic examination, facial bones; complete, minimum of 3 views",2.04,XXX,40/60,False,False,False,False,False
70160,"Radiologic examination, nasal bones, complete, minimum of 3 views",1.28,XXX,40/60,False,False,False,False,False
70170,"Dacryocystography, nasolacrimal duct, radiological supervision and interpretation",1.99,XXX,35/65,False,False,False,False,False
70190,Radiologic examination; optic foramina,1.63,XXX,40/60,False,False,False,False,False
70200,"Radiologic examination; orbits, complete, minimum of 4 views",2.07,XXX,40/60,False,False,False,False,False
70210,"Radiologic examination, sinuses, paranasal, less than 3 views",1.4,XXX,40/60,False,False,False,False,False
70220,"Radiologic examination, sinuses, paranasal, complete, minimum of 3 views",2.3,XXX,40/60,False,False,False,False,False
70240,"Radiologic examination, sella turcica",1.4,XXX,40/60,False,False,False,False,False
70250,"Radiologic examination, skull; less than 4 views",1.66,XXX,40/60,False,False,False,False,False
70260,"Radiologic examination, skull; complete, minimum of 4 views",2.3,XXX,40/60,False,False,False,False,False
70300,"Radiologic examination, teeth; single view",0.48,XXX,40/60,False,False,False,False,False
70310,"Radiologic examination, teeth; partial examination, less than full mouth",0.92,XXX,40/60,False,False,False,False,False
70320,"Radiologic examination, teeth; complete, full mouth",1.73,XXX,40/60,False,False,False,False,False
70328,"Radiologic examination, temporomandibular joint, open and closed mouth; unilat- eral",2.09,XXX,40/60,False,False,False,False,False
70330,"Radiologic examination, temporomandibular joint, open and closed mouth; bilat- eral",3.06,XXX,40/60,False,False,False,False,False
70332,"Temporomandibular joint arthrography, radiological supervision and interpretation",4.77,XXX,35/65,False,False,False,False,False
70336,"Magnetic resonance (eg, proton) imaging, temporomandibular joint(s)",16.43,XXX,20/80,False,False,False,False,False
70350,"Cephalogram, orthodontic",1.53,XXX,40/60,False,False,False,False,False
70355,"Orthopantogram (eg, panoramic x-ray)",1.5,XXX,40/60,False,False,False,False,False
70360,"Radiologic examination; neck, soft tissue",1.58,XXX,40/60,False,False,False,False,False
