code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
,,1.38,XXX,40/60,False,False,False,False,False
,,1.48,XXX,40/60,False,False,False,False,False
,,4.69,XXX,35/65,False,False,False,False,False
,,1.43,XXX,40/60,False,False,False,False,False
,,1.48,XXX,40/60,False,False,False,False,False
,,1.28,XXX,40/60,False,False,False,False,False
,,1.12,XXX,40/60,False,False,False,False,False
,,2.35,XXX,35/65,False,False,False,False,False
,,,XXX,,False,False,False,False,True
,,4.46,XXX,25/75,False,False,False,False,False
,,1.28,XXX,69/31,False,False,False,False,False
,,2.81,ZZZ,34/66,False,False,False,False,False
