code,description,rvu,fud,pctc_split,is_addon,is_mod51_exempt,is_state_specific,is_altered_cpt,is_br
"Excision, benign lesion including margins, except skin tag (unless listed else- where), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",1.44,,,,False,False,False,False,False
"Excision, benign lesion including margins, except skin tag (unless listed else- where), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",1.98,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.5 cm or less",0.99,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 0.6 to 1.0 cm",1.17,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 1.1 to 2.0 cm",1.39,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm",1.71,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",2.15,,,,False,False,False,False,False
"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",2.69,,,,False,False,False,False,False
"Trimming of nondystrophic nails, any number",0.18,,,,False,False,False,False,False
Debridement of nail(s) by any method(s); 1 to 5,0.16,,,,False,False,False,False,False
Debridement of nail(s) by any method(s); 6 or more,0.24,,,,False,False,False,False,False
"Avulsion of nail plate, partial or complete, simple; single",0.34,,,,False,False,False,False,False
"Avulsion of nail plate, partial or complete, simple; each additional nail plate (List separately in addition to code for primary procedure)",0.25,,,,False,False,False,False,False
Evacuation of subungual hematoma,0.27,,,,False,False,False,False,False
"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;",1.21,,,,False,False,False,False,False
"Biopsy of nail unit (eg, plate, bed, matrix, hyponychium, proximal and lateral nail folds) (separate procedure)",0.54,,,,False,False,False,False,False
Repair of nail bed,1.48,,,,False,False,False,False,False
Reconstruction of nail bed with graft,2.15,,,,False,False,False,False,False
"Wedge excision of skin of nail fold (eg, for ingrown toenail)",0.81,,,,False,False,False,False,False
"Injection, intralesional; up to and including 7 lesions",0.22,,,,False,False,False,False,False
"Injection, intralesional; more than 7 lesions",0.34,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",0.39,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",0.5,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm",0.66,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",0.81,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",0.99,,,,False,False,False,False,False
"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm",1.78,,,,False,False,False,False,False
"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm or less",0.68,,,,False,False,False,False,False
"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.6 cm to 7.5 cm",0.86,,,,False,False,False,False,False
