CODE,NY2018 RVU,NY2012 RVU,NY 2018 FUD,NY 2012 FUD,NY2018 PC/TC Split,NY2012 PC/TC Split
0205T,0.53,BR,ZZZ,ZZZ,,
0206T,37.42,BR,XXX,XXX,,
0207T,3.76,BR,XXX,XXX,,
0208T,5.20,BR,XXX,XXX,,
0209T,9.65,BR,XXX,XXX,,
0210T,6.43,BR,XXX,XXX,,
0212T,8.14,BR,XXX,XXX,,
0213T,1.19,BR,XXX,XXX,,
0214T,0.60,BR,ZZZ,ZZZ,,
0215T,0.61,BR,ZZZ,ZZZ,,
0216T,1.07,BR,XXX,XXX,,
0217T,0.54,BR,ZZZ,ZZZ,,
0218T,0.55,BR,ZZZ,ZZZ,,
0228T,1.75,BR,XXX,XXX,,
0229T,0.83,BR,XXX,XXX,,
0230T,1.60,BR,XXX,XXX,,
0231T,0.70,BR,XXX,XXX,,
0232T,0.37,BR,XXX,XXX,,
0234T,11.12,BR,YYY,YYY,,
0235T,10.84,BR,YYY,YYY,,
0236T,9.27,BR,YYY,YYY,,
0237T,4.62,BR,YYY,YYY,,
0238T,6.28,BR,YYY,YYY,,
0249T,3.08,BR,YYY,YYY,,
0253T,7.12,BR,YYY,YYY,,
0254T,7.74,BR,YYY,YYY,,
0263T,2.67,BR,XXX,XXX,,
0264T,1.19,BR,XXX,XXX,,
0265T,0.19,BR,XXX,XXX,,
0275T,BR,BR,XXX,YYY,,
0295T,36.19,BR,XXX,XXX,,
0296T,4.51,BR,XXX,XXX,,
0297T,28.39,BR,XXX,XXX,,
0298T,5.13,BR,XXX,XXX,,
20240,1.71,1.71,000,010,,
20245,2.90,2.90,000,010,,
22505,0.00,0.94,010,010,,
30140,3.47,3.47,000,090,,
34812,2.02,2.46,ZZZ,000,,
34820,3.45,4.16,ZZZ,000,,
34833,3.95,3.84,ZZZ,000,,
