0019T,0030T,0048T,0050T,0051T,0052T
0053T,0059T,0073T,0078T,0079T,0080T
0081T,0092T,0099T,0103T,0123T,0124T
0169T,0171T,0172T,0173T,0178T,0179T
0180T,0181T,0182T,0183T,0185T,0186T
0192T,0197T,0199T,0223T,0224T,0225T
0226T,0227T,0233T,0239T,0240T,0241T
0242T,0243T,0244T,0245T,0246T,0247T
0248T,0250T,0251T,0252T,0255T,0256T
0257T,0258T,0259T,0260T,0261T,0262T
0276T,0277T,0279T,0280T,0281T,0282T
0283T,0284T,0285T,0286T,0287T,0288T
0289T,0291T,0292T,0293T,0294T,0299T
0300T,0301T,11752,13150,15732,19102
19103,19290,19291,19295,21495,21800
21805,21810,22305,22520,22521,22522
22523,22524,22525,22851,23331,23332
27193,27194,28290,28293,28294,29020
29025,29582,29583,29590,29715,31320
31582,31588,31620,31656,31715,32201
32420,32421,32422,33332,33400,33401
