,Code,Description,Relative Value,FUD
,99456,"Work related or medical disability examination by other than the treating physician that includes: C ompletion of a medical history commensurate with the patient's condition; Per- formance of an examination commensurate with the patient's condition; Formulation of a diagnosis, assessment of capabilities and stability, and calculation of impairment; Develop- ment of future medical treatment plan; and C ompletion of necessary documentation/certifi- cates and report.",BR,XXX
,99460,"Initial hospital or birthing center care, per day, for evaluation and management of normal newborn infant",14.37,XXX
,99461,"Initial care, per day, for evaluation and management of normal newborn infant seen in other than hospital or birthing center",7.61,XXX
,99462,"S ubsequent hospital care, per day, for evaluation and management of normal newborn",6.76,XXX
,99463,"Initial hospital or birthing center care, per day, for evaluation and management of normal newborn infant admitted and discharged on the same date",15.22,XXX
,99464,Attendance at delivery (when requested by the delivering physician or other qualified health care professional) and initial stabilization of newborn,15.22,XXX
,99465,"Delivery/birthing room resuscitation, provision of positive pressure ventilation and/or chest compressions in the presence of acute inadequate ventilation and/or cardiac output",27.06,XXX
,99466,"C ritical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; first 30-74 minutes of hands-on care during transport",31.28,XXX
,99467,"C ritical care face-to-face services, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; each additional 30 minutes (List sepa- rately in addition to code for primary service)",18.60,ZZZ
,99468,"Initial inpatient neonatal critical care, per day, for the evaluation and management of a criti- cally ill neonate, 28 days of age or younger",120.06,XXX
,99469,"S ubsequent inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or younger",80.32,XXX
,99471,"Initial inpatient pediatric critical care, per day, for the evaluation and management of a criti- cally ill infant or young child, 29 days through 24 months of age",105.69,XXX
,99472,"S ubsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age",76.10,XXX
,99475,"Initial inpatient pediatric critical care, per day, for the evaluation and management of a criti- cally ill infant or young child, 2 through 5 years of age",89.62,XXX
,99476,"S ubsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 2 through 5 years of age",67.64,XXX
,99477,"Initial hospital care, per day, for the evaluation and management of the neonate, 28 days of age or younger, who requires intensive observation, frequent interventions, and other inten- sive care services",84.55,XXX
,99478,"S ubsequent intensive care, per day, for the evaluation and management of the recovering very low birth weight infant (present body weight less than 1500 grams)",33.82,XXX
,99479,"S ubsequent intensive care, per day, for the evaluation and management of the recovering low birth weight infant (present body weight of 1500-2500 grams)",31.79,XXX
,99480,"S ubsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 grams)",29.93,XXX
