,Code,Description,Relative Value,FUD,PC/TC Split
+,11045,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for pri- mary procedure)",0.18,ZZZ,
+,11046,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutane- ous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",0.45,ZZZ,
+,11047,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); each additional 20 sq cm, or part thereof (List sepa- rately in addition to code for primary procedure)",0.9,ZZZ,
,11055,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion",0.18,000,
,11056,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions",0.22,000,
,11057,"Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions",0.36,000,
,11100,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; single lesion",0.34,000,
+,11101,"Biopsy of skin, subcutaneous tissue and/or mucous membrane (including simple closure), unless otherwise listed; each separate/additional lesion (List separately in addition to code for primary procedure)",0.25,ZZZ,
,11200,"Removal of skin tags, multiple fibrocutaneous tags, any area; up to and including 15 lesions",0.31,010,
+,11201,"Removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part thereof (List separately in addition to code for primary procedure)",0.25,ZZZ,
,11300,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.5 cm or less",0.29,000,
,11301,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm",0.36,000,
,11302,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm",0.43,000,
,11303,"Shaving of epidermal or dermal lesion, single lesion, trunk, arms or legs; lesion diameter over 2.0 cm",0.54,000,
,11305,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, gen- italia; lesion diameter 0.5 cm or less",0.31,000,
,11306,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, gen- italia; lesion diameter 0.6 to 1.0 cm",0.38,000,
,11307,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, gen- italia; lesion diameter 1.1 to 2.0 cm",0.45,000,
,11308,"Shaving of epidermal or dermal lesion, single lesion, scalp, neck, hands, feet, gen- italia; lesion diameter over 2.0 cm",0.52,000,
,11310,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less",0.36,000,
,11311,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm",0.43,000,
,11312,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm",0.49,000,
,11313,"Shaving of epidermal or dermal lesion, single lesion, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 2.0 cm",0.56,000,
,11400,"Excision, benign lesion including margins, except skin tag (unless listed else- where), trunk, arms or legs; excised diameter 0.5 cm or less",0.43,010,
,11401,"Excision, benign lesion including margins, except skin tag (unless listed else- where), trunk, arms or legs; excised diameter 0.6 to 1.0 cm",0.54,010,
,11402,"Excision, benign lesion including margins, except skin tag (unless listed else- where), trunk, arms or legs; excised diameter 1.1 to 2.0 cm",0.72,010,
,11403,"Excision, benign lesion including margins, except skin tag (unless listed else- where), trunk, arms or legs; excised diameter 2.1 to 3.0 cm",0.92,010,
,11404,"Excision, benign lesion including margins, except skin tag (unless listed else- where), trunk, arms or legs; excised diameter 3.1 to 4.0 cm",1.3,010,
