Code,Description,Value FUD,Relative,PC/TC Split
11954,"Subcutaneous injection of filling material (eg, collagen); over 10.0 cc",0.83,000,
11960,"Insertion of tissue expander(s) for other than breast, including subsequent expan- sion",2.7,090,
11970,Replacement of tissue expander with permanent prosthesis,7.9,090,
11971,Removal of tissue expander(s) without insertion of prosthesis,1.53,090,
11976,"Removal, implantable contraceptive capsules",0.74,000,
11980,Subcutaneous hormone pellet implantation (implantation of estradiol and/or tes- tosterone pellets beneath the skin),0.74,000,
11981,"Insertion, non-biodegradable drug delivery implant",0.74,XXX,
11982,"Removal, non-biodegradable drug delivery implant",0.74,XXX,
11983,"Removal with reinsertion, non-biodegradable drug delivery implant",0.81,XXX,
12001,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.5 cm or less",0.39,000,
12002,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 2.6 cm to 7.5 cm",0.5,000,
12004,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 7.6 cm to 12.5 cm",0.66,000,
12005,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",0.81,000,
12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",0.99,000,
12007,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); over 30.0 cm",1.78,000,
12011,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less",0.5,000,
12013,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.6 cm to 5.0 cm",0.61,000,
12014,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",0.84,000,
12015,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 7.6 cm to 12.5 cm",1.1,000,
12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",1.37,000,
12017,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 20.1 cm to 30.0 cm",2.79,000,
12018,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; over 30.0 cm",2.41,000,
12020,Treatment of superficial wound dehiscence; simple closure,0.88,010,
12021,Treatment of superficial wound dehiscence; with packing,0.93,010,
12031,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.5 cm or less",0.54,010,
12032,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm",0.75,010,
12034,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm",0.97,010,
12035,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm",1.33,010,
12036,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 20.1 cm to 30.0 cm",1.73,010,
12037,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); over 30.0 cm",2.18,010,
12041,"Repair, intermediate, wounds of neck, hands, feet and/or external genitalia; 2.5 cm",0.68,010,
