,Code Description,Relative Value,FUD,PC/TC Split
15781,"Dermabrasion; segmental, face",2.50,090,
15782,"Dermabrasion; regional, other than face",2.50,090,
15783,"Dermabrasion; superficial, any site (eg, tattoo removal)",1.00,090,
15786,"Abrasion; single lesion (eg, keratosis, scar)",0.36,010,
15787,Abrasion; each additional 4 lesions or less (List separately in addition to code for primary procedure),0.20,ZZZ,
15788,"Chemical peel, facial; epidermal",2.65,090,
15789,"Chemical peel, facial; dermal",3.20,090,
15792,"Chemical peel, nonfacial; epidermal",1.00,090,
15793,"Chemical peel, nonfacial; dermal",1.51,090,
15819,Cervicoplasty,3.04,090,
15820,"Blepharoplasty, lower eyelid;",3.00,090,
15821,"Blepharoplasty, lower eyelid; with extensive herniated fat pad",3.00,090,
15822,"Blepharoplasty, upper eyelid;",3.03,090,
15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid",4.00,090,
15824,Rhytidectomy; forehead,4.28,000,
15825,"Rhytidectomy; neck with platysmal tightening (platysmal flap, P-flap)",5.18,000,
15826,Rhytidectomy; glabellar frown lines,4.28,000,
15828,"Rhytidectomy; cheek, chin, and neck",13.61,000,
15829,Rhytidectomy; superficial musculoaponeurotic system (SMAS) flap,10.00,000,
15830,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); abdomen, infraumbilical panniculectomy",8.98,090,
15832,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); thigh",6.28,090,
15833,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); leg",6.28,090,
15834,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); hip",6.28,090,
15835,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); buttock",6.28,090,
15836,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); arm",4.28,090,
15837,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); forearm or hand",3.04,090,
15838,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); submental fat pad",2.59,090,
15839,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); other area",2.98,090,
15840,Graft for facial nerve paralysis; free fascia graft (including obtaining fascia),15.00,090,
15841,Graft for facial nerve paralysis; free muscle graft (including obtaining graft),15.00,090,
15842,Graft for facial nerve paralysis; free muscle flap by microsurgical technique,13.47,090,
15845,Graft for facial nerve paralysis; regional muscle transfer,11.22,090,
15847,"Excision, excessive skin and subcutaneous tissue (includes lipectomy), abdomen (eg, abdominoplasty) (includes umbilical transposition and fascial plication) (List separately in addition to code for primary procedure)",3.14,YYY,
15850,"Removal of sutures under anesthesia (other than local), same surgeon",0.50,XXX,
15851,"Removal of sutures under anesthesia (other than local), other surgeon",0.31,000,
15852,Dressing change (for other than burns) under anesthesia (other than local),0.35,000,
15860,"Intravenous injection of agent (eg, fluorescein) to test vascular flow in flap or graft",0.90,000,
15876,Suction assisted lipectomy; head and neck,BR,000,
15877,Suction assisted lipectomy; trunk,BR,000,
15878,Suction assisted lipectomy; upper extremity,BR,000,
15879,Suction assisted lipectomy; lower extremity,BR,000,
15920,"Excision, coccygeal pressure ulcer, with coccygectomy; with primary suture",4.49,090,
