Code,,Description,Relative Value FUD,PC/TC Split
21151,"Reconstruction midface, LeFort II; any direction, requiring bone grafts (includes obtaining autografts)",28.02,090,
21154,"Reconstruction midface, LeFort III (extracranial), any type, requiring bone grafts (includes obtaining autografts); without LeFort I",30.16,090,
21155,"Reconstruction midface, LeFort III (extracranial), any type, requiring bone grafts (includes obtaining autografts); with LeFort I",34.77,090,
21159,"Reconstruction midface, LeFort III (extra and intracranial) with forehead advance- ment (eg, mono bloc), requiring bone grafts (includes obtaining autografts); with- out LeFort I",42.43,090,
21160,"Reconstruction midface, LeFort III (extra and intracranial) with forehead advance- ment (eg, mono bloc), requiring bone grafts (includes obtaining autografts); with LeFort I",49.29,090,
21172,"Reconstruction superior-lateral orbital rim and lower forehead, advancement or alteration, with or without grafts (includes obtaining autografts)",18.81,090,
21175,"Reconstruction, bifrontal, superior-lateral orbital rims and lower forehead, advancement or alteration (eg, plagiocephaly, trigonocephaly, brachycephaly), with or without grafts (includes obtaining autografts)",29.66,090,
21179,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with grafts (allograft or prosthetic material)",24.54,090,
21180,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with auto- graft (includes obtaining grafts)",27.61,090,
21181,"Reconstruction by contouring of benign tumor of cranial bones (eg, fibrous dyspla- sia), extracranial",9.71,090,
21182,"Reconstruction of orbital walls, rims, forehead, nasoethmoid complex following intra- and extracranial excision of benign tumor of cranial bone (eg, fibrous dys- plasia), with multiple autografts (includes obtaining grafts); total area of bone grafting less than 40 sq cm",30.43,090,
21183,"Reconstruction of orbital walls, rims, forehead, nasoethmoid complex following intra- and extracranial excision of benign tumor of cranial bone (eg, fibrous dys- plasia), with multiple autografts (includes obtaining grafts); total area of bone grafting greater than 40 sq cm but less than 80 sq cm",33.33,090,
21184,"Reconstruction of orbital walls, rims, forehead, nasoethmoid complex following intra- and extracranial excision of benign tumor of cranial bone (eg, fibrous dys- plasia), with multiple autografts (includes obtaining grafts); total area of bone grafting greater than 80 sq cm",36.12,090,
21188,"Reconstruction midface, osteotomies (other than LeFort type) and bone grafts (includes obtaining autografts)",23.72,090,
21193,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; without bone graft",22.96,090,
21194,"Reconstruction of mandibular rami, horizontal, vertical, C, or L osteotomy; with bone graft (includes obtaining graft)",26.36,090,
21195,"Reconstruction of mandibular rami and/or body, sagittal split; without internal rigid fixation",22.4,090,
21196,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation",17.49,090,
21198,"Osteotomy, mandible, segmental;",11.66,090,
21199,"Osteotomy, mandible, segmental; with genioglossus advancement",21.42,090,
21206,"Osteotomy, maxilla, segmental (eg, Wassmund or Schuchard)",17.49,090,
21208,"Osteoplasty, facial bones; augmentation (autograft, allograft, or prosthetic implant)",3.46,090,
21209,"Osteoplasty, facial bones; reduction",6.65,090,
21210,"Graft, bone; nasal, maxillary or malar areas (includes obtaining graft)",11.66,090,
21215,"Graft, bone; mandible (includes obtaining graft)",17.49,090,
21230,"Graft; rib cartilage, autogenous, to face, chin, nose or ear (includes obtaining graft)",15.71,090,
21235,"Graft; ear cartilage, autogenous, to nose or ear (includes obtaining graft)",5.83,090,
