,Code,Description,Relative Value FUD,PC/TC Split
21343,Open treatment of depressed frontal sinus fracture,9.82,090,
21344,"Open treatment of complicated (eg, comminuted or involving posterior wall) fron- tal sinus fracture, via coronal or multiple approaches",15.03,090,
21345,"Closed treatment of nasomaxillary complex fracture (LeFort II type), with interden- tal wire fixation or fixation of denture or splint",9.61,090,
21346,Open treatment of nasomaxillary complex fracture (LeFort II type); with wiring and/or local fixation,12.27,090,
21347,Open treatment of nasomaxillary complex fracture (LeFort II type); requiring multi- ple open approaches,14.62,090,
21348,Open treatment of nasomaxillary complex fracture (LeFort II type); with bone graft- ing (includes obtaining graft),14.72,090,
21355,"Percutaneous treatment of fracture of malar area, including zygomatic arch and malar tripod, with manipulation",0.79,010,
21356,"Open treatment of depressed zygomatic arch fracture (eg, Gillies approach)",5.12,010,
21360,"Open treatment of depressed malar fracture, including zygomatic arch and malar tripod",4.64,090,
21365,"Open treatment of complicated (eg, comminuted or involving cranial nerve foram- ina) fracture(s) of malar area, including zygomatic arch and malar tripod; with internal fixation and multiple surgical approaches",8.6,090,
21366,"Open treatment of complicated (eg, comminuted or involving cranial nerve foram- ina) fracture(s) of malar area, including zygomatic arch and malar tripod; with bone grafting (includes obtaining graft)",13.8,090,
21385,Open treatment of orbital floor blowout fracture; transantral approach (Cald- well-Luc type operation),7.9,090,
21386,Open treatment of orbital floor blowout fracture; periorbital approach,8.5,090,
21387,Open treatment of orbital floor blowout fracture; combined approach,9.88,090,
21390,"Open treatment of orbital floor blowout fracture; periorbital approach, with alloplastic or other implant",9.19,090,
21395,Open treatment of orbital floor blowout fracture; periorbital approach with bone graft (includes obtaining graft),11.86,090,
21400,"Closed treatment of fracture of orbit, except blowout; without manipulation",1.19,090,
21401,"Closed treatment of fracture of orbit, except blowout; with manipulation",3.95,090,
21406,"Open treatment of fracture of orbit, except blowout; without implant",4.64,090,
21407,"Open treatment of fracture of orbit, except blowout; with implant",5.24,090,
21408,"Open treatment of fracture of orbit, except blowout; with bone grafting (includes obtaining graft)",10.23,090,
21421,"Closed treatment of palatal or maxillary fracture (LeFort I type), with interdental wire fixation or fixation of denture or splint",5.24,090,
21422,Open treatment of palatal or maxillary fracture (LeFort I type);,8.99,090,
21423,"Open treatment of palatal or maxillary fracture (LeFort I type); complicated (com- minuted or involving cranial nerve foramina), multiple approaches",9.41,090,
21431,Closed treatment of craniofacial separation (LeFort III type) using interdental wire fixation of denture or splint,5.24,090,
21432,Open treatment of craniofacial separation (LeFort III type); with wiring and/or internal fixation,5.24,090,
21433,"Open treatment of craniofacial separation (LeFort III type); complicated (eg, com- minuted or involving cranial nerve foramina), multiple surgical approaches",15.34,090,
21435,"Open treatment of craniofacial separation (LeFort III type); complicated, utilizing internal and/or external fixation techniques (eg, head cap, halo device, and/or intermaxillary fixation)",17.49,090,
21436,"Open treatment of craniofacial separation (LeFort III type); complicated, multiple surgical approaches, internal fixation, with bone grafting (includes obtaining graft)",20.45,090,
21440,Closed treatment of mandibular or maxillary alveolar ridge fracture (separate pro- cedure),3.36,090,
