Code,Description,Relative Value,FUD,PC/TC Split
21445,Open treatment of mandibular or maxillary alveolar ridge fracture (separate pro- cedure),3.99,090,
21450,Closed treatment of mandibular fracture; without manipulation,3.36,090,
21451,Closed treatment of mandibular fracture; with manipulation,6.75,090,
21452,"Percutaneous treatment of mandibular fracture, with external fixation",7.87,090,
21453,Closed treatment of mandibular fracture with interdental fixation,5.24,090,
21454,Open treatment of mandibular fracture with external fixation,8.49,090,
21461,Open treatment of mandibular fracture; without interdental fixation,9.58,090,
21462,Open treatment of mandibular fracture; with interdental fixation,9.88,090,
21465,Open treatment of mandibular condylar fracture,12.27,090,
21470,"Open treatment of complicated mandibular fracture by multiple surgical approaches including internal fixation, interdental fixation, and/or wiring of den- tures or splints",14.82,090,
21480,Closed treatment of temporomandibular dislocation; initial or subsequent,0.59,000,
21485,"Closed treatment of temporomandibular dislocation; complicated (eg, recurrent requiring intermaxillary fixation or splinting), initial or subsequent",2.25,090,
21490,Open treatment of temporomandibular dislocation,9.58,090,
21497,"Interdental wiring, for condition other than fracture",1.28,090,
21499,"Unlisted musculoskeletal procedure, head",BR,YYY,
21501,"Incision and drainage, deep abscess or hematoma, soft tissues of neck or thorax;",3.26,090,
21502,"Incision and drainage, deep abscess or hematoma, soft tissues of neck or thorax; with partial rib ostectomy",3.95,090,
21510,"Incision, deep, with opening of bone cortex (eg, for osteomyelitis or bone abscess), thorax",4.87,090,
21550,"Biopsy, soft tissue of neck or thorax",1.03,010,
21552,"Excision, tumor, soft tissue of neck or anterior thorax, subcutaneous; 3 cm or greater",2.38,090,
21554,"Excision, tumor, soft tissue of neck or anterior thorax, subfascial (eg, intramuscu- lar); 5 cm or greater",4.14,090,
21555,"Excision, tumor, soft tissue of neck or anterior thorax, subcutaneous; less than 3 cm",2.00,090,
21556,"Excision, tumor, soft tissue of neck or anterior thorax, subfascial (eg, intramuscu- lar); less than 5 cm",5.14,090,
21557,"Radical resection of tumor (eg, sarcoma), soft tissue of neck or anterior thorax; less than 5 cm",13.09,090,
21558,"Radical resection of tumor (eg, sarcoma), soft tissue of neck or anterior thorax; 5 cm or greater",7.35,090,
21600,"Excision of rib, partial",3.85,090,
21610,Costotransversectomy (separate procedure),3.85,090,
21615,Excision first and/or cervical rib;,9.68,090,
21616,Excision first and/or cervical rib; with sympathectomy,11.86,090,
21620,"Ostectomy of sternum, partial",8.28,090,
21627,Sternal debridement,8.69,090,
21630,Radical resection of sternum;,12.78,090,
21632,Radical resection of sternum; with mediastinal lymphadenectomy,18.92,090,
21685,Hyoid myotomy and suspension,6.73,090,
21700,Division of scalenus anticus; without resection of cervical rib,6.04,090,
21705,Division of scalenus anticus; with resection of cervical rib,7.26,090,
21720,"Division of sternocleidomastoid for torticollis, open operation; without cast appli- cation",4.86,090,
