,Code Description,Relative Value,FUD,PC/TC Split
■,"22514 Percutaneous vertebral augmentation, tion and bone biopsy included when kyphoplasty), 1 vertebral body, unilateral imaging","including cavity creation (fracture reduc- performed) using mechanical device (eg, or bilateral cannulation, inclusive of all 3.31",010,
■ +,"guidance; lumbar 22515 Percutaneous vertebral augmentation, tion and bone biopsy included when performed) kyphoplasty), 1 vertebral body, unilateral imaging guidance; each additional thoracic rately in addition to code for primary procedure)","including cavity creation (fracture reduc- using mechanical device (eg, or bilateral cannulation, inclusive of all or lumbar vertebral body (List sepa- 1.55",ZZZ,
,22526,"Percutaneous intradiscal electrothermal annuloplasty, unilateral or bilateral including fluoroscopic guidance; single level 10.87",010,
+,22527 Percutaneous intradiscal electrothermal including fluoroscopic guidance; 1 or more addition to code for primary procedure),"annuloplasty, unilateral or bilateral additional levels (List separately in 8.80",ZZZ,
,"22532 Arthrodesis, lateral extracavitary pare interspace (other than for","technique, including minimal discectomy to pre- decompression); thoracic 19.36",090,
,22533,"Arthrodesis, lateral extracavitary technique, including minimal discectomy to pre- pare interspace (other than for decompression); lumbar 18.11",090,
+,"22534 Arthrodesis, lateral extracavitary technique, including minimal discectomy to pre- pare interspace (other than for decompression); thoracic or lumbar, each addi- tional vertebral segment (List separately in addition to code for primary procedure)",9.01,ZZZ,
,"22548 Arthrodesis, anterior transoral or extraoral with or without excision of odontoid process","technique, clivus-C1-C2 (atlas-axis), 19.76",090,
,"22551 Arthrodesis, anterior interbody, including osteophytectomy and decompression of below C2","disc space preparation, discectomy, spinal cord and/or nerve roots; cervical 18.42",090,
+,"22552 Arthrodesis, anterior interbody, including osteophytectomy and decompression of below C2, each additional interspace (List","disc space preparation, discectomy, spinal cord and/or nerve roots; cervical separately in addition to code for sepa- 5.28",ZZZ,
,22554,"Arthrodesis, anterior interbody technique, including minimal discectomy to pre- pare interspace (other than for decompression); cervical below C2 19.76",090,
,22556,"Arthrodesis, anterior interbody technique, including minimal discectomy to pre- pare interspace (other than for decompression); thoracic 20.75",090,
,"22558 Arthrodesis, pare","anterior interbody technique, including minimal discectomy to pre- interspace (other than for decompression); lumbar 15.81",090,
+,"22585 Arthrodesis, anterior interbody technique, pare interspace (other than for decompression); separately in addition to code for primary",including minimal discectomy to pre- each additional interspace (List procedure) 3.88,ZZZ,
■,"22586 Arthrodesis, pre-sacral interbody technique, discectomy, with posterior instrumentation, graft when performed, L5-S1 interspace","including disc space preparation, with image guidance, includes bone 21.32",090,
,22590,"Arthrodesis, posterior technique, craniocervical (occiput-C2) 18.28",090,
,22595,"Arthrodesis, posterior technique, atlas-axis (C1-C2) 18.28",090,
,"22600 Arthrodesis, posterior or segment","posterolateral technique, single level; cervical below C2 16.08",090,
,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lat- eral transverse technique, when",090,
,,performed) 15.81,,
+,"22614 Arthrodesis, posterior or posterolateral vertebral segment (List separately in addition","technique, single level; each additional to code for primary procedure) 3.87",ZZZ,
,"22630 Arthrodesis, posterior interbody technique, tomy to prepare interspace (other than for lumbar","including laminectomy and/or discec- decompression), single interspace; 18.92",090,
