Code,Description,Relative FUD,Value,PC/TC Split
23525,Closed treatment of sternoclavicular dislocation; with manipulation,1.78,090,
23530,"Open treatment of sternoclavicular dislocation, acute or chronic;",6.62,090,
23532,"Open treatment of sternoclavicular dislocation, acute or chronic; with fascial graft (includes obtaining graft)",7.21,090,
23540,Closed treatment of acromioclavicular dislocation; without manipulation,0.59,090,
23545,Closed treatment of acromioclavicular dislocation; with manipulation,2.15,090,
23550,"Open treatment of acromioclavicular dislocation, acute or chronic;",7.90,090,
23552,"Open treatment of acromioclavicular dislocation, acute or chronic; with fascial graft (includes obtaining graft)",8.60,090,
23570,Closed treatment of scapular fracture; without manipulation,1.88,090,
23575,"Closed treatment of scapular fracture; with manipulation, with or without skeletal traction (with or without shoulder joint involvement)",2.59,090,
23585,"Open treatment of scapular fracture (body, glenoid or acromion) includes internal fixation, when performed",7.90,090,
23600,Closed treatment of proximal humeral (surgical or anatomical neck) fracture; with- out manipulation,2.81,090,
23605,"Closed treatment of proximal humeral (surgical or anatomical neck) fracture; with manipulation, with or without skeletal traction",4.32,090,
23615,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed;",11.66,090,
23616,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed; with proximal humeral prosthetic replacement",12.27,090,
23620,Closed treatment of greater humeral tuberosity fracture; without manipulation,1.29,090,
23625,Closed treatment of greater humeral tuberosity fracture; with manipulation,1.94,090,
23630,"Open treatment of greater humeral tuberosity fracture, includes internal when performed","fixation, 5.93",090,
23650,"Closed treatment of shoulder dislocation, with manipulation; without anesthesia",0.99,090,
23655,"Closed treatment of shoulder dislocation, with manipulation; requiring anesthesia",3.23,090,
23660,Open treatment of acute shoulder dislocation,10.79,090,
23665,"Closed treatment of shoulder dislocation, with fracture of greater humeral tuber- osity, with manipulation",1.98,090,
23670,"Open treatment of shoulder dislocation, with fracture of greater humeral tuberos- ity, includes internal fixation, when performed",9.49,090,
23675,"Closed treatment of shoulder dislocation, with surgical or anatomical neck frac- ture, with manipulation",2.67,090,
23680,"Open treatment of shoulder dislocation, with surgical or anatomical neck fracture, includes internal fixation, when performed",12.51,090,
23700,"Manipulation under anesthesia, shoulder joint, including application of fixation apparatus (dislocation excluded)",3.23,010,
23800,"Arthrodesis, glenohumeral joint;",12.84,090,
23802,"Arthrodesis, glenohumeral joint; with autogenous graft (includes obtaining graft)",14.33,090,
23900,Interthoracoscapular amputation (forequarter),19.76,090,
23920,Disarticulation of shoulder;,14.33,090,
23921,Disarticulation of shoulder; secondary closure or scar revision,2.67,090,
23929,"Unlisted procedure, shoulder",BR,YYY,
23930,"Incision and drainage, upper arm or elbow area; deep abscess or hematoma",4.74,010,
23931,"Incision and drainage, upper arm or elbow area; bursa",3.06,010,
23935,"Incision, deep, with opening of bone cortex (eg, for osteomyelitis or bone abscess), humerus or elbow",7.77,090,
24000,"Arthrotomy, elbow, including exploration, drainage, or removal of foreign body",6.62,090,
