Code,,Description,Relative Value FUD,PC/TC Split
24220,Injection procedure for elbow arthrography,0.3,000,
24300,"Manipulation, elbow, under anesthesia",3.75,090,
24301,"Muscle or tendon transfer, any type, upper arm or elbow, single (excluding 24320-24331)",7.21,090,
24305,"Tendon lengthening, upper arm or elbow, each tendon",6.47,090,
24310,"Tenotomy, open, elbow to shoulder, each tendon",5.18,090,
24320,"Tenoplasty, with muscle transfer, with or without free graft, elbow to shoulder, sin- gle (Seddon-Brookes type procedure)",7.77,090,
24330,"Flexor-plasty, elbow (eg, Steindler type advancement);",7.9,090,
24331,"Flexor-plasty, elbow (eg, Steindler type advancement); with extensor advance- ment",10.37,090,
24332,"Tenolysis, triceps",4.45,090,
24340,Tenodesis of biceps tendon at elbow (separate procedure),7.33,090,
24341,"Repair, tendon or muscle, upper arm or elbow, each tendon or muscle, primary or secondary (excludes rotator cuff)",6.96,090,
24342,"Reinsertion of ruptured biceps or triceps tendon, distal, with or without tendon graft",10.79,090,
24343,"Repair lateral collateral ligament, elbow, with local tissue",7.04,090,
24344,"Reconstruction lateral collateral ligament, elbow, with tendon graft (includes har- vesting of graft)",8.44,090,
24345,"Repair medial collateral ligament, elbow, with local tissue",7.04,090,
24346,"Reconstruction medial collateral ligament, elbow, with tendon graft (includes har- vesting of graft)",8.44,090,
24357,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); percutaneous",3.83,090,
24358,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); debridement, soft tissue and/or bone, open",4.35,090,
24359,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); debridement, soft tissue and/or bone, open with tendon repair or reattachment",5.18,090,
24360,"Arthroplasty, elbow; with membrane (eg, fascial)",10.28,090,
24361,"Arthroplasty, elbow; with distal humeral prosthetic replacement",10.28,090,
24362,"Arthroplasty, elbow; with implant and fascia lata ligament reconstruction",10.28,090,
24363,"Arthroplasty, elbow; with distal humerus and proximal ulnar prosthetic replace- ment (eg, total elbow)",13.24,090,
24365,"Arthroplasty, radial head;",6.47,090,
24366,"Arthroplasty, radial head; with implant",7.33,090,
24370,"Revision of total elbow arthroplasty, including allograft when performed; humeral or ulnar component",16.3,090,
24371,"Revision of total elbow arthroplasty, including allograft when performed; humeral and ulnar component",19.01,090,
24400,"Osteotomy, humerus, with or without internal fixation",10.37,090,
24410,"Multiple osteotomies with realignment on intramedullary rod, humeral shaft (Sof- ield type procedure)",11.86,090,
24420,"Osteoplasty, humerus (eg, shortening or lengthening) (excluding 64876)",10.37,090,
24430,"Repair of nonunion or malunion, humerus; without graft (eg, compression tech- nique)",11.36,090,
24435,"Repair of nonunion or malunion, humerus; with iliac or other autograft (includes obtaining graft)",13.34,090,
24470,"Hemiepiphyseal arrest (eg, cubitus varus or valgus, distal humerus)",6.62,090,
24495,"Decompression fasciotomy, forearm, with brachial artery exploration",4.94,090,
24498,"Prophylactic treatment (nailing, pinning, plating or wiring), with or without methyl- methacrylate, humeral shaft",8.18,090,
