Code,,Description,Relative Value FUD,PC/TC Split
25628,"Open treatment of carpal scaphoid (navicular) fracture, includes internal fixation, when performed",7.77,090,
25630,"Closed treatment of carpal bone fracture (excluding carpal scaphoid [navicular]); without manipulation, each bone",1.56,090,
25635,"Closed treatment of carpal bone fracture (excluding carpal scaphoid [navicular]); with manipulation, each bone",2.67,090,
25645,"Open treatment of carpal bone fracture (other than carpal scaphoid [navicular]), each bone",3.88,090,
25650,Closed treatment of ulnar styloid fracture,1.08,090,
25651,Percutaneous skeletal fixation of ulnar styloid fracture,3.62,090,
25652,Open treatment of ulnar styloid fracture,4.55,090,
25660,"Closed treatment of radiocarpal or intercarpal dislocation, 1 or more bones, with manipulation",4.32,090,
25670,"Open treatment of radiocarpal or intercarpal dislocation, 1 or more bones",8.63,090,
25671,Percutaneous skeletal fixation of distal radioulnar dislocation,3.31,090,
25675,Closed treatment of distal radioulnar dislocation with manipulation,1.98,090,
25676,"Open treatment of distal radioulnar dislocation, acute or chronic",5.18,090,
25680,"Closed treatment of trans-scaphoperilunar type of fracture dislocation, with manipulation",5.18,090,
25685,Open treatment of trans-scaphoperilunar type of fracture dislocation,10.35,090,
25690,"Closed treatment of lunate dislocation, with manipulation",3.26,090,
25695,Open treatment of lunate dislocation,5.18,090,
25800,"Arthrodesis, wrist; complete, without bone graft (includes radiocarpal and/or intercarpal and/or carpometacarpal joints)",10.35,090,
25805,"Arthrodesis, wrist; with sliding graft",11.21,090,
25810,"Arthrodesis, wrist; with iliac or other autograft (includes obtaining graft)",12.07,090,
25820,"Arthrodesis, wrist; limited, without bone graft (eg, intercarpal or radiocarpal)",8.20,090,
25825,"Arthrodesis, wrist; with autograft (includes obtaining graft)",9.49,090,
25830,"Arthrodesis, distal radioulnar joint with segmental resection of ulna, with or with- out bone graft (eg, Sauve-Kapandji procedure)",8.18,090,
25900,"Amputation, forearm, through radius and ulna;",7.77,090,
25905,"Amputation, forearm, through radius and ulna; open, circular (guillotine)",6.91,090,
25907,"Amputation, forearm, through radius and ulna; secondary closure or scar revision",1.98,090,
25909,"Amputation, forearm, through radius and ulna; re-amputation",5.93,090,
25915,Krukenberg procedure,5.93,090,
25920,Disarticulation through wrist;,5.24,090,
25922,Disarticulation through wrist; secondary closure or scar revision,1.98,090,
25924,Disarticulation through wrist; re-amputation,4.32,090,
25927,Transmetacarpal amputation;,5.93,090,
25929,Transmetacarpal amputation; secondary closure or scar revision,1.98,090,
25931,Transmetacarpal amputation; re-amputation,4.74,090,
25999,"Unlisted procedure, forearm or wrist",BR,YYY,
26010,Drainage of finger abscess; simple,0.64,010,
26011,"Drainage of finger abscess; complicated (eg, felon)",1.68,010,
26020,"Drainage of tendon sheath, digit and/or palm, each",3.26,090,
26025,"Drainage of palmar bursa; single, bursa",3.51,090,
26030,Drainage of palmar bursa; multiple bursa,4.94,090,
26034,"Incision, bone cortex, hand or finger (eg, osteomyelitis or bone abscess)",3.45,090,
26035,"Decompression fingers and/or hand, injection injury (eg, grease gun)",8.20,090,
