Code,Description,Relative Value,FUD,PC/TC Split
26434,"Repair of extensor tendon, distal insertion, primary or secondary; with free graft (includes obtaining graft)",2.47,090,
26437,"Realignment of extensor tendon, hand, each tendon",4.09,090,
26440,"Tenolysis, flexor tendon; palm OR finger, each tendon",3.54,090,
26442,"Tenolysis, flexor tendon; palm AND finger, each tendon",3.95,090,
26445,"Tenolysis, extensor tendon, hand OR finger, each tendon",3.21,090,
26449,"Tenolysis, complex, extensor tendon, finger, including forearm, each tendon",4.75,090,
26450,"Tenotomy, flexor, palm, open, each tendon",2.47,090,
26455,"Tenotomy, flexor, finger, open, each tendon",3.23,090,
26460,"Tenotomy, extensor, hand or finger, open, each tendon",3.23,090,
26471,"Tenodesis; of proximal interphalangeal joint, each joint",4.15,090,
26474,"Tenodesis; of distal joint, each joint",3.26,090,
26476,"Lengthening of tendon, extensor, hand or finger, each tendon",3.23,090,
26477,"Shortening of tendon, extensor, hand or finger, each tendon",3.23,090,
26478,"Lengthening of tendon, flexor, hand or finger, each tendon",4.09,090,
26479,"Shortening of tendon, flexor, hand or finger, each tendon",4.09,090,
26480,"Transfer or transplant of tendon, carpometacarpal area or dorsum of hand; with- out free graft, each tendon",5.24,090,
26483,"Transfer or transplant of tendon, carpometacarpal area or dorsum of hand; with free tendon graft (includes obtaining graft), each tendon",6.92,090,
26485,"Transfer or transplant of tendon, palmar; without free tendon graft, each tendon",6.62,090,
26489,"Transfer or transplant of tendon, palmar; with free tendon graft (includes obtaining graft), each tendon",8.2,090,
26490,"Opponensplasty; superficialis tendon transfer type, each tendon",6.62,090,
26492,"Opponensplasty; tendon transfer with graft (includes obtaining graft), each tendon",8.2,090,
26494,Opponensplasty; hypothenar muscle transfer,7.41,090,
26496,Opponensplasty; other methods,8.18,090,
26497,Transfer of tendon to restore intrinsic function; ring and small finger,7.16,090,
26498,Transfer of tendon to restore intrinsic function; all 4 fingers,8.69,090,
26499,"Correction claw finger, other methods",7.55,090,
26500,"Reconstruction of tendon pulley, each tendon; with local tissues (separate proce- dure)",4.15,090,
26502,"Reconstruction of tendon pulley, each tendon; with tendon or fascial graft (includes obtaining graft) (separate procedure)",4.94,090,
26508,"Release of thenar muscle(s) (eg, thumb contracture)",4.94,090,
26510,"Cross intrinsic transfer, each tendon",8.8,090,
26516,"Capsulodesis, metacarpophalangeal joint; single digit",4.15,090,
26517,"Capsulodesis, metacarpophalangeal joint; 2 digits",6.22,090,
26518,"Capsulodesis, metacarpophalangeal joint; 3 or 4 digits",7.41,090,
26520,"Capsulectomy or capsulotomy; metacarpophalangeal joint, each joint",4.15,090,
26525,"Capsulectomy or capsulotomy; interphalangeal joint, each joint",4.15,090,
26530,"Arthroplasty, metacarpophalangeal joint; each joint",4.94,090,
26531,"Arthroplasty, metacarpophalangeal joint; with prosthetic implant, each joint",5.73,090,
26535,"Arthroplasty, interphalangeal joint; each joint",4.15,090,
26536,"Arthroplasty, interphalangeal joint; with prosthetic implant, each joint",5.73,090,
26540,"Repair of collateral ligament, metacarpophalangeal or interphalangeal joint",5.73,090,
26541,"Reconstruction, collateral ligament, metacarpophalangeal joint, single; with ten- don or fascial graft (includes obtaining graft)",7.01,090,
