Code,,Description,Relative Value FUD,Split,PC/TC
29837,"Arthroscopy, elbow, surgical; debridement, limited",7.47,090,,
29838,"Arthroscopy, elbow, surgical; debridement, extensive",9.51,090,,
29840,"Arthroscopy, wrist, diagnostic, with or without synovial biopsy (separate proce- dure)",4.5,090,,
29843,"Arthroscopy, wrist, surgical; for infection, lavage and drainage",5.12,090,,
29844,"Arthroscopy, wrist, surgical; synovectomy, partial",7.16,090,,
29845,"Arthroscopy, wrist, surgical; synovectomy, complete",8.18,090,,
29846,"Arthroscopy, wrist, surgical; excision and/or repair of triangular fibrocartilage and/or joint debridement",7.67,090,,
29847,"Arthroscopy, wrist, surgical; internal fixation for fracture or instability",9.21,090,,
29848,"Endoscopy, wrist, surgical, with release of transverse carpal ligament",5.73,090,,
29850,"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity frac- ture(s) of the knee, with or without manipulation; without internal or external fixa- tion (includes arthroscopy)",7.26,090,,
29851,"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity frac- ture(s) of the knee, with or without manipulation; with internal or external fixation (includes arthroscopy)",10.35,090,,
29855,"Arthroscopically aided treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed (includes arthroscopy)",10.35,090,,
29856,"Arthroscopically aided treatment of tibial fracture, proximal (plateau); bicondylar, includes internal fixation, when performed (includes arthroscopy)",11.65,090,,
29860,"Arthroscopy, hip, diagnostic with or without synovial biopsy (separate procedure)",4.35,090,,
29861,"Arthroscopy, hip, surgical; with removal of loose body or foreign body",7.16,090,,
29862,"Arthroscopy, hip, surgical; with debridement/shaving of articular cartilage (chon- droplasty), abrasion arthroplasty, and/or resection of labrum",11.35,090,,
29863,"Arthroscopy, hip, surgical; with synovectomy",9.21,090,,
29866,"Arthroscopy, knee, surgical; osteochondral autograft(s) (eg, mosaicplasty) (includes harvesting of the autograft[s])",16.35,090,,
29867,"Arthroscopy, knee, surgical; osteochondral allograft (eg, mosaicplasty)",19.56,090,,
29868,"Arthroscopy, knee, surgical; meniscal transplantation (includes arthrotomy for meniscal insertion), medial or lateral",26.5,090,,
29870,"Arthroscopy, knee, diagnostic, with or without synovial biopsy (separate proce- dure)",3.95,090,,
29871,"Arthroscopy, knee, surgical; for infection, lavage and drainage",6.14,090,,
29873,"Arthroscopy, knee, surgical; with lateral release",7.76,090,,
29874,"Arthroscopy, knee, surgical; for removal of loose body or foreign body (eg, osteo- chondritis dissecans fragmentation, chondral fragmentation)",7.51,090,,
29875,"Arthroscopy, knee, surgical; synovectomy, limited (eg, plica or shelf resection) (separate procedure)",7.16,090,,
29876,"Arthroscopy, knee, surgical; synovectomy, major, 2 or more compartments (eg, medial or lateral)",8.2,090,,
29877,"Arthroscopy, knee, surgical; debridement/shaving of articular cartilage (chondro- plasty)",7.11,090,,
29879,"Arthroscopy, knee, surgical; abrasion arthroplasty (includes chondroplasty where necessary) or multiple drilling or microfracture",7.77,090,,
29880,"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including any meniscal shaving) including debridement/shaving of articular cartilage (chon- droplasty), same or separate compartment(s), when performed",10.79,090,,
29881,"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including any meniscal shaving) including debridement/shaving of articular cartilage (chondro- plasty), same or separate compartment(s), when performed",8.79,090,,
29882,"Arthroscopy, knee, surgical; with meniscus repair (medial OR lateral)",12.07,090,,
29883,"Arthroscopy, knee, surgical; with meniscus repair (medial AND lateral)",13.37,090,,
