Code,,Description,Relative Value FUD,Split,PC/TC
31030,"Sinusotomy, maxillary (antrotomy); radical (Caldwell-Luc) without removal of antrochoanal polyps",6.09,090,,
31032,"Sinusotomy, maxillary (antrotomy); radical (Caldwell-Luc) with removal of antro- choanal polyps",7.02,090,,
31040,"Pterygomaxillary fossa surgery, any approach",13.11,090,,
31050,"Sinusotomy, sphenoid, with or without biopsy;",9.37,090,,
31051,"Sinusotomy, sphenoid, with or without biopsy; with mucosal stripping or removal of polyp(s)",9.83,090,,
31070,"Sinusotomy frontal; external, simple (trephine operation)",4.68,090,,
31075,"Sinusotomy frontal; transorbital, unilateral (for mucocele or osteoma, Lynch type)",7.96,090,,
31080,"Sinusotomy frontal; obliterative without osteoplastic flap, brow incision (includes ablation)",9.37,090,,
31081,"Sinusotomy frontal; obliterative, without osteoplastic flap, coronal incision (includes ablation)",9.37,090,,
31084,"Sinusotomy frontal; obliterative, with osteoplastic flap, brow incision",11.24,090,,
31085,"Sinusotomy frontal; obliterative, with osteoplastic flap, coronal incision",11.24,090,,
31086,"Sinusotomy frontal; nonobliterative, with osteoplastic flap, brow incision",11.24,090,,
31087,"Sinusotomy frontal; nonobliterative, with osteoplastic flap, coronal incision",11.24,090,,
31090,"Sinusotomy, unilateral, 3 or more paranasal sinuses (frontal, maxillary, ethmoid, sphenoid)",14.05,090,,
31200,"Ethmoidectomy; intranasal, anterior",4.92,090,,
31201,"Ethmoidectomy; intranasal, total",6.56,090,,
31205,"Ethmoidectomy; extranasal, total",7.30,090,,
31225,Maxillectomy; without orbital exenteration,14.52,090,,
31230,Maxillectomy; with orbital exenteration (en bloc),17.04,090,,
31231,"Nasal endoscopy, diagnostic, unilateral or bilateral (separate procedure)",2.34,000,,
31233,"Nasal/sinus endoscopy, diagnostic with maxillary sinusoscopy (via inferior meatus or canine fossa puncture)",3.00,000,,
31235,"Nasal/sinus endoscopy, diagnostic with sphenoid sinusoscopy (via puncture of sphenoidal face or cannulation of ostium)",6.09,000,,
31237,"Nasal/sinus endoscopy, surgical; with biopsy, polypectomy or debridement (sepa- rate procedure)",5.06,000,,
31238,"Nasal/sinus endoscopy, surgical; with control of nasal hemorrhage",3.28,000,,
31239,"Nasal/sinus endoscopy, surgical; with dacryocystorhinostomy",7.49,010,,
31240,"Nasal/sinus endoscopy, surgical; with concha bullosa resection",3.75,000,,
31241,"Nasal/sinus endoscopy, surgical; with ligation of sphenopalatine artery",4.31,000,,
31253,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and poste- rior), including frontal sinus exploration, with removal of tissue from frontal sinus, when performed",,4.83 000,,
31254,"Nasal/sinus endoscopy, surgical with ethmoidectomy; partial (anterior)",6.65,000,,
31255,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and poste- rior)",9.08,000,,
31256,"Nasal/sinus endoscopy, surgical, with maxillary antrostomy;",5.24,000,,
31257,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and poste- rior), including sphenoidotomy",4.30,000,,
31259,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and poste- rior), including sphenoidotomy, with removal of tissue from the sphenoid sinus",4.55,000,,
31267,"Nasal/sinus endoscopy, surgical, with maxillary antrostomy; with removal of tis- sue from maxillary sinus",7.87,000,,
31276,"Nasal/sinus endoscopy, surgical, with frontal sinus exploration, including removal of tissue from frontal sinus, when performed",7.87,000,,
31287,"Nasal/sinus endoscopy, surgical, with sphenoidotomy;",6.56,000,,
