Description,Relative Value,FUD,PC/TC Split
"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardio- pulmonary bypass support with open peripheral arterial and venous cannulation (eg, femoral, iliac, axillary vessels) (List separately in addition to code for primary procedure)",7.28,ZZZ,
"Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; cardio- pulmonary bypass support with central arterial and venous cannulation (eg, aorta, right atrium, pulmonary artery) (List separately in addition to code for primary pro- cedure)",9.61,ZZZ,
"Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; simple (ie, valvot- omy, debridement, debulking, and/or simple commissural resuspension)",18.44,090,
"Valvuloplasty, aortic valve, open, with cardiopulmonary bypass; complex (eg, leaf- let extension, leaflet resection, leaflet reconstruction, or annuloplasty)",21.88,090,
Construction of apical-aortic conduit,23.41,090,
"Replacement, aortic valve, open, with cardiopulmonary bypass; with prosthetic valve other than homograft or stentless valve",22.01,090,
"Replacement, aortic valve, open, with cardiopulmonary bypass; with allograft valve (freehand)",22.01,090,
"Replacement, aortic valve, open, with cardiopulmonary bypass; with stentless tis- sue valve",22.01,090,
"Replacement, aortic valve; with aortic annulus enlargement, noncoronary sinus",23.41,090,
"Replacement, aortic valve; with transventricular aortic annulus enlargement (Konno procedure)",23.41,090,
"Replacement, aortic valve; by translocation of autologous pulmonary valve with allograft replacement of pulmonary valve (Ross procedure)",29.27,090,
Repair of left ventricular outflow tract obstruction by patch enlargement of the outflow tract,22.94,090,
Resection or incision of subvalvular tissue for discrete subvalvular aortic stenosis,18.73,090,
"Ventriculomyotomy (-myectomy) for idiopathic hypertrophic subaortic stenosis (eg, asymmetric septal hypertrophy)",21.07,090,
Aortoplasty (gusset) for supravalvular stenosis,21.07,090,
"Transcatheter mitral valve repair, percutaneous approach, including transseptal puncture when performed; initial prosthesis",17.56,090,
"Transcatheter mitral valve repair, percutaneous approach, including transseptal puncture when performed; additional prosthesis(es) during same session (List separately in addition to code for primary procedure)",4.15,ZZZ,
"Valvotomy, mitral valve; closed heart",14.98,090,
"Valvotomy, mitral valve; open heart, with cardiopulmonary bypass",20.6,090,
"Valvuloplasty, mitral valve, with cardiopulmonary bypass;",19.48,090,
"Valvuloplasty, mitral valve, with cardiopulmonary bypass; with prosthetic ring",21.35,090,
"Valvuloplasty, mitral valve, with cardiopulmonary bypass; radical reconstruction, with or without ring",24.31,090,
"Replacement, mitral valve, with cardiopulmonary bypass",21.07,090,
"Valvectomy, tricuspid valve, with cardiopulmonary bypass",18.73,090,
"Valvuloplasty, tricuspid valve; without ring insertion",21.35,090,
"Valvuloplasty, tricuspid valve; with ring insertion",21.91,090,
"Replacement, tricuspid valve, with cardiopulmonary bypass",20.14,090,
Tricuspid valve repositioning and plication for Ebstein anomaly,25.29,090,
"Valvotomy, pulmonary valve, closed heart; transventricular",14.98,090,
"Valvotomy, pulmonary valve, closed heart; via pulmonary artery",14.98,090,
"Valvotomy, pulmonary valve, open heart, with cardiopulmonary bypass",21.07,090,
"Replacement, pulmonary valve",23.23,090,
"Right ventricular resection for infundibular stenosis, with or without commissurot- omy",20.6,090,
