Code,Description,Relative Value,FUD,PC/TC Split
33697,Complete repair tetralogy of Fallot with pulmonary atresia including construction of conduit from right ventricle to pulmonary artery and closure of ventricular sep- tal defect,23.98,090,
33702,"Repair sinus of Valsalva fistula, with cardiopulmonary bypass;",18.73,090,
33710,"Repair sinus of Valsalva fistula, with cardiopulmonary bypass; with repair of ven- tricular septal defect",24.35,090,
33720,"Repair sinus of Valsalva aneurysm, with cardiopulmonary bypass",22.01,090,
33722,Closure of aortico-left ventricular tunnel,21.54,090,
33724,"Repair of isolated partial anomalous pulmonary venous return (eg, Scimitar Syn- drome)",18.26,090,
33726,Repair of pulmonary venous stenosis,21.35,090,
33730,"Complete repair of anomalous pulmonary venous return (supracardiac, intracar- diac, or infracardiac types)",22.01,090,
33732,Repair of cor triatriatum or supravalvular mitral ring by resection of left atrial membrane,21.73,090,
33735,Atrial septectomy or septostomy; closed heart (Blalock-Hanlon type operation),14.05,090,
33736,Atrial septectomy or septostomy; open heart with cardiopulmonary bypass,17.7,090,
33737,"Atrial septectomy or septostomy; open heart, with inflow occlusion",15.92,090,
33750,Shunt; subclavian to pulmonary artery (Blalock-Taussig type operation),11.71,090,
33755,Shunt; ascending aorta to pulmonary artery (Waterston type operation),13.11,090,
33762,Shunt; descending aorta to pulmonary artery (Potts-Smith type operation),11.71,090,
33764,"Shunt; central, with prosthetic graft",14.05,090,
33766,Shunt; superior vena cava to pulmonary artery for flow to 1 lung (classical Glenn procedure),10.86,090,
33767,Shunt; superior vena cava to pulmonary artery for flow to both lungs (bidirectional Glenn procedure),13.77,090,
33768,"Anastomosis, cavopulmonary, second superior vena cava (List separately in addi- tion to primary procedure)",4.68,ZZZ,
33770,Repair of transposition of the great arteries with ventricular septal defect and sub- pulmonary stenosis; without surgical enlargement of ventricular septal defect,26.6,090,
33771,Repair of transposition of the great arteries with ventricular septal defect and sub- pulmonary stenosis; with surgical enlargement of ventricular septal defect,26.97,090,
33774,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass;",23.41,090,
33775,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with removal of pulmonary band",27.16,090,
33776,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with closure of ventricular septal defect",28.1,090,
33777,"Repair of transposition of the great arteries, atrial baffle procedure (eg, Mustard or Senning type) with cardiopulmonary bypass; with repair of subpulmonic obstruction",28.1,090,
33778,"Repair of transposition of the great arteries, aortic pulmonary artery reconstruc- tion (eg, Jatene type);",28.1,090,
33779,"Repair of transposition of the great arteries, aortic pulmonary artery reconstruc- tion (eg, Jatene type); with removal of pulmonary band",29.03,090,
33780,"Repair of transposition of the great arteries, aortic pulmonary artery reconstruc- tion (eg, Jatene type); with closure of ventricular septal defect",33.72,090,
33781,"Repair of transposition of the great arteries, aortic pulmonary artery reconstruc- tion (eg, Jatene type); with repair of subpulmonic obstruction",33.72,090,
33782,"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); without coronary ostium reimplantation",44.02,090,
33783,"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); with reimplantation of 1 or both coronary ostia",47.76,090,
