,Code,Description,Relative Value FUD,PC/TC Split
33983,"Replacement of ventricular assist device pump(s); implantable intracorporeal, gle ventricle, with cardiopulmonary bypass",sin- 22.22,XXX,
■ 33984,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of peripheral (arterial and/or venous) cannula(e), open, 6 years and older",2.78,000,
■ 33985,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracot- omy, birth through 5 years of age",5.04,000,
■ 33986,"Extracorporeal membrane oxygenation (ECMO)/extracorporeal life support (ECLS) provided by physician; removal of central cannula(e) by sternotomy or thoracot- omy, 6 years and older",5.09,000,
■ + 33987,"Arterial exposure with creation of graft conduit (eg, chimney graft) to facilitate arterial perfusion for ECMO/ECLS (List separately in addition to code for primary procedure)",2.04,ZZZ,
■ 33988,"Insertion of left heart vent by thoracic incision (eg, sternotomy, thoracotomy) for ECMO/ECLS",7.62,000,
■ 33989,"Removal of left heart vent by thoracic incision (eg, sternotomy, thoracotomy) for ECMO/ECLS",4.84,000,
■ 33990,"Insertion of ventricular assist device, percutaneous including radiological super- vision and interpretation; arterial access only",4.16,XXX,
■ 33991,"Insertion of ventricular assist device, percutaneous including radiological super- vision and interpretation; both arterial and venous access, with transseptal punc- ture",6.13,XXX,
■ 33992,Removal of percutaneous ventricular assist device at separate and distinct ses- sion from insertion,1.95,XXX,
■ 33993,Repositioning of percutaneous ventricular assist device with imaging guidance at separate and distinct session from insertion,1.71,XXX,
33999,"Unlisted procedure, cardiac surgery",BR,YYY,
34001,"Embolectomy or thrombectomy, with or without catheter; carotid, subclavian or innominate artery, by neck incision",6.56,090,
34051,"Embolectomy or thrombectomy, with or without catheter; innominate, subclavian artery, by thoracic incision",7.49,090,
34101,"Embolectomy or thrombectomy, with or without catheter; axillary, brachial, innom- inate, subclavian artery, by arm incision",5.62,090,
34111,"Embolectomy or thrombectomy, with or without catheter; radial or ulnar artery, by arm incision",11.24,090,
34151,"Embolectomy or thrombectomy, with or without catheter; renal, celiac, mesentery, aortoiliac artery, by abdominal incision",11.24,090,
34201,"Embolectomy or thrombectomy, with or without catheter; femoropopliteal, aortoil- iac artery, by leg incision",9.37,090,
34203,"Embolectomy or thrombectomy, with or without catheter; popliteal-tibio-peroneal artery, by leg incision",8.43,090,
34401,"Thrombectomy, direct or with catheter; vena cava, iliac vein, by abdominal inci- sion",8.43,090,
34421,"Thrombectomy, direct or with catheter; vena cava, iliac, femoropopliteal vein, by leg incision",6.37,090,
34451,"Thrombectomy, direct or with catheter; vena cava, iliac, femoropopliteal vein, by abdominal and leg incision",10.77,090,
34471,"Thrombectomy, direct or with catheter; subclavian vein, by neck incision",6.56,090,
34490,"Thrombectomy, direct or with catheter; axillary and subclavian vein, by arm inci- sion",6.56,090,
34501,"Valvuloplasty, femoral vein",6.09,090,
34502,"Reconstruction of vena cava, any method",16.30,090,
34510,"Venous valve transposition, any vein donor",7.40,090,
34520,Cross-over vein graft to venous system,7.77,090,
