,Code,Description,Relative Value,FUD,PC/TC Split
,37226,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed",5.34,000,
,37227,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed",7.77,000,
,37228,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal angioplasty",5.71,000,
,37229,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with atherectomy, includes angioplasty within the same vessel, when performed",7.4,000,
,37230,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed",7.21,000,
,37231,"Revascularization, endovascular, open or percutaneous, tibial, peroneal artery, unilateral, initial vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed",7.96,000,
+,37232,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal angioplasty (List separately in addition to code for primary procedure)",2.25,ZZZ,
+,37233,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with atherectomy, includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)",3.09,ZZZ,
+,37234,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)",2.81,ZZZ,
+,37235,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery, unilateral, each additional vessel; with transluminal stent placement(s) and atherectomy, includes angioplasty within the same vessel, when performed (List separately in addition to code for primary procedure)",4.03,ZZZ,
■,37236,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s) for occlusive disease, cervical carotid, extracranial vertebral or intratho- racic carotid, intracranial, or coronary), open or percutaneous, including radiolog- ical supervision and interpretation and including all angioplasty within the same vessel, when performed; initial artery",30.96,000,
■ +,37237,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s) for occlusive disease, cervical carotid, extracranial vertebral or intratho- racic carotid, intracranial, or coronary), open or percutaneous, including radiolog- ical supervision and interpretation and including all angioplasty within the same vessel, when performed; each additional artery (List separately in addition to code for primary procedure)",19.48,ZZZ,
■,37238,"Transcatheter placement of an intravascular stent(s), open or percutaneous, including radiological supervision and interpretation and including angioplasty within the same vessel, when performed; initial vein",33.54,000,
■ +,37239,"Transcatheter placement of an intravascular stent(s), open or percutaneous, including radiological supervision and interpretation and including angioplasty within the same vessel, when performed; each additional vein (List separately in addition to code for primary procedure)",16.24,ZZZ,
■,37241,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; venous, other than hemorrhage (eg, congenital or acquired venous malformations, venous and capillary hemangiomas, varices, var- icoceles)",38.12,000,
■,37242,"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; arterial, other than hemorrhage or tumor (eg, congeni- tal or acquired arterial malformations, arteriovenous malformations, arteriovenous fistulas, aneurysms, pseudoaneurysms)",58.98,000,
