Code,Description,Relative Value,FUD,PC/TC Split
40806,Incision of labial frenum (frenotomy),1.40,000,
40808,"Biopsy, vestibule of mouth",0.93,010,
40810,"Excision of lesion of mucosa and submucosa, vestibule of mouth; without repair",1.17,010,
40812,"Excision of lesion of mucosa and submucosa, vestibule of mouth; with simple repair",1.46,010,
40814,"Excision of lesion of mucosa and submucosa, vestibule of mouth; with complex repair",3.50,090,
40816,"Excision of lesion of mucosa and submucosa, vestibule of mouth; complex, with excision of underlying muscle",4.55,090,
40818,Excision of mucosa of vestibule of mouth as donor graft,1.93,090,
40819,"Excision of frenum, labial or buccal (frenumectomy, frenulectomy, frenectomy)",1.64,090,
40820,"Destruction of lesion or scar of vestibule of mouth by physical methods (eg, laser, thermal, cryo, chemical)",1.40,010,
40830,"Closure of laceration, vestibule of mouth; 2.5 cm or less",0.93,010,
40831,"Closure of laceration, vestibule of mouth; over 2.5 cm or complex",2.34,010,
40840,Vestibuloplasty; anterior,4.67,090,
40842,"Vestibuloplasty; posterior, unilateral",3.62,090,
40843,"Vestibuloplasty; posterior, bilateral",5.14,090,
40844,Vestibuloplasty; entire arch,8.18,090,
40845,"Vestibuloplasty; complex (including ridge extension, muscle repositioning)",9.93,090,
40899,"Unlisted procedure, vestibule of mouth",BR,YYY,
41000,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; lingual",0.93,010,
41005,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; sublingual, superficial",1.05,010,
41006,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; sublingual, deep, supramylohyoid",2.92,090,
41007,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; submental space",2.92,090,
41008,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; submandibular space",2.92,090,
41009,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; masticator space",2.92,090,
41010,Incision of lingual frenum (frenotomy),1.40,010,
41015,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; sublingual",3.04,090,
41016,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; submental",2.34,090,
41017,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; submandibular",3.04,090,
41018,"Extraoral incision and drainage of abscess, cyst, or hematoma of floor of mouth; masticator space",3.04,090,
41019,"Placement of needles, catheters, or other device(s) into the head and/or neck region (percutaneous, transoral, or transnasal) for subsequent interstitial radio- element application",3.85,000,
41100,Biopsy of tongue; anterior two-thirds,0.93,010,
41105,Biopsy of tongue; posterior one-third,1.17,010,
41108,Biopsy of floor of mouth,0.82,010,
41110,Excision of lesion of tongue without closure,1.05,010,
41112,Excision of lesion of tongue with closure; anterior two-thirds,2.57,090,
41113,Excision of lesion of tongue with closure; posterior one-third,3.04,090,
41114,Excision of lesion of tongue with closure; with local tongue flap,2.80,090,
