,Code,Description,Relative Value,FUD,PC/TC Split
,41115,Excision of lingual frenum (frenectomy),1.87,010,
41116,,"Excision, lesion of floor of mouth",3.50,090,
41120,,Glossectomy; less than one-half tongue,6.31,090,
,41130,Glossectomy; hemiglossectomy,9.81,090,
,41135,"Glossectomy; partial, with unilateral radical neck dissection",17.52,090,
41140,,"Glossectomy; complete or total, with or without tracheostomy, without radical neck dissection",11.45,090,
41145,,"Glossectomy; complete or total, with or without tracheostomy, with unilateral radi- cal neck dissection",19.85,090,
41150,,"Glossectomy; composite procedure with resection floor of mouth and mandibular resection, without radical neck dissection",18.10,090,
41153,,"Glossectomy; composite procedure with resection floor of mouth, with suprahyoid neck dissection",19.85,090,
41155,,"Glossectomy; composite procedure with resection floor of mouth, mandibular resection, and radical neck dissection (Commando type)",23.94,090,
41250,,Repair of laceration 2.5 cm or less; floor of mouth and/or anterior two-thirds of tongue,1.05,010,
41251,,Repair of laceration 2.5 cm or less; posterior one-third of tongue,0.93,010,
41252,,"Repair of laceration of tongue, floor of mouth, over 2.6 cm or complex",4.20,010,
,41500,"Fixation of tongue, mechanical, other than suture (eg, K-wire)",2.34,090,
41510,,Suture of tongue to lip for micrognathia (Douglas type procedure),4.20,090,
41512,,"Tongue base suspension, permanent suture technique",3.97,090,
41520,,"Frenoplasty (surgical revision of frenum, eg, with Z-plasty)",2.80,090,
41530,,"Submucosal ablation of the tongue base, radiofrequency, 1 or more sites, per ses- sion",24.64,000,
41599,,"Unlisted procedure, tongue, floor of mouth",BR,YYY,
41800,,"Drainage of abscess, cyst, hematoma from dentoalveolar structures",0.93,010,
41805,,Removal of embedded foreign body from dentoalveolar structures; soft tissues,1.05,010,
41806,,Removal of embedded foreign body from dentoalveolar structures; bone,1.17,010,
41820,,"Gingivectomy, excision gingiva, each quadrant",2.34,000,
41821,,"Operculectomy, excision pericoronal tissues",0.53,000,
41822,,"Excision of fibrous tuberosities, dentoalveolar structures",1.17,010,
41823,,"Excision of osseous tuberosities, dentoalveolar structures",2.69,090,
41825,,"Excision of lesion or tumor (except listed above), dentoalveolar structures; without repair",1.17,010,
41826,,"Excision of lesion or tumor (except listed above), dentoalveolar structures; with simple repair",2.04,010,
41827,,"Excision of lesion or tumor (except listed above), dentoalveolar structures; with complex repair",3.21,090,
,41828,"Excision of hyperplastic alveolar mucosa, each quadrant (specify)",3.39,010,
41830,,"Alveolectomy, including curettage of osteitis or sequestrectomy",2.80,010,
,41850,"Destruction of lesion (except excision), dentoalveolar structures",1.17,000,
,41870,Periodontal mucosal grafting,2.92,000,
41872,,"Gingivoplasty, each quadrant (specify)",3.50,090,
41874,,"Alveoloplasty, each quadrant (specify)",2.45,090,
41899,,"Unlisted procedure, dentoalveolar structures",BR,YYY,
42000,,"Drainage of abscess of palate, uvula",1.05,010,
,42100,"Biopsy of palate, uvula",1.17,010,
42104,,"Excision, lesion of palate, uvula; without closure",1.69,010,
