,Code,Description,Relative Value FUD,PC/TC Split
43192,"Esophagoscopy, rigid, transoral; with directed submucosal injection(s), any sub- stance",1.46,000,
43193,"Esophagoscopy, rigid, transoral; with biopsy, single or multiple",1.47,000,
43194,"Esophagoscopy, rigid, transoral; with removal of foreign body(s)",1.68,000,
43195,"Esophagoscopy, rigid, transoral; with balloon dilation (less than 30 mmdiameter)",1.6,000,
43196,"Esophagoscopy, rigid, transoral; with insertion of guide wire followed by dilation over guide wire",1.71,000,
43197,"Esophagoscopy, flexible, transnasal; diagnostic, including collection of speci- men(s) by brushing or washing, when performed (separate procedure)",1.54,000,
43198,"Esophagoscopy, flexible, transnasal; with biopsy, single or multiple",1.7,000,
43200,"Esophagoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",2.57,000,
43201,"Esophagoscopy, flexible, transoral; with directed submucosal injection(s), any substance",3.85,000,
43202,"Esophagoscopy, flexible, transoral; with biopsy, single or multiple",2.8,000,
43204,"Esophagoscopy, flexible, transoral; with injection sclerosis of esophageal varices",3.85,000,
43205,"Esophagoscopy, flexible, transoral; with band ligation of esophageal varices",3.85,000,
43206,"Esophagoscopy, flexible, transoral; with optical endomicroscopy",2.15,000,
43210,"Esophagogastroduodenoscopy, flexible, transoral; with esophagogastric fundo- plasty, partial or complete, includes duodenoscopy when performed",3.92,000,
43211,"Esophagoscopy, flexible, transoral; with endoscopic mucosal resection",2.08,000,
43212,"Esophagoscopy, flexible, transoral; with placement of endoscopic stent (includes pre- and post-dilation and guide wire passage, when performed)",3.5,000,
43213,"Esophagoscopy, flexible, transoral; with dilation of esophagus, by balloon or dila- tor, retrograde (includes fluoroscopic guidance, when performed)",2.34,000,
43214,"Esophagoscopy, flexible, transoral; with dilation of esophagus with balloon (30mm diameter or larger) (includes fluoroscopic guidance, when performed)",1.7,000,
43215,"Esophagoscopy, flexible, transoral; with removal of foreign body(s)",3.74,000,
43216,"Esophagoscopy, flexible, transoral; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps",4.09,000,
43217,"Esophagoscopy, flexible, transoral; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique",4.09,000,
43220,"Esophagoscopy, flexible, transoral; with transendoscopic balloon dilation (less than 30 mmdiameter)",3.15,000,
43226,"Esophagoscopy, flexible, transoral; with insertion of guide wire followed by pas- sage of dilator(s) over guide wire",2.8,000,
43227,"Esophagoscopy, flexible, transoral; with control of bleeding, any method",3.85,000,
43229,"Esophagoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesion(s) (includes pre- and post-dilation and guide wire passage, when per- formed)",3.5,000,
43231,"Esophagoscopy, flexible, transoral; with endoscopic ultrasound examination",3.09,000,
43232,"Esophagoscopy, flexible, transoral; with transendoscopic ultrasound-guided intra- mural or transmural fine needle aspiration/biopsy(s)",3.62,000,
43233,"Esophagogastroduodenoscopy, flexible, transoral; with dilation of esophagus with balloon (30 mmdiameter or larger) (includes fluoroscopic guidance, when per- formed)",2.02,000,
43235,"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",2.57,000,
43236,"Esophagogastroduodenoscopy, flexible, transoral; with directed submucosal injection(s), any substance",4.2,000,
43237,"Esophagogastroduodenoscopy, flexible, transoral; with endoscopic ultrasound examination limited to the esophagus, stomach or duodenum, and adjacent struc- tures",3.1,000,
