,Code,Description,Relative Value FUD,PC/TC Split
44345,Revision of colostomy; complicated (reconstruction in-depth) (separate proce- dure),6.77,090,
44346,Revision of colostomy; with repair of paracolostomy hernia (separate procedure),7.94,090,
44360,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",3.27,000,
44361,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with biopsy, single or multiple",3.5,000,
44363,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of foreign body(s)",3.5,000,
44364,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique",3.97,000,
44365,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps or bipolar cautery",3.97,000,
44366,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)",4.67,000,
44369,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique",3.97,000,
44370,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with transendoscopic stent placement (includes predilation)",4.91,000,
44372,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with placement of percutaneous jejunostomy tube",3.27,000,
44373,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with conversion of percutaneous gastrostomy tube to percutane- ous jejunostomy tube",3.27,000,
44376,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)",3.62,000,
44377,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with biopsy, single or multiple",3.97,000,
44378,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with control of bleeding (eg, injection, bipolar cautery, unipolar cautery, laser, heater probe, stapler, plasma coagulator)",5.49,000,
44379,"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, including ileum; with transendoscopic stent placement (includes predilation)",5.43,000,
44380,"Ileoscopy, through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",2.57,000,
44381,"Ileoscopy, through stoma; with transendoscopic balloon dilation",7.45,000,
44382,"Ileoscopy, through stoma; with biopsy, single or multiple",3.39,000,
44384,"Ileoscopy, through stoma; with placement of endoscopic stent (includes pre- and post-dilation and guide wire passage, when performed)",3.85,000,
44385,"Endoscopic evaluation of small intestinal pouch (eg, Kock pouch, ileal reservoir [S or J]); diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",3.09,000,
44386,"Endoscopic evaluation of small intestinal pouch (eg, Kock pouch, ileal reservoir [S or J]); with biopsy, single or multiple",3.62,000,
44388,"Colonoscopy through stoma; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)",3.5,000,
44389,"Colonoscopy through stoma; with biopsy, single or multiple",4.09,000,
44390,Colonoscopy through stoma; with removal of foreign body(s),4.09,000,
44391,"Colonoscopy through stoma; with control of bleeding, any method",5.61,000,
