Description,Code,Relative Value,FUD,PC/TC Split
,"44721 Backbench reconstruction of cadaver or living donor intestine allograft prior to transplantation; arterial anastomosis, each",3.38,XXX,
■,"44799 Unlisted procedure, small intestine",BR,YYY,
44800,Excision of Meckel's diverticulum (diverticulectomy) or omphalomesenteric duct,7.01,090,
44820,Excision of lesion of mesentery (separate procedure),5.84,090,
44850,Suture of mesentery (separate procedure),7.01,090,
44899,"Unlisted procedure, Meckel's diverticulum and the mesentery",BR,YYY,
44900,"Incision and drainage of appendiceal abscess, open",4.91,090,
44950,Appendectomy;,5.61,090,
+ 44955,Appendectomy; whendonefor indicated purpose at time of other major procedure (not as separate procedure) (List separately in addition to code for primary proce- dure),3.04,ZZZ,
44960,Appendectomy; for ruptured appendix with abscess or generalized peritonitis,7.01,090,
44970,"Laparoscopy, surgical, appendectomy",5.61,090,
44979,"Unlisted laparoscopy procedure, appendix",BR,YYY,
45000,Transrectal drainage of pelvic abscess,2.04,090,
45005,"Incision and drainage of submucosal abscess, rectum",1.64,010,
45020,"Incision and drainage of deep supralevator, pelvirectal, or retrorectal abscess",2.63,090,
45100,"Biopsy of anorectal wall, anal approach (eg, congenital megacolon)",2.34,090,
45108,Anorectal myomectomy,5.84,090,
45110,"Proctectomy; complete, combined abdominoperineal, with colostomy",15.18,090,
45111,"Proctectomy; partial resection of rectum, transabdominal approach",12.26,090,
45112,"Proctectomy, combined abdominoperineal, pull-through procedure (eg, colo-anal anastomosis)",15.18,090,
45113,"Proctectomy, partial, with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservoir (S or J), with or without loop ileostomy",18.69,090,
45114,"Proctectomy, partial, with anastomosis; abdominal and transsacral approach",17.52,090,
45116,"Proctectomy, partial, with anastomosis; transsacral approach only (Kraske type)",12.26,090,
45119,"Proctectomy, combined abdominoperineal pull-through procedure (eg, colo-anal anastomosis), with creation of colonic reservoir (eg, J-pouch), with diverting enterostomy when performed",16.35,090,
45120,"Proctectomy, complete (for congenital megacolon), abdominal and perineal approach; with pull-through procedure and anastomosis (eg, Swenson, Duhamel, or Soave type operation)",17.52,090,
45121,"Proctectomy, complete (for congenital megacolon), abdominal and perineal approach; with subtotal or total colectomy, with multiple biopsies",15.18,090,
45123,"Proctectomy, partial, without anastomosis, perineal approach",9.93,090,
45126,"Pelvic exenteration for colorectal malignancy, with proctectomy (with or without colostomy), with removal of bladder and ureteral transplantations, and/or hyster- ectomy, or cervicectomy, with or without removal of tube(s), with or without removal of ovary(s), or any combination thereof",28.91,090,
45130,"Excision of rectal procidentia, with anastomosis; perineal approach",9.69,090,
45135,"Excision of rectal procidentia, with anastomosis; abdominal and perineal approach",16.35,090,
45136,Excision of ileoanal reservoir with ileostomy,10.51,090,
45150,Division of stricture of rectum,4.09,090,
45160,"Excision of rectal tumor by proctotomy, transsacral or transcoccygeal approach",10.51,090,
45171,"Excision of rectal tumor, transanal approach; not including muscularis propria (ie, partial thickness)",4.67,090,
45172,"Excision of rectal tumor, transanal approach; including muscularis propria (ie, full",6.42,090,
