Code,,Description,Relative Value FUD,PC/TC Split
46700,"Anoplasty, plastic operation for stricture; adult",4.79,090,
46705,"Anoplasty, plastic operation for stricture; infant",5.37,090,
46706,Repair of anal fistula with fibrin glue,1.87,010,
46707,"Repair of anorectal fistula with plug (eg, porcine small intestine submucosa [SIS])",3.5,090,
46710,"Repair of ileoanal pouch fistula/sinus (eg, perineal or vaginal), pouch advance- ment; transperineal approach",7.59,090,
46712,"Repair of ileoanal pouch fistula/sinus (eg, perineal or vaginal), pouch advance- ment; combined transperineal and transabdominal approach",15.88,090,
46715,Repair of low imperforate anus; with anoperineal fistula (cut-back procedure),4.67,090,
46716,Repair of low imperforate anus; with transposition of anoperineal or anovestibular fistula,5.84,090,
46730,Repair of high imperforate anus without fistula; perineal or sacroperineal approach,11.68,090,
46735,Repair of high imperforate anus without fistula; combined transabdominal and sacroperineal approaches,12.85,090,
46740,Repair of high imperforate anus with rectourethral or rectovaginal fistula; perineal or sacroperineal approach,14.01,090,
46742,Repair of high imperforate anus with rectourethral or rectovaginal fistula; com- bined transabdominal and sacroperineal approaches,15.42,090,
46744,"Repair of cloacal anomaly by anorectovaginoplasty and urethroplasty, sacroperi- neal approach",19.04,090,
46746,"Repair of cloacal anomaly by anorectovaginoplasty and urethroplasty, combined abdominal and sacroperineal approach;",20.96,090,
46748,"Repair of cloacal anomaly by anorectovaginoplasty and urethroplasty, combined abdominal and sacroperineal approach; with vaginal lengthening by intestinal graft or pedicle flaps",23.18,090,
46750,"Sphincteroplasty, anal, for incontinence or prolapse; adult",6.42,090,
46751,"Sphincteroplasty, anal, for incontinence or prolapse; child",5.84,090,
46753,Graft (Thiersch operation) for rectal incontinence and/or prolapse,4.09,090,
46754,"Removal of Thiersch wire or suture, anal canal",0.93,010,
46760,"Sphincteroplasty, anal, for incontinence, adult; muscle transplant",8.18,090,
46761,"Sphincteroplasty, anal, for incontinence, adult; levator muscle imbrication (Park posterior anal repair)",11.68,090,
46762,"Sphincteroplasty, anal, for incontinence, adult; implantation artificial sphincter",14.6,090,
46900,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; chemical",0.47,010,
46910,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; electrodesiccation",0.88,010,
46916,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; cryosurgery",1.05,010,
46917,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; laser surgery",2.34,010,
46922,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; surgical excision",1.58,010,
46924,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, che- mosurgery)",3.5,010,
46930,"Destruction of internal hemorrhoid(s) by thermal energy (eg, infrared coagulation, cautery, radiofrequency)",0.82,090,
46940,"Curettage or cautery of anal fissure, including dilation of anal sphincter (separate procedure); initial",0.58,010,
46942,"Curettage or cautery of anal fissure, including dilation of anal sphincter (separate procedure); subsequent",0.58,010,
