Code,Description,Relative,Value FUD,PC/TC Split
54231,"Dynamic cavernosometry, including intracavernosal injection of vasoactive drugs (eg, papaverine, phentolamine)",1.55,000,
54235,"Injection of corpora cavernosa with pharmacologic agent(s) (eg, papaverine, phentolamine)",0.59,000,
54240,Penile plethysmography,0.75,000,85/15
54250,Nocturnal penile tumescence and/or rigidity test,0.94,000,85/15
54300,"Plastic operation of penis for straightening of chordee (eg, hypospadias), with or without mobilization of urethra",4.96,090,
54304,Plastic operation on penis for correction of chordee or for first stage hypospadias repair with or without transplantation of prepuce and/or skin flaps,6.09,090,
54308,Urethroplasty for second stage hypospadias repair (including urinary diversion); less than 3 cm,7.49,090,
54312,Urethroplasty for second stage hypospadias repair (including urinary diversion); greater than 3 cm,8.43,090,
54316,Urethroplasty for second stage hypospadias repair (including urinary diversion) with free skin graft obtained from site other than genitalia,9.37,090,
54318,"Urethroplasty for third stage hypospadias repair to release penis from scrotum (eg, third stage Cecil repair)",4.68,090,
54322,"1-stage distal hypospadias repair (with or without chordee or circumcision); with simple meatal advancement (eg, Magpi, V-flap)",5.85,090,
54324,"1-stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps (eg, flip-flap, prepucial flap)",7.96,090,
54326,1-stage distal hypospadias repair (with or without chordee or circumcision); with urethroplasty by local skin flaps and mobilization of urethra,8.99,090,
54328,"1-stage distal hypospadias repair (with or without chordee or circumcision); with extensive dissection to correct chordee and urethroplasty with local skin flaps, skin graft patch, and/or island flap",10.58,090,
54332,1-stage proximal penile or penoscrotal hypospadias repair requiring extensive dis- section to correct chordee and urethroplasty by use of skin graft tube and/or island flap,9.74,090,
54336,1-stage perineal hypospadias repair requiring extensive dissection to correct chordee and urethroplasty by use of skin graft tube and/or island flap,11.19,090,
54340,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); by closure, incision, or excision, simple",5.62,090,
54344,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); requiring mobilization of skin flaps and urethroplasty with flap or patch graft",7.49,090,
54348,"Repair of hypospadias complications (ie, fistula, stricture, diverticula); requiring extensive dissection and urethroplasty with flap, patch or tubed graft (includes urinary diversion)",8.52,090,
54352,Repair of hypospadias cripple requiring extensive dissection and excision of pre- viously constructed structures including re-release of chordee and reconstruction of urethra and penis by use of local skin as grafts and island flaps and skin brought in as flaps or grafts,12.64,090,
54360,Plastic operation on penis to correct angulation,6.18,090,
54380,Plastic operation on penis for epispadias distal to external sphincter;,5.62,090,
54385,Plastic operation on penis for epispadias distal to external sphincter; with inconti- nence,9.37,090,
54390,Plastic operation on penis for epispadias distal to external sphincter; with exstro- phy of bladder,11.24,090,
54400,Insertion of penile prosthesis; non-inflatable (semi-rigid),8.24,090,
54401,Insertion of penile prosthesis; inflatable (self-contained),10.21,090,
54405,"Insertion of multi-component, inflatable penile prosthesis, including placement of pump, cylinders, and reservoir",7.21,090,
54406,"Removal of all components of a multi-component, inflatable penile prosthesis without replacement of prosthesis",5.9,090,
