,Code,Description,Relative Value,FUD,PC/TC Split
,57455,Colposcopy of the cervix including upper/adjacent vagina; with biopsy(s) of the cervix,0.49,000,
,57456,Colposcopy of the cervix including upper/adjacent vagina; with endocervical curettage,0.56,000,
,57460,Colposcopy of the cervix including upper/adjacent vagina; with loop electrode biopsy(s) of the cervix,2.95,000,
,57461,Colposcopy of the cervix including upper/adjacent vagina; with loop electrode conization of the cervix,2.95,000,
,57500,"Biopsy of cervix, single or multiple, or local excision of lesion, with or without ful- guration (separate procedure)",0.94,000,
,57505,Endocervical curettage (not done as part of a dilation and curettage),0.56,010,
,57510,Cautery of cervix; electro or thermal,0.84,010,
,57511,"Cautery of cervix; cryocautery, initial or repeat",0.8,010,
,57513,Cautery of cervix; laser ablation,2.81,010,
,57520,"Conization of cervix, with or without fulguration, with or without dilation and curet- tage, with or without repair; cold knife or laser",3.37,090,
,57522,"Conization of cervix, with or without fulguration, with or without dilation and curet- tage, with or without repair; loop electrode excision",3.37,090,
,57530,"Trachelectomy (cervicectomy), amputation of cervix (separate procedure)",2.67,090,
,57531,"Radical trachelectomy, with bilateral total pelvic lymphadenectomy and para-aor- tic lymph node sampling biopsy, with or without removal of tube(s), with or without removal of ovary(s)",13.28,090,
,57540,"Excision of cervical stump, abdominal approach;",5.62,090,
,57545,"Excision of cervical stump, abdominal approach; with pelvic floor repair",7.02,090,
,57550,"Excision of cervical stump, vaginal approach;",4.21,090,
,57555,"Excision of cervical stump, vaginal approach; with anterior and/or posterior repair",6.56,090,
,57556,"Excision of cervical stump, vaginal approach; with repair of enterocele",5.06,090,
,57558,Dilation and curettage of cervical stump,1.08,010,
,57700,"Cerclage of uterine cervix, nonobstetrical",3.28,090,
,57720,"Trachelorrhaphy, plastic repair of uterine cervix, vaginal approach",2.76,090,
,57800,"Dilation of cervical canal, instrumental (separate procedure)",0.49,000,
,58100,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",0.66,000,
+,58110,Endometrial sampling (biopsy) performed in conjunction with colposcopy (List separately in addition to code for primary procedure),0.52,ZZZ,
,58120,"Dilation and curettage, diagnostic and/or therapeutic (nonobstetrical)",2.58,010,
,58140,"Myomectomy, excision of fibroid tumor(s) of uterus, 1 to 4 intramural myoma(s) with total weight of 250 g or less and/or removal of surface myomas; abdominal approach Myomectomy, excision of fibroid tumor(s) of uterus, 1 to 4 intramural myoma(s)",6.7,090,
,58145,with total weight of 250 g or less and/or removal of surface myomas; vaginal approach,6.09,090,
,58146,"Myomectomy, excision of fibroid tumor(s) of uterus, 5 or more intramural myomas and/or intramural myomas with total weight greater than 250 g, abdominal approach",8.05,090,
,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s);",9.13,090,
,58152,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s); with colpo-urethrocystopexy (eg, Marshall-Marchetti-Krantz, Burch)",11.71,090,
,58180,"Supracervical abdominal hysterectomy (subtotal hysterectomy), with or without removal of tube(s), with or without removal of ovary(s)",8.43,090,
