,Code,Description,Relative Value FUD,PC/TC Split
58662,"Laparoscopy, surgical; with fulguration or excision of lesions of the ovary, pelvic viscera, or peritoneal surface by any method",7.49,090,
58670,"Laparoscopy, surgical; with fulguration of oviducts (with or without transection)",4.21,090,
58671,"Laparoscopy, surgical; with occlusion of oviducts by device (eg, band, clip, or Falope ring)",4.21,090,
58672,"Laparoscopy, surgical; with fimbrioplasty",10.77,090,
58673,"Laparoscopy, surgical; with salpingostomy (salpingoneostomy)",9.83,090,
58674,"Laparoscopy, surgical, ablation of uterine fibroid(s) including intraoperative ultra- sound guidance and monitoring, radiofrequency",7.22,090,
58679,"Unlisted laparoscopy procedure, oviduct, ovary",BR,YYY,
58700,"Salpingectomy, complete or partial, unilateral or bilateral (separate procedure)",5.62,090,
58720,"Salpingo-oophorectomy, complete or partial, unilateral or bilateral (separate pro- cedure)",6.56,090,
58740,"Lysis of adhesions (salpingolysis, ovariolysis)",6.84,090,
58750,Tubotubal anastomosis,11.24,090,
58752,Tubouterine implantation,10.30,090,
58760,Fimbrioplasty,10.77,090,
58770,Salpingostomy (salpingoneostomy),9.83,090,
58800,"Drainage of ovarian cyst(s), unilateral or bilateral (separate procedure); vaginal approach",3.47,090,
58805,"Drainage of ovarian cyst(s), unilateral or bilateral (separate procedure); abdominal approach",5.06,090,
58820,"Drainage of ovarian abscess; vaginal approach, open",4.26,090,
58822,Drainage of ovarian abscess; abdominal approach,5.62,090,
58825,"Transposition, ovary(s)",5.62,090,
58900,"Biopsy of ovary, unilateral or bilateral (separate procedure)",5.06,090,
58920,"Wedge resection or bisection of ovary, unilateral or bilateral",5.62,090,
58925,"Ovarian cystectomy, unilateral or bilateral",6.09,090,
58940,"Oophorectomy, partial or total, unilateral or bilateral;",6.09,090,
58943,"Oophorectomy, partial or total, unilateral or bilateral; for ovarian, tubal or primary peritoneal malignancy, with para-aortic and pelvic lymph node biopsies, perito- neal washings, peritoneal biopsies, diaphragmatic assessments, with or without salpingectomy(s), with or without omentectomy",10.02,090,
58950,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy;",9.37,090,
58951,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with total abdominal hysterectomy, pelvic and limited para-aortic lymphadenectomy",14.89,090,
58952,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy; with radical dissection for debulking (ie, radical excision or destruction, intra-abdominal or retroperitoneal tumors)",18.08,090,
58953,"Bilateral salpingo-oophorectomy with omentectomy, total abdominal hysterec- tomy and radical dissection for debulking;",22.66,090,
58954,"Bilateral salpingo-oophorectomy with omentectomy, total abdominal hysterec- tomy and radical dissection for debulking; with pelvic lymphadenectomy and lim- ited para-aortic lymphadenectomy",24.63,090,
58956,"Bilateral salpingo-oophorectomy with total omentectomy, total abdominal hyster- ectomy for malignancy",14.80,090,
58957,"Resection (tumor debulking) of recurrent ovarian, tubal, primary peritoneal, uter- ine malignancy (intra-abdominal, retroperitoneal tumors), with omentectomy, if performed;",15.55,090,
