,Code,Description,Relative Value,PC/TC Split
59409,Vaginal delivery only (with or without episiotomy and/or forceps);,4.40,MMM FUD,
59410,Vaginal delivery only (with or without episiotomy and/or forceps); including post- partum care,4.87,MMM,
59412,"External cephalic version, with or without tocolysis",1.64,MMM,
59414,Delivery of placenta (separate procedure),1.31,MMM,
59425,Antepartum care only; 4-6 visits,1.19,MMM,
59426,Antepartum care only; 7 or more visits,3.56,MMM,
59430,Postpartum care only (separate procedure),0.47,MMM,
59510,"Routine obstetric care including antepartum care, cesarean delivery, and postpar- tum care",10.11,MMM,
59514,Cesarean delivery only;,6.04,MMM,
59515,Cesarean delivery only; including postpartum care,6.51,MMM,
59525,Subtotal or total hysterectomy after cesarean delivery (List separately in addition to code for primary procedure),3.37,ZZZ,
59610,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care, after previous cesarean delivery",9.30,MMM,
59612,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy and/or forceps);",4.85,MMM,
59614,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy and/or forceps); including postpartum care",5.36,MMM,
59618,"Routine obstetric care including antepartum care, cesarean delivery, and postpar- tum care, following attempted vaginal delivery after previous cesarean delivery",11.17,MMM,
59620,"Cesarean delivery only, following attempted vaginal delivery after previous cesar- ean delivery;",6.67,MMM,
59622,"Cesarean delivery only, following attempted vaginal delivery after previous cesar- ean delivery; including postpartum care",7.19,MMM,
59812,"Treatment of incomplete abortion, any trimester, completed surgically",2.53,090,
59820,"Treatment of missed abortion, completed surgically; first trimester",2.62,090,
59821,"Treatment of missed abortion, completed surgically; second trimester",3.04,090,
59830,"Treatment of septic abortion, completed surgically",3.75,090,
59840,"Induced abortion, by dilation and curettage",3.00,010,
59841,"Induced abortion, by dilation and evacuation",3.18,010,
59850,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injec- tions), including hospital admission and visits, delivery of fetus and secundines;",4.59,090,
59851,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injec- tions), including hospital admission and visits, delivery of fetus and secundines; with dilation and curettage and/or evacuation",4.87,090,
59852,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injec- tions), including hospital admission and visits, delivery of fetus and secundines; with hysterotomy (failed intra-amniotic injection)",6.18,090,
59855,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines;",3.42,090,
59856,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines; with dilation and curettage and/or evacuation",3.70,090,
59857,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines; with hysterotomy (failed medical evacuation)",6.18,090,
59866,Multifetal pregnancy reduction(s) (MPR),7.52,000,
59870,Uterine evacuation and curettage for hydatidiform mole,3.00,090,
59871,Removal of cerclage suture under anesthesia (other than local),0.82,000,
59897,"Unlisted fetal invasive procedure, including ultrasound guidance, when performed",BR,YYY,
