Code,Description,Relative Value FUD,,PC/TC Split
61541,Craniotomy with elevation of bone flap; for transection of corpus callosum,22.73,090,
61543,Craniotomy with elevation of bone flap; for partial or subtotal (functional) hemi- spherectomy,18.18,090,
61544,Craniotomy with elevation of bone flap; for excision or coagulation of choroid plexus,15.91,090,
61545,Craniotomy with elevation of bone flap; for excision of craniopharyngioma,22.73,090,
61546,"Craniotomy for hypophysectomy or excision of pituitary tumor, intracranial approach",19.55,090,
61548,"Hypophysectomy or excision of pituitary tumor, transnasal or transseptal approach, nonstereotactic",18.64,090,
61550,Craniectomy for craniosynostosis; single cranial suture,11.36,090,
61552,Craniectomy for craniosynostosis; multiple cranial sutures,13.64,090,
61556,Craniotomy for craniosynostosis; frontal or parietal bone flap,13.27,090,
61557,Craniotomy for craniosynostosis; bifrontal bone flap,15.91,090,
61558,"Extensive craniectomy for multiple cranial suture craniosynostosis (eg, cloverleaf skull); not requiring bone grafts",16.36,090,
61559,"Extensive craniectomy for multiple cranial suture craniosynostosis (eg, cloverleaf skull); recontouring with multiple osteotomies and bone autografts (eg, bar- rel-stave procedure) (includes obtaining grafts)",19.55,090,
61563,"Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dyspla- sia); without optic nerve decompression",17.91,090,
61564,"Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dyspla- sia); with optic nerve decompression",21.55,090,
61566,Craniotomy with elevation of bone flap; for selective amygdalohippocampectomy,18.73,090,
61567,"Craniotomy with elevation of bone flap; for multiple subpial transections, with electrocorticography during surgery",21.37,090,
61570,Craniectomy or craniotomy; with excision of foreign body from brain,20.37,090,
61571,Craniectomy or craniotomy; with treatment of penetrating wound of brain,20.37,090,
61575,"Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion;",14.09,090,
61576,"Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion; requiring splitting of tongue and/or mandible (including tracheostomy)",15,090,
61580,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhi- notomy, ethmoidectomy, sphenoidectomy, without maxillectomy or orbital exen- teration",11.36,090,
61581,"Craniofacial approach to anterior cranial fossa; extradural, including lateral rhi- notomy, orbital exenteration, ethmoidectomy, sphenoidectomy and/or maxillec- tomy",15.91,090,
61582,"Craniofacial approach to anterior cranial fossa; extradural, including unilateral or bifrontal craniotomy, elevation of frontal lobe(s), osteotomy of base of anterior cranial fossa",16.36,090,
61583,"Craniofacial approach to anterior cranial fossa; intradural, including unilateral or bifrontal craniotomy, elevation or resection of frontal lobe, osteotomy of base of anterior cranial fossa",17.27,090,
61584,"Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); without orbital exenteration",11.36,090,
61585,"Orbitocranial approach to anterior cranial fossa, extradural, including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); with orbital exen- teration",15.91,090,
61586,"Bicoronal, transzygomatic and/or LeFort I osteotomy approach to anterior cranial fossa with or without internal fixation, without bone graft",11.36,090,
