,Code Description,Relative Value,FUD,PC/TC Split
64866,Anastomosis; facial-spinal accessory,10.91,090,
64868,Anastomosis; facial-hypoglossal,10.91,090,
64872,Suture of nerve; requiring secondary or delayed suture (List separately in addition to code for primary neurorrhaphy),1.80,ZZZ,
64874,"Suture of nerve; requiring extensive mobilization, or transposition of nerve (List separately in addition to code for nerve suture)",2.69,ZZZ,
64876,Suture of nerve; requiring shortening of bone of extremity (List separately in addi- tion to code for nerve suture),3.05,ZZZ,
64885,"Nerve graft (includes obtaining graft), head or neck; up to 4 cm in length",7.39,090,
64886,"Nerve graft (includes obtaining graft), head or neck; more than 4 cm length",9.09,090,
64890,"Nerve graft (includes obtaining graft), single strand, hand or foot; up to 4 cmlength",5.91,090,
64891,"Nerve graft (includes obtaining graft), single strand, hand or foot; more than 4 cm length",7.27,090,
64892,"Nerve graft (includes obtaining graft), single strand, arm or leg; up to 4 cm length",5.91,090,
64893,"Nerve graft (includes obtaining graft), single strand, arm or leg; more than 4 cm length",7.27,090,
64895,"Nerve graft (includes obtaining graft), multiple strands (cable), hand or foot; up to 4 cm length",8.91,090,
64896,"Nerve graft (includes obtaining graft), multiple strands (cable), hand or foot; more than 4 cm length",10.91,090,
64897,"Nerve graft (includes obtaining graft), multiple strands (cable), arm or leg; up to 4 cm length",8.91,090,
64898,"Nerve graft (includes obtaining graft), multiple strands (cable), arm or leg; more than 4 cm length",10.91,090,
64901,"Nerve graft, each additional nerve; single strand (List separately in addition to code for primary procedure)",2.95,ZZZ,
64902,"Nerve graft, each additional nerve; multiple strands (cable) (List separately in addition to code for primary procedure)",4.45,ZZZ,
64905,Nerve pedicle transfer; first stage,3.64,090,
64907,Nerve pedicle transfer; second stage,5.18,090,
64910,"Nerve repair; with synthetic conduit or vein allograft (eg, nerve tube), each nerve",4.55,090,
64911,"Nerve repair; with autogenous vein graft (includes harvest of vein graft), each nerve",5.36,090,
64912,"Nerve repair; with nerve allograft, each nerve, first strand (cable)",6.45,090,
64913,"Nerve repair; with nerve allograft, each additional strand (List separately in addi- tion to code for primary procedure)",1.31,ZZZ,
64999,"Unlisted procedure, nervous system",BR,YYY,
65091,Evisceration of ocular contents; without implant,5.15,090,
65093,Evisceration of ocular contents; with implant,5.62,090,
65101,Enucleation of eye; without implant,5.15,090,
65103,"Enucleation of eye; with implant, muscles not attached to implant",5.62,090,
65105,"Enucleation of eye; with implant, muscles attached to implant",7.02,090,
65110,"Exenteration of orbit (does not include skin graft), removal of orbital contents; only",9.37,090,
65112,"Exenteration of orbit (does not include skin graft), removal of orbital contents; with therapeutic removal of bone",10.54,090,
65114,"Exenteration of orbit (does not include skin graft), removal of orbital contents; with muscle or myocutaneous flap",11.24,090,
65125,"Modification of ocular implant with placement or replacement of pegs (eg, drilling receptacle for prosthesis appendage) (separate procedure)",2.25,090,
65130,"Insertion of ocular implant secondary; after evisceration, in scleral shell",5.15,090,
65135,"Insertion of ocular implant secondary; after enucleation, muscles not attached to implant",5.85,090,
