,Code,Description Relative Value,FUD,PC/TC Split
■,66180 Aqueous shunt to extraocular equatorial graft,"plate reservoir, external approach; with 8.90",090,
■ 66183,"Insertion of anterior segment aqueous drainage device, without extraocular voir, external approach",reser- 9.69,090,
■ 66184,Revision of aqueous shunt to extraocular equatorial plate reservoir; without,graft 7.38,090,
■ 66185,Revision of aqueous shunt to extraocular equatorial plate reservoir; with graft,5.34,090,
66220,Repair of scleral staphyloma; without graft,10.30,090,
66225,Repair of scleral staphyloma; with graft,12.17,090,
66250,"Revision or repair of operative wound of anterior segment, any type, early or late, major or minor procedure",5.15,090,
66500,Iridotomy by stab incision (separate procedure); except transfixion,2.34,090,
66505,Iridotomy by stab incision (separate procedure); with transfixion as for iris bombe,1.87,090,
66600,"Iridectomy, with corneoscleral or corneal section; for removal of lesion",7.02,090,
66605,"Iridectomy, with corneoscleral or corneal section; with cyclectomy",9.55,090,
66625,"Iridectomy, with corneoscleral or corneal section; peripheral for glaucoma (sepa- rate procedure)",5.24,090,
66630,"Iridectomy, with corneoscleral or corneal section; sector for glaucoma (separate procedure)",5.24,090,
66635,"Iridectomy, with corneoscleral or corneal section; optical",(separate procedure) 5.24,090,
66680,"Repair of iris, ciliary body (as for iridodialysis)",4.31,090,
66682,"Suture of iris, ciliary body (separate procedure) with retrieval of suture through small incision (eg, McCannel suture)",5.15,090,
66700,Ciliary body destruction; diathermy,4.50,090,
66710,"Ciliary body destruction; cyclophotocoagulation, transscleral",4.68,090,
66711,"Ciliary body destruction; cyclophotocoagulation, endoscopic",6.37,090,
66720,Ciliary body destruction; cryotherapy,4.50,090,
■ 66740,Ciliary body destruction; cyclodialysis,6.09,090,
66761,"Iridotomy/iridectomy by laser surgery (eg, for glaucoma) (per session)",4.68,010,
66762,"Iridoplasty by photocoagulation (1 or more sessions) (eg, for improvement of vision, for widening of anterior chamber angle)",4.78,090,
66770,Destruction of cyst or lesion iris or ciliary body (nonexcisional procedure),4.68,090,
66820,Discission of secondary membranous cataract (opacified posterior lens capsule and/or anterior hyaloid); stab incision technique (Ziegler or Wheeler knife),3.56,090,
66821,"Discission of secondary membranous cataract (opacified posterior lens capsule and/or anterior hyaloid); laser surgery (eg, YAG laser) (1 or more stages)",3.98,090,
66825,"Repositioning of intraocular lens prosthesis, requiring an incision (separate proce- dure)",6.93,090,
66830,"Removal of secondary membranous cataract (opacified posterior lens capsule and/or anterior hyaloid) with corneo-scleral section, with or without iridectomy (iridocapsulotomy, iridocapsulectomy)",4.78,090,
66840,"Removal of lens material; aspiration technique, 1 or more stages",8.71,090,
66850,"Removal of lens material; phacofragmentation technique (mechanical or ultra- sonic) (eg, phacoemulsification), with aspiration",9.37,090,
66852,"Removal of lens material; pars plana approach, with or without vitrectomy",11.24,090,
66920,Removal of lens material; intracapsular,8.24,090,
66930,"Removal of lens material; intracapsular, for dislocated lens",9.37,090,
66940,"Removal of lens material; extracapsular (other than 66840, 66850, 66852)",8.90,090,
