Code,Description,Relative Value,FUD,PC/TC Split
+ 67335,"Placement of adjustable suture(s) during strabismus surgery, including postopera- tive adjustment(s) of suture(s) (List separately in addition to code for specific stra- bismus surgery)",1.87,ZZZ,
+ 67340,Strabismus surgery involving exploration and/or repair of detached extraocular muscle(s) (List separately in addition to code for primary procedure),3.51,ZZZ,
67343,Release of extensive scar tissue without detaching extraocular muscle (separate procedure),2.81,090,
67345,Chemodenervation of extraocular muscle,1.78,010,
67346,Biopsy of extraocular muscle,1.97,000,
■ 67399,"Unlisted procedure, extraocular muscle",BR,YYY,
"67400 Orbitotomy tion,",without bone flap (frontal or transconjunctival approach); for explora- with or without biopsy,7.96,090,
67405 Orbitotomy age,without bone flap (frontal or transconjunctival approach); with drain- only,6.56,090,
67412,Orbitotomy without bone flap (frontal or transconjunctival approach); with removal of lesion,7.49,090,
67413 Orbitotomy of,without bone flap (frontal or transconjunctival approach); with removal foreign body,7.49,090,
67414,Orbitotomy without bone flap (frontal or transconjunctival approach); with removal of bone for decompression,7.63,090,
67415,Fine needle aspiration of orbital contents,1.12,000,
67420,"Orbitotomy with bone flap or window, lateral approach (eg, Kroenlein); with removal of lesion",13.11,090,
67430,"Orbitotomy with bone flap or window, lateral approach (eg, Kroenlein); with removal of foreign body",12.36,090,
67440,"Orbitotomy with bone flap or window, lateral approach (eg, Kroenlein); with drain- age",11.71,090,
67445 Orbitotomy removal,"with bone flap or window, lateral approach (eg, Kroenlein); with of bone for decompression",10.13,090,
67450,"Orbitotomy with bone flap or window, lateral approach (eg, Kroenlein); for explora- tion, with or without biopsy",9.18,090,
67500,"Retrobulbar injection; medication (separate procedure, does not include supply of medication)",0.43,000,
67505 Retrobulbar,injection; alcohol,0.94,000,
67515,Injection of medication or other substance into Tenon's capsule,0.42,000,
67550,Orbital implant (implant outside muscle cone); insertion,5.62,090,
67560,Orbital implant (implant outside muscle cone); removal or revision,5.62,090,
67570,"Optic nerve decompression (eg, incision or fenestration of optic nerve sheath)",9.37,090,
67599,"Unlisted procedure, orbit",BR,YYY,
67700,"Blepharotomy, drainage of abscess, eyelid",0.37,010,
67710,Severing of tarsorrhaphy,0.47,010,
67715,Canthotomy (separate procedure),0.56,010,
67800,Excision of chalazion; single,0.56,010,
67801,"Excision of chalazion; multiple, same lid",0.75,010,
67805,"Excision of chalazion; multiple, different lids",0.84,010,
67808,"Excision of chalazion; under general anesthesia and/or requiring hospitalization, single or multiple",1.45,090,
■,Incisional biopsy of eyelid skin including lid margin,0.56,000,
67810 67820,"Correction of trichiasis; epilation, by forceps only",0.23,000,
67825,"Correction of trichiasis; epilation by other than forceps (eg, by electrosurgery, cryotherapy, laser surgery)",0.56,010,
67830,Correction of trichiasis; incision of lid margin,0.66,010,
