Code,,Description,Relative Value,FUD,PC/TC Split
71111,"Radiologic examination, ribs, bilateral; including posteroanterior chest, minimum of 4 views",2.42,XXX,,40/60
71120,"Radiologic examination; sternum, minimum of 2 views",1.48,XXX,40/60,
71130,"Radiologic examination; sternoclavicular joint or joints, minimum of 3 views",1.79,XXX,,40/60
71250,"Computed tomography, thorax; without contrast material",11.00,XXX,,25/75
71260,"Computed tomography, thorax; with contrast material(s)",12.64,XXX,,25/75
71270,"Computed tomography, thorax; without contrast material, followed by contrast material(s) and further sections",15.20,,XXX,25/75
71275,"Computed tomographic angiography, chest (noncoronary), with contrast mate- rial(s), including noncontrast images, if performed, and image postprocessing",18.61,XXX,,25/75
71550,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without contrast material(s)",21.01,XXX,,20/80
71551,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); with contrast material(s)",24.15,,XXX,20/80
71552,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without contrast material(s), followed by contrast material(s) and further sequences",28.99,,XXX,20/80
71555,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)",21.37,XXX,,20/80
72020,"Radiologic examination, spine, single view, specify level",,1.28,XXX,40/60
72040,"Radiologic examination, spine, cervical; 2 or 3 views",,1.82,XXX,40/60
72050,"Radiologic examination, spine, cervical; 4 or 5 views",,2.32,XXX,40/60
72052,"Radiologic examination, spine, cervical; 6 or more views",,2.75,XXX,40/60
72070,"Radiologic examination, spine; thoracic, 2 views",,1.76,XXX,40/60
72072,"Radiologic examination, spine; thoracic, 3 views",1.89,,XXX,40/60
72074,"Radiologic examination, spine; thoracic, minimum of 4 views",,2.17,XXX,40/60
72080,"Radiologic examination, spine; thoracolumbar junction, minimum of 2 views",1.84,,XXX,40/60
72081,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); one view",,1.61,XXX,35/65
72082,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 2 or 3 views",,2.60,XXX,26/74
72083,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 4 or 5 views",3.13,,XXX,25/75
72084,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); minimum of 6 views",3.64,,XXX,25/75
72100,"Radiologic examination, spine, lumbosacral; 2 or 3 views",,1.66,XXX,40/60
72110,"Radiologic examination, spine, lumbosacral; minimum of 4 views",,2.42,XXX,40/60
72114,"Radiologic examination, spine, lumbosacral; complete, including bending views, minimum of 6 views",,3.06,XXX,40/60
72120,"Radiologic examination, spine, lumbosacral; bending views only, 2 or 3 views",2.37,,XXX,40/60
72125,"Computed tomography, cervical spine; without contrast material",11.00,,XXX,25/75
72126,"Computed tomography, cervical spine; with contrast material",12.64,,XXX,25/75
72127,"Computed tomography, cervical spine; without contrast material, followed by con- trast material(s) and further sections",15.20,,XXX,25/75
72128,"Computed tomography, thoracic spine; without contrast material",11.00,,XXX,25/75
72129,"Computed tomography, thoracic spine; with contrast material",12.64,,XXX,25/75
72130,"Computed tomography, thoracic spine; without contrast material, followed by con- trast material(s) and further sections",15.20,,XXX,25/75
72131,"Computed tomography, lumbar spine; without contrast material",11.00,,XXX,25/75
72132,"Computed tomography, lumbar spine; with contrast material",12.64,,XXX,25/75
72133,"Computed tomography, lumbar spine; without contrast material, followed by con- trast material(s) and further sections",15.20,,XXX,25/75
