Code,Description,Relative Value,FUD,PC/TC Split
78814,"Positron emission tomography (PET) with concurrently acquired computed tomog- raphy (CT) for attenuation correction and anatomical localization imaging; limited area (eg, chest, head/neck)",21.42,XXX,12/88
78815,Positron emission tomography (PET) with concurrently acquired computed tomog- raphy (CT) for attenuation correction and anatomical localization imaging; skull base to mid-thigh,23.58,XXX,12/88
78816,Positron emission tomography (PET) with concurrently acquired computed tomog- raphy (CT) for attenuation correction and anatomical localization imaging; whole body,24.22,XXX,12/88
78999,"Unlisted miscellaneous procedure, diagnostic nuclear medicine",BR,XXX,
79005,"Radiopharmaceutical therapy, by oral administration",8.62,XXX,45/55
79101,"Radiopharmaceutical therapy, by intravenous administration",8.98,XXX,60/40
79200,"Radiopharmaceutical therapy, by intracavitary administration",9.08,XXX,50/50
79300,"Radiopharmaceutical therapy, by interstitial radioactive colloid administration",5.25,XXX,60/40
79403,"Radiopharmaceutical therapy, radiolabeled monoclonal antibody by intravenous infusion",10.20,XXX,60/40
79440,"Radiopharmaceutical therapy, by intra-articular administration",7.65,XXX,60/40
79445,"Radiopharmaceutical therapy, by intra-arterial particulate administration",8.62,XXX,55/45
79999,"Radiopharmaceutical therapy, unlisted procedure",BR,XXX,
