,Code,Description Relative Value,FUD,PC/TC Split
80352,"Cannabinoids, synthetic; 7 or more",0.00,XXX,
80353,Cocaine,0.00,XXX,
80354,Fentanyl,0.00,XXX,
80355,"Gabapentin, non-blood",0.00,XXX,
80356,Heroin metabolite,0.00,XXX,
80357,Ketamine and norketamine,0.00,XXX,
80358,Methadone,0.00,XXX,
80359,"Methylenedioxyamphetamines (MDA, MDEA, MDMA)",0.00,XXX,
80360,Methylphenidate,0.00,XXX,
80361,"Opiates, 1 or more",0.00,XXX,
80362,Opioids and opiate analogs; 1 or 2,0.00,XXX,
80363,Opioids and opiate analogs; 3 or 4,0.00,XXX,
80364,Opioids and opiate analogs; 5 or more,0.00,XXX,
80365,Oxycodone,0.00,XXX,
80366,Pregabalin,0.00,XXX,
80367,Propoxyphene,0.00,XXX,
80368,Sedative hypnotics (non-benzodiazepines),0.00,XXX,
80369,Skeletal muscle relaxants; 1 or 2,0.00,XXX,
80370,Skeletal muscle relaxants; 3 or more,0.00,XXX,
80371,"Stimulants, synthetic",0.00,XXX,
80372,Tapentadol,0.00,XXX,
80373,Tramadol,0.00,XXX,
80374,"Stereoisomer (enantiomer) analysis, single drug class",0.00,XXX,
80375,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 1-3",43.26,XXX,0/100
80376,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 4-6",64.89,XXX,0/100
80377,"Drug(s) or substance(s), definitive, qualitative or quantitative, not otherwise speci- fied; 7 or more",86.52,XXX,0/100
80400,ACTH stimulation panel; for adrenal insufficiency,57.91,XXX,0/100
80402,ACTH stimulation panel; for 21 hydroxylase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxyprogesterone (83498 x 2),106.59,XXX,0/100
80406,ACTH stimulation panel; for 3 beta-hydroxydehydrogenase deficiency This panel must include the following: Cortisol (82533 x 2) 17 hydroxypregnenolone (84143 x,2) 99.19,XXX,0/100
80408,"Aldosterone suppression evaluation panel (eg, saline infusion)",133.08,XXX,0/100
80410,"Calcitonin stimulation panel (eg, calcium, pentagastrin)",118.91,XXX,0/100
80412,Corticotropic releasing hormone (CRH) stimulation panel,295.73,XXX,0/100
80414,Chorionic gonadotropin stimulation panel; testosterone response,43.74,XXX,0/100
80415,Chorionic gonadotropin stimulation panel; estradiol response This panel must include the following: Estradiol (82670 x 2 on 3 pooled blood samples),43.74,XXX,0/100
80416,"Renal vein renin stimulation panel (eg, captopril)",138.01,XXX,0/100
80417,"Peripheral vein renin stimulation panel (eg, captopril)",59.15,XXX,0/100
80418,Combined rapid anterior pituitary evaluation panel,823.73,XXX,0/100
80420,"Dexamethasone suppression panel, 48 hour",104.74,XXX,0/100
80422,Glucagon tolerance panel; for insulinoma,65.31,XXX,0/100
80424,"Glucagon tolerance panel; for pheochromocytoma This panel must include the fol- lowing: Catecholamines, fractionated (82384 x 2)",63.46,XXX,0/100
80426,Gonadotropin releasing hormone stimulation panel,154.03,XXX,0/100
