Code,Description,Relative Value,FUD,PC/TC Split
82306,"Vitamin D; 25 hydroxy, includes fraction(s), if performed",46.21,XXX,0/100
82308,Calcitonin,47.44,XXX,0/100
82310,Calcium; total,8.01,XXX,0/100
82330,Calcium; ionized,22.8,XXX,0/100
82331,Calcium; after calcium infusion test,9.86,XXX,0/100
82340,"Calcium; urine quantitative, timed specimen",9.86,XXX,0/100
82355,Calculus; qualitative analysis,21.56,XXX,0/100
82360,"Calculus; quantitative analysis, chemical",23.41,XXX,0/100
82365,Calculus; infrared spectroscopy,23.41,XXX,0/100
82370,Calculus; X-ray diffraction,21.56,XXX,0/100
82373,Carbohydrate deficient transferrin,21.56,XXX,0/100
82374,Carbon dioxide (bicarbonate),8.01,XXX,0/100
82375,Carboxyhemoglobin; quantitative,20.95,XXX,0/100
82376,Carboxyhemoglobin; qualitative,7.39,XXX,0/100
82378,Carcinoembryonic antigen (CEA),32.04,XXX,0/100
82379,"Carnitine (total and free), quantitative, each specimen",32.04,XXX,0/100
82380,Carotene,18.48,XXX,0/100
82382,Catecholamines; total urine,32.04,XXX,0/100
82383,Catecholamines; blood,46.21,XXX,0/100
82384,Catecholamines; fractionated,46.21,XXX,0/100
82387,Cathepsin-D,43.13,XXX,0/100
82390,Ceruloplasmin,19.72,XXX,0/100
82397,Chemiluminescent assay,22.8,XXX,0/100
82415,Chloramphenicol,30.81,XXX,0/100
82435,Chloride; blood,8.01,XXX,0/100
82436,Chloride; urine,8.63,XXX,0/100
82438,Chloride; other source,8.63,XXX,0/100
82441,"Chlorinated hydrocarbons, screen",22.18,XXX,0/100
82465,"Cholesterol, serum or whole blood, total",8.32,XXX,0/100
82480,Cholinesterase; serum,14.79,XXX,0/100
82482,Cholinesterase; RBC,22.18,XXX,0/100
82485,"Chondroitin B sulfate, quantitative",36.97,XXX,0/100
82495,Chromium,36.97,XXX,0/100
82507,Citrate,46.21,XXX,0/100
82523,"Collagen cross links, any method",52,XXX,0/100
82525,Copper,24.64,XXX,0/100
82528,Corticosterone,36.97,XXX,0/100
82530,Cortisol; free,33.89,XXX,0/100
82533,Cortisol; total,28.96,XXX,0/100
82540,Creatine,8.93,XXX,0/100
82542,"Column chromatography, includes mass spectrometry, if performed (eg, HPLC, LC, LC/MS, LC/MS-MS, GC, GC/MS-MS, GC/MS, HPLC/MS), non-drug analyte(s) not elsewhere specified, qualitative or quantitative, each specimen",24.64,XXX,0/100
82550,"Creatine kinase (CK), (CPK); total",9.24,XXX,0/100
82552,"Creatine kinase (CK), (CPK); isoenzymes",24.64,XXX,0/100
82553,"Creatine kinase (CK), (CPK); MBfraction only",11.4,XXX,0/100
