Code,,Description Relative Value,FUD,PC/TC Split
83945,Oxalate,22.18,XXX,0/100
83950,Oncoprotein; HER-2/neu,32.04,XXX,0/100
83951,Oncoprotein; des-gamma-carboxy-prothrombin (DCP),98.58,XXX,0/100
83970,Parathormone (parathyroid hormone),49.29,XXX,0/100
83986,"pH; body fluid, not otherwise specified",6.78,XXX,0/100
83987,pH; exhaled breath condensate,6.16,XXX,0/100
83992,Phencyclidine (PCP),30.81,XXX,0/100
83993,"Calprotectin, fecal",33.27,XXX,0/100
84030,"Phenylalanine (PKU), blood",8.63,XXX,0/100
84035,"Phenylketones, qualitative",6.16,XXX,0/100
84060,"Phosphatase, acid; total",15.40,XXX,0/100
84066,"Phosphatase, acid; prostatic",20.33,XXX,0/100
84075,"Phosphatase, alkaline;",8.32,XXX,0/100
84078,"Phosphatase, alkaline; heat stable (total not included)",15.09,XXX,0/100
84080,"Phosphatase, alkaline; isoenzymes",26.49,XXX,0/100
84081,Phosphatidylglycerol,36.97,XXX,0/100
84085,"Phosphogluconate, 6-, dehydrogenase, RBC",16.02,XXX,0/100
84087,Phosphohexose isomerase,17.25,XXX,0/100
84100,Phosphorus inorganic (phosphate);,8.01,XXX,0/100
84105,Phosphorus inorganic (phosphate); urine,9.86,XXX,0/100
84106,"Porphobilinogen, urine; qualitative",11.71,XXX,0/100
84110,"Porphobilinogen, urine;",quantitative 15.40,XXX,0/100
84112,"Evaluation of cervicovaginal fluid for specific amniotic fluid protein(s) (eg, placen- tal alpha microglobulin-1 [PAMG-1], placental protein 12 [PP12], alpha-fetopro- tein), qualitative, each specimen",17.87,XXX,0/100
84119,"Porphyrins, urine; qualitative",16.02,XXX,0/100
84120,"Porphyrins, urine; quantitation and fractionation",28.96,XXX,0/100
84126,"Porphyrins, feces, quantitative",27.72,XXX,0/100
84132,"Potassium; serum, plasma or whole blood",8.01,XXX,0/100
84133,Potassium; urine,8.63,XXX,0/100
84134,Prealbumin,18.48,XXX,0/100
84135,Pregnanediol,30.81,XXX,0/100
84138,Pregnanetriol,30.81,XXX,0/100
84140,Pregnenolone,36.97,XXX,0/100
84143,17-hydroxypregnenolone,36.97,XXX,0/100
84144,Progesterone,30.81,XXX,0/100
84145,Procalcitonin (PCT),34.91,XXX,0/100
84146,Prolactin,30.81,XXX,0/100
84150,"Prostaglandin, each",33.89,XXX,0/100
84152,Prostate specific antigen (PSA); complexed (direct measurement),30.81,XXX,0/100
84153,Prostate specific antigen (PSA); total,30.81,XXX,0/100
84154,Prostate specific antigen (PSA); free,30.81,XXX,0/100
84155,"Protein, total, except by refractometry; serum, plasma or whole blood",8.01,XXX,0/100
84156,"Protein, total, except by refractometry; urine",8.01,XXX,0/100
84157,"Protein, total, except by refractometry; other source (eg, synovial fluid, cerebro- spinal fluid)",8.01,XXX,0/100
84160,"Protein, total, by refractometry, any source",6.16,XXX,0/100
