Code,,Description Relative Value,FUD,PC/TC Split
84163,Pregnancy-associated plasma protein-A (PAPP-A),19.82,XXX,0/100
84165,"Protein; electrophoretic fractionation and quantitation, serum",22.18,XXX,20/80
84166,"Protein; electrophoretic fractionation and quantitation, other fluids with concen- tration (eg, urine, CSF)",22.18,XXX,20/80
84181,"Protein; Western Blot, with interpretation and report, blood or other body",fluid 33.89,XXX,30/70
84182,"Protein; Western Blot, with interpretation and report, blood or other body fluid, immunological probe for band identification, each",49.29,XXX,30/70
84202,"Protoporphyrin, RBC; quantitative",19.72,XXX,0/100
84203,"Protoporphyrin, RBC; screen",10.78,XXX,0/100
84206,Proinsulin,46.21,XXX,0/100
84207,Pyridoxal phosphate (Vitamin B-6),46.21,XXX,0/100
84210,Pyruvate,22.18,XXX,0/100
84220,Pyruvate kinase,18.48,XXX,0/100
84228,Quinine,24.64,XXX,0/100
84233,Receptor assay; estrogen,43.74,XXX,0/100
84234,Receptor assay; progesterone,43.74,XXX,0/100
84235,"Receptor assay; endocrine, other than estrogen or progesterone (specify hor- mone)",43.74,XXX,0/100
84238,Receptor assay; non-endocrine (specify receptor),61.61,XXX,0/100
84244,Renin,39.43,XXX,0/100
84252,Riboflavin (Vitamin B-2),25.88,XXX,0/100
84255,Selenium,30.81,XXX,0/100
84260,Serotonin,56.68,XXX,0/100
84270,Sex hormone binding globulin (SHBG),32.65,XXX,0/100
84275,Sialic acid,19.72,XXX,0/100
84285,Silica,41.89,XXX,0/100
84295,"Sodium; serum, plasma or whole blood",8.01,XXX,0/100
84300,Sodium; urine,8.63,XXX,0/100
84302,Sodium; other source,8.63,XXX,0/100
84305,Somatomedin,46.21,XXX,0/100
84307,Somatostatin,33.89,XXX,0/100
84311,"Spectrophotometry, analyte not elsewhere specified",13.55,XXX,0/100
84315,Specific gravity (except urine),4.31,XXX,0/100
84375,"Sugars, chromatographic, TLC or paper chromatography",24.64,XXX,0/100
84376,"Sugars (mono-, di-, and oligosaccharides); single qualitative, each specimen",7.23,XXX,0/100
84377,"Sugars (mono-, di-, and oligosaccharides); multiple qualitative, each specimen",7.23,XXX,0/100
84378,"Sugars (mono-, di-, and oligosaccharides); single quantitative, each specimen",15.10,XXX,0/100
84379,"Sugars (mono-, di-, and oligosaccharides); multiple quantitative, each specimen",15.10,XXX,0/100
84392,"Sulfate, urine",7.61,XXX,0/100
84402,Testosterone; free,35.12,XXX,0/100
84403,Testosterone; total,28.96,XXX,0/100
84410,"Testosterone; bioavailable, direct measurement (eg, differential precipitation)",56.88,XXX,0/100
84425,Thiamine (Vitamin B-1),33.89,XXX,0/100
84430,Thiocyanate,21.56,XXX,0/100
84431,"Thromboxane metabolite(s), including thromboxane if performed, urine",22.02,XXX,0/100
84432,Thyroglobulin,30.81,XXX,0/100
84436,Thyroxine; total,11.09,XXX,0/100
