,Code,Description,Relative Value,FUD,PC/TC Split
,87380,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; hepatitis, delta agent",23.41,XXX,0/100
,87385,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Histoplasma capsulatum",13.55,XXX,0/100
,87389,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-1 antigen(s), with HIV-1 and HIV-2 antibodies, single result",31.45,XXX,0/100
,87390,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-1",28.96,XXX,0/100
,87391,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; HIV-2",28.96,XXX,0/100
,87400,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Influenza, A or B, each",13.55,XXX,0/100
,87420,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; respiratory syncytial virus",13.55,XXX,0/100
,87425,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; rotavirus",13.55,XXX,0/100
,87427,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Shiga-like toxin",13.55,XXX,0/100
,87430,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]) qualitative or semiquantitative, multiple-step method; Streptococcus, group A",13.55,XXX,0/100
,87449,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]), qualitative or semiquantitative; multiple-step method, not otherwise specified, each organism",13.55,XXX,0/100
,87450,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]), qualitative or semiquantitative; single step method, not otherwise specified, each organism",13.55,XXX,0/100
,87451,"Infectious agent antigen detection by immunoassay technique, (eg, enzyme immu- noassay [EIA], enzyme-linked immunosorbent assay [ELISA], immunochemilumi- nometric assay [IMCA]), qualitative or semiquantitative; multiple step method, polyvalent for multiple organisms, each polyvalent antiserum",19.72,XXX,0/100
,87471,"Infectious agent detection by nucleic acid (DNA or RNA); Bartonella henselae and Bartonella quintana, amplified probe technique",49.29,XXX,0/100
87472,,"Infectious agent detection by nucleic acid (DNA or RNA); Bartonella henselae and Bartonella quintana, quantification",49.6,XXX,0/100
87475,,"Infectious agent detection by nucleic acid (DNA or RNA); Borrelia burgdorferi, direct probe technique",24.64,XXX,0/100
,87476,"Infectious agent detection by nucleic acid (DNA or RNA); Borrelia burgdorferi, amplified probe technique",49.29,XXX,0/100
